"period","platform","groupArticleCount","term","articleCount","articleRate","occurrenceCount"
"2017","Zhihu","1","事实","0","0","0"
"2017","Zhihu","1","证据","0","0","0"
"2017","Zhihu","1","定义","0","0","0"
"2017","Zhihu","1","能力","1","1","1"
"2017","Zhihu","1","学习","0","0","0"
"2017","Zhihu","1","教育","0","0","0"
"2017","Zhihu","1","选择","0","0","0"
"2017","Zhihu","1","自由","0","0","0"
"2017","Zhihu","1","责任","0","0","0"
"2017","Zhihu","1","义务","0","0","0"
"2017","Zhihu","1","后果","0","0","0"
"2017","Zhihu","1","成本","0","0","0"
"2017","Zhihu","1","风险","0","0","0"
"2017","Zhihu","1","资源","0","0","0"
"2017","Zhihu","1","总账","0","0","0"
"2017","Zhihu","1","信用","0","0","0"
"2017","Zhihu","1","信任","0","0","0"
"2017","Zhihu","1","承诺","0","0","0"
"2017","Zhihu","1","爱","0","0","0"
"2017","Zhihu","1","净输出","0","0","0"
"2017","Zhihu","1","不掠夺","0","0","0"
"2017","Zhihu","1","劳动","0","0","0"
"2017","Zhihu","1","产出","0","0","0"
"2017","Zhihu","1","财富","0","0","0"
"2017","Zhihu","1","社会资本","0","0","0"
"2017","Zhihu","1","权利","0","0","0"
"2017","Zhihu","1","权力","0","0","0"
"2017","Zhihu","1","授权","0","0","0"
"2017","Zhihu","1","服从","0","0","0"
"2017","Zhihu","1","反抗","0","0","0"
"2017","Zhihu","1","技术","0","0","0"
"2017","Zhihu","1","自然法","0","0","0"
"2017","Zhihu","1","伦理","0","0","0"
"2017","Zhihu","1","道德","0","0","0"
"2018-2020","Zhihu","513","事实","150","0.292398","376"
"2018-2020","Zhihu","513","证据","32","0.062378","75"
"2018-2020","Zhihu","513","定义","80","0.155945","163"
"2018-2020","Zhihu","513","能力","188","0.366472","554"
"2018-2020","Zhihu","513","学习","42","0.081871","71"
"2018-2020","Zhihu","513","教育","68","0.132554","172"
"2018-2020","Zhihu","513","选择","166","0.323587","478"
"2018-2020","Zhihu","513","自由","85","0.165692","207"
"2018-2020","Zhihu","513","责任","83","0.161793","181"
"2018-2020","Zhihu","513","义务","53","0.103314","119"
"2018-2020","Zhihu","513","后果","62","0.120858","101"
"2018-2020","Zhihu","513","成本","116","0.226121","293"
"2018-2020","Zhihu","513","风险","63","0.122807","102"
"2018-2020","Zhihu","513","资源","91","0.177388","161"
"2018-2020","Zhihu","513","总账","1","0.001949","1"
"2018-2020","Zhihu","513","信用","20","0.038986","34"
"2018-2020","Zhihu","513","信任","24","0.046784","35"
"2018-2020","Zhihu","513","承诺","13","0.025341","22"
"2018-2020","Zhihu","513","爱","113","0.220273","568"
"2018-2020","Zhihu","513","净输出","4","0.007797","11"
"2018-2020","Zhihu","513","不掠夺","0","0","0"
"2018-2020","Zhihu","513","劳动","29","0.05653","64"
"2018-2020","Zhihu","513","产出","13","0.025341","19"
"2018-2020","Zhihu","513","财富","35","0.068226","136"
"2018-2020","Zhihu","513","社会资本","3","0.005848","7"
"2018-2020","Zhihu","513","权利","52","0.101365","101"
"2018-2020","Zhihu","513","权力","40","0.077973","92"
"2018-2020","Zhihu","513","授权","10","0.019493","42"
"2018-2020","Zhihu","513","服从","21","0.040936","69"
"2018-2020","Zhihu","513","反抗","13","0.025341","13"
"2018-2020","Zhihu","513","技术","85","0.165692","308"
"2018-2020","Zhihu","513","自然法","8","0.015595","22"
"2018-2020","Zhihu","513","伦理","68","0.132554","132"
"2018-2020","Zhihu","513","道德","59","0.11501","131"
"2021-2023","Afdian","41","事实","11","0.268293","23"
"2021-2023","Afdian","41","证据","1","0.02439","1"
"2021-2023","Afdian","41","定义","8","0.195122","12"
"2021-2023","Afdian","41","能力","12","0.292683","29"
