"batch","articleCount","candidateCount","decisionCount","exactReplaceCount","needsRewriteCount","deleteAsParaphraseCount","statsPresent","statsPass","approvedPresent","approvedArticleCount","status"
"1","100","125","125","123","0","2","True","True","True","100","APPROVED"
"2","100","131","131","131","0","0","True","True","True","100","APPROVED"
"3","100","176","176","167","2","7","True","True","True","100","APPROVED"
"4","100","145","145","145","0","0","True","True","True","100","APPROVED"
"5","100","145","145","136","2","7","True","True","True","100","APPROVED"
"6","100","142","142","142","0","0","True","True","True","100","APPROVED"
"7","100","153","153","153","0","0","True","True","True","100","APPROVED"
"8","100","158","158","147","3","8","True","True","True","100","APPROVED"
"9","100","151","151","148","0","3","True","True","True","100","APPROVED"
"10","100","170","170","155","2","13","True","True","True","100","APPROVED"
"11","27","38","38","38","0","0","True","True","True","27","APPROVED"
