"evidenceId","trajectory","period","ordinal","id","title","date","platform","url","authorClaim","evidenceNature","conditions","quote","quoteStart","paragraphIndex","cleanEvidencePresent"
"D01-2018-2020","D01_事实定义与论辩","2018-2020","3680","11ad7ad3-87eb-5681-93e2-de3e21cbd8a2","批评","2020-08-26","Zhihu","https://www.zhihu.com/question/22987136/answer/1434894604","批评只能提供逻辑、疑问和论证，不能越线成为讽刺、定罪或构陷。","明示边界＋操作规范","允许尖锐反对；限制的是人格攻击、入罪和构陷。","批评有一条细细的、意识几乎难以觉察、人常常不愿接受的红线——批评只能给逻辑、给疑问、给论证，不可以讽刺，不可以定罪，更不可以用作构陷的工具。","16","2","True"
"D01-2021-2023","D01_事实定义与论辩","2021-2023","3460","8a7bdf9f-2cce-5d55-9210-618cfb05adcb","学好语文","2021-03-02","Zhihu","https://www.zhihu.com/question/446716137/answer/1757919159","表达者应承担把问题说清楚的技术责任，不能把沟通失败一概归给听者。","能力定义＋责任归属","是否继续投入改进仍取决于具体沟通是否值得成本。","你必须先建立起这个基本原则。只有建立起这个原则，你才会去关心问题出在哪里，而不是永远把沟通无效的责任全都放在对方理解能力不够上。","870","25","True"
"D01-2024-2026","D01_事实定义与论辩","2024-2026","964","daa2da9d-9204-588a-88a3-a5d9006bf4d4","论批评 2","2025-02-09","Afdian","https://afdian.com/p/fd6093eae6d211efac665254001e7c00","批评造成的屈辱和沮丧只能是中间环节，批评者还要给出值得尝试的回弹路径。","过程模型＋行动接口","给的是可尝试方法，不是保证立刻解决；无方法时只能请求体谅。","批评的应有结果不是屈辱、沮丧，屈辱和沮丧应该只是批评的中间环节，而不能是结束状态。","812","17","True"
"D02-2018-2020","D02_能力学习与主体","2018-2020","4020","bbe903b2-99ab-5425-a566-e7dfd1ae6c2d","自信","2018-10-15","Zhihu","https://www.zhihu.com/question/269905766/answer/510828072","自信是对自身能力具有信度的认识，而不是排名、自豪或被崇拜感。","明示定义＋结果校准","一次成功不保证持续可靠，预期须由反复结果校准。","自信，是对自己拥有有信度的认知的人所处的心理状态。","365","8","True"
"D02-2021-2023","D02_能力学习与主体","2021-2023","3476","ecfc1be7-86b5-57d6-806d-7a8fcc374949","摆脱贫穷","2021-02-23","Zhihu","https://www.zhihu.com/question/444003245/answer/1744384489","私产的作用之一是帮助主体接入公共服务和共同知识，脱贫还依赖学习与调用公共财富的能力。","财富重定义＋能力路径","文中关于雇佣和公共服务价值的数量判断是作者的文本内事实判断。","你自己的私有财产，真正起到的作用是作为撬动公共财富的撬棒，挖掘公共财富矿藏的铁锹。","4167","93","True"
"D02-2024-2026","D02_能力学习与主体","2024-2026","31","15e6750c-c146-58ea-b925-3a495204a3ef","三分一又三分一","2026-07-08","Zhihu","https://www.zhihu.com/question/458676234/answer/2057597134300614774","整体失败可能主要来自任务规模估计和工序规划不足，而非每个具体工序都做不到。","任务拆解＋能力诊断","针对文中习得性无助场景；不排除具体工序本身也可能超出能力。","你不是完成任务的能力不足，而是规划的能力不足。","741","17","True"
"D03-2018-2020","D03_责任后果与授权","2018-2020","3801","2133f3d8-4ccb-5c0f-9c09-1539ab21c794","财富观","2020-05-01","Zhihu","https://www.zhihu.com/question/314627020/answer/1193533378","财富并非完全由个人劳动制造，获得更多财富同时意味着更大的管理责任。","归因扩展＋托付命题","劳动仍是贡献和申请，不因财富被称为赐予而取消。","换句话来说，财富即责任。","2698","49","True"
"D03-2021-2023","D03_责任后果与授权","2021-2023","3277","8859afe4-31fa-5b72-a79a-675c16950c82","服从","2021-06-05","Zhihu","https://www.zhihu.com/question/463206973/answer/1924612230","服从是主体保留是非判断后作出的决定，不能与放弃判断的屈从混同。","概念对立＋授权判断","命令权被限定于具体关系；实力本身不证明正误。","服从是一种决定。","1784","30","True"
"D03-2024-2026","D03_责任后果与授权","2024-2026","35","ca0b2dd4-e67a-5243-a150-98c3b33953c1","赤手空拳","2026-07-08","Zhihu","https://www.zhihu.com/question/2007650353663984734/answer/2057207322015949934","责任与信任、权柄、地位、资源和报酬相互对应，承担责任也是取得行动权限。","重新描述＋资源对应","无相应授权的强加任务不自动成为福利，责任范围仍须定义。","负责任是福利，不是吃亏。","556","13","True"
"D04-2018-2020","D04_自由边界与退出","2018-2020","4021","94815489-f471-5075-ac07-f496082d34db","平权","2018-10-13","Zhihu","https://www.zhihu.com/question/298105587/answer/509627202","私权领域的平权不是结果对等，而是各方可以依自身条件主张、竞争和退出。","领域区分＋权利模型","文章同时区分公共权利地位与私人交换，不把两者混为一层。","问题不在于女性要求这权利，而在于有人不想给。","664","8","True"
