"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact"
"M01","护理与照顾者可持续性","护理先达到可长期维持的稳定，再追求高于维生底线的改善；照顾者不以透支自身换取短期完美。","明示行动原则","适用于该文讨论的长期精神病患护理结构。","1258","26b86354-bfb5-5a38-8cc8-a93411421dd1","2024-09-28","病患护理","https://www.zhihu.com/question/434987991/answer/3719372980","必须要量力而行，按照自己可以尽可能长期承受的前提去提供高于维生底线的恰当照顾，而不是透支自身的完美照顾。","True"
"M02","探病与社会回归","探病不仅处理病情，还分担家庭、工作与社会位置中断造成的焦虑；非医生不应给出无依据的医疗保证。","明示专业边界","文章讨论亲友探病，不是诊疗指南。","105","577b393b-67a1-5766-9651-8ecd742d17c9","2026-06-15","探病","https://www.ifdian.net/p/4ad313a462ac11f1a44a52540025c377","4）避免以不专业的身份给出乐观医疗判断。","True"
"M03","临终抚慰与未尽责任","临终抚慰应区分对死亡本身的恐惧与对遗属、事业、义务和拖累亲友的担忧，并针对后者提供具体安排。","明示行动区分","宗教与临终判断均只作为作者文本内主张。","1485","2702982e-d0ee-5380-99d5-05ba3af76193","2024-07-07","临终抚慰","https://afdian.com/p/77a7d0243bdd11efbe9652540025c377","在这个基础上，你要注意观察当事人自己的心态，是不愿意面对死亡的可能，还是可以面对死亡的可能，但对死亡的后果感到焦虑。","True"
"M04","拒医、死亡与失能恐惧","老人拒绝住院在文中被解释为害怕离开生活常态、无法回家、长期失能并拖累子孙，而不只是一项宗教迷信。","作者因果解释","动机解释未经外部调查，文章也未给出现实诊疗决定。","530","0d6f24af-df8c-5886-a9a9-f14b9fdca6e7","2025-10-16","不医","https://www.zhihu.com/question/612428523/answer/1961468208625214240","“住院”是从生活常态通向死亡的必经中转站，ta们的年纪，一旦住院，就怕再也回不了家了。","True"
"M05","养老、死亡教育与意义","养老院在作者设想中不仅提供舒适护理，还应成为讨论生存、死亡和临终价值的学术机构。","明示制度设想","这是作者的养老制度构想，不是现有机构事实。","3711","4ff7810c-9d49-578c-9b34-6fbe725ee959","2020-07-25","老有所依2","https://www.zhihu.com/question/403290284/answer/1360171805","养老院首先应该是一所关于生存和死亡的学术机构。","True"
"M06","治疗的确定性模型","治疗被定义为在受控制的过程中注入确定性；情绪驱动且未经计划的冲突不能因偶然好结果被重新命名为治疗。","明示定义与行动原则","作者把医疗模型类比到咨询和亲子关系，类比范围需按原文保留。","954","2c4e49b5-a3ec-521a-adea-bf909ec3091c","2025-02-13","怒者不医","https://afdian.com/p/6f6cb4e8e97411ef92025254001e7c00","寻求治疗，有一个最基本的原则，那就是要在受控制的过程中进行。","True"
"M07","专家意见与独立复核","重大疑难问题需要专家意见，但专家只能担当判断系统中的一个组件；互不关联的多次诊断用于降低既有叙事污染。","明示认识论原则","具体就诊步骤是作者建议，不替代现实医疗流程。","1657","24ec30df-de1d-52ad-9c05-4db1e303787f","2024-04-03","决疑","https://www.zhihu.com/question/618253862/answer/3453526539","专家只能在这个系统里担当一个组件。","True"
"M08","诊断、自述与确认偏差","网络回答和未经追问的自述不能直接构成确切诊断；作者要求治疗者持续检验来访者既有自我诊断。","明示诊断边界","作者对来访者动机的概括属于其文本判断。","3903","fe50ef29-904d-5e9a-a1d7-7ac57ac7584f","2019-08-07","不是肝炎","https://www.zhihu.com/question/23900793/answer/778043770","不要相信这给出的任何确切诊断！","True"
"M09","怀疑、猜疑与可验证路径","面对医药价格疑问，作者先利用处方外购等渠道降低风险，再区分可证伪的怀疑与无法调查的猜疑。","明示判断与行动建议","关于回扣机制的经验判断未作外部核验。","2740","5c7a7815-24a4-5722-b78b-83403189114f","2022-06-17","怀疑与猜疑","https://www.zhihu.com/question/537845427/answer/2532609297","我对在这个具体案例中医生是不是借此牟利这种无实据可言的猜疑没有兴趣。","True"
"M10","医患沟通与反馈格式","求助者应具体说明执行了什么、发生何种变化、尚未达到什么目标，使专业意见能够继续修正。","明示沟通诊断","作者对患者群体比例和责任的概括只作为其判断。","1235","84593390-0b51-5759-b0ef-fe020236121c","2024-10-03","伤医咒","https://www.zhihu.com/question/667586218/answer/4112961015","这是一个“自认为已经付出了代价，质问医疗方案”的句式。","True"
"M11","康复意愿与医患共同用力","文章把患者是否真正想恢复置于诊断和待遇诉求之前，并解释为医生决定是否继续投入的重要信号。","作者医患因果解释","动机、抑郁和自伤判断不作外部医学认证。","1054","5018ceee-ae4a-538c-b7b5-cbd229587dca","2025-01-03","治未病","https://afdian.com/p/34027f78c96711ef9f9152540025c377","怎么说呢，医生对你是不是真的想好起来是有直觉的。","True"
"M12","非专业照护与授权","教师、朋友等普通关系不自动承担医疗和危机处置职责；保密承诺、专业资格、拒绝权和持续联系需要事先界定。","明示角色边界","具体个案责任和法律判断未作外部认证。","1885","f651d0b4-e3a5-5b4f-8e86-1bc9b5e98a82","2023-12-15","师生一场","https://www.zhihu.com/question/634135058/answer/3326101761","如果有，为什么不应该寻求医疗帮助，而要去向并无医疗资质和恰当训练的L寻求帮助？","True"
"M13","家庭环境与抑郁应对","子女抑郁的应对不能只外包给专家；家长应整理亲子历史、改变自身互动，并共同制定权利边界和回归社会的过渡安排。","明示家庭系统判断","文章方案不等同于临床治疗标准。","1565","7c19a976-087f-5167-9d0e-23c1b80f67ad","2024-05-28","关于应对子女抑郁的一种系统方法","https://www.zhihu.com/question/650979214/answer/3512066754","这个问题的解决，绝不是“一个神仙从天而降，用强力符咒把孩子身上的邪毒拔除，然后你送几只烧鸡”这个模式，而是你自己作为子女社会环境的最大要素，必须有所改变。","True"
"M14","痛苦、自我解释与二次负担","重大事件引发的短期沮丧，与事后把事件解释成整个人无能造成的长期负担，被作者分成两个阶段。","明示行动隐喻","抑郁因果和动物类比均只作作者文本内解释。","26","101192ad-8c18-5d1a-abfe-c6d8e7727c38","2026-07-09","砼","https://www.zhihu.com/question/1953990821335507505/answer/2037138815870096722","停止往你的背包里塞土。","True"
"M15","身体差异与恐惧叙事","身体缺损在文中被重新命名为可以创造独特造型、故事并影响他人恐惧的资源。","明示意义重构","这是作者的英雄化叙事，不外推为所有患者义务。","1284","f50a62f0-9ad4-555c-8859-38689aa2db77","2024-09-22","恐惧的疫苗","https://www.zhihu.com/question/35897124/answer/3632185460","当你遭遇他人所恐惧的变故——无论是残疾还是疾病，就等于你也同时被赐予了成为“恐惧疫苗“的天命。","True"
"M16","出院、社会适应与机构判定","精神病院出院在文中不取决于反复证明自己正常，而取决于机构是否相信患者能够稳定、自食其力并回归社会。","作者机构逻辑解释","具体出院标准和患者判断未作外部核验。","1670","8aab801e-6e15-5492-873b-31e5a55825b0","2024-03-28","出院","https://www.zhihu.com/question/33035465/answer/3446854824","想要出精神病院，你需要证明的不是“我很正常”，而是“我无怨无害，希望自食其力”。","True"
"M17","婚检告知与程序留痕","作者用逐条告知、录像确认和事前同意设计婚检信息边界，并试图以此降低医生事后责任。","明示程序设想","免责效力、隐私和第三方知情均未作外部法律判断。","737","b1a3900f-899d-5834-9ce0-38e0a3a08ef6","2025-06-12","免责在先","https://www.zhihu.com/question/1914858029729429401/answer/1916504536400524202","如果想要防患于未然，可以像证券公司开户那样，写一个告知书，请体检双方对着录像机逐条听取告知内容并清晰回答“了解并同意”。","True"
"M18","医院建设与可实现性","扩建正规医院必须进入土地、拆建、地基、交通、停车、容量和专业协作等实务条件，不能以方向口号替代方案。","明示工程化追问","具体城市建设事实只作为作者主张。","2507","b135816f-3eca-5597-9056-a923e93d17f3","2022-11-30","扩建医院","https://www.zhihu.com/question/569548867/answer/2780830740","别的不说，“扩建正规医院”这条。","True"
"M19","医疗制度比较与定义","比较公私医疗制度时，作者要求先把费用、服务或其他指标定义为可讨论问题，不用模糊道德词直接封闭论辩。","明示论证程序","医疗费用和制度优劣未作外部验证。","1769","6b7b3522-b1b7-57ee-8cd7-e05aa5f0bc79","2024-02-17","AB胶","https://www.zhihu.com/question/548190850/answer/3399238133","如果说是“医院一旦私有化就会出现人均医疗费用暴涨”，那么这个议题尚属可以讨论。","True"
"M20","医疗供给与制度想象","文章设想中国以可负担医疗和养老服务吸引外国患者，并把这种能力归因于社会主义制度优势。","作者未来预测","产业、费用和制度比较均未作外部事实核验。","1732","6da6bef4-5c7b-565a-a12d-1c24c83ace99","2024-03-02","地球梦","https://www.zhihu.com/question/646714159/answer/3416205569","将来中国会有一个有意思的现象——韩日乃至欧美的国民大批的赴华做手术治疗，用他们私人的资金来享受中国医疗服务。","True"
"M21","公共财富与医疗可及性","医疗保障被写成国民分享公共财富的一部分；私人账户增加不等于公共服务可及性同步增加。","明示财富定义","国家比较和费用推演只作作者文本内判断。","1344","237002b1-d9ee-59a8-9c0d-196f964ff961","2024-09-03","所谓国富民穷","https://www.zhihu.com/question/525777261/answer/3613984761","因为这份个人财富真正的意义并不是简单的拿来变成吃喝而已，它在本质上还可以被认为是你个人对公共财富的分享资格。","True"
