领域,核心问题,主要概念,对应论文,证据层覆盖,状态
研究方法与证据,如何从公开文本重建作者观点,明示命题/重复模式/研究者解释,00/01,4050篇原文+4050篇精读,PASS
实践伦理与行动,人在不确定条件下如何行动,责任/能力/选择/试验/信用,02/03,跨文证据库,PASS
家庭与亲属,基本照护如何经权柄交接、功能替代和资源安排延伸为代际共同体,抚养/权柄退出/孝与养老/亲属信用/家庭财产/危机照料/家务协作/家族记忆,04/14/16,2076篇宽候选+692篇优先材料+48篇八层逐字核心证据+独立长篇,PASS
亲密关系,恋与爱如何经择偶、承诺、财务、互惠和冲突处理延伸到自由分离,爱欲/择偶/婚姻联盟/财产协议/净输出/冲突修复/同意边界/再次自愿,05/03/16,2947篇宽候选+775篇优先材料+48篇八层逐字核心证据+独立长篇,PASS
职场组织,产出与协作如何形成信任,志业/职业选择/产出/交付/分功/授权/体谅/竞争/退出,06/10,3490篇宽候选+1278篇优先材料+48篇八层逐字核心证据（47篇筛选证据+208补录）+22229字独立长篇,PASS
教育学习与能力形成,有限知识怎样经错误反馈、关系和制度转化为能力,有质量的错误/训练/社会化/教师权柄/课堂/考试/高等教育/教育目的,08/13,3726篇宽候选+851篇双路由优先材料+48篇八层逐字核心证据+独立长篇,PASS
认识论知识与论证,事实定义证据和批评怎样形成可复核且可修正的行动判断,共同世界/定义/证据/模型/达意/批评/知识生产/不确定决策,09/13,523篇认识论路由材料+48篇八层逐字核心证据+独立长篇,PASS
财富劳动,资源、劳动与关系责任如何连接,总账/成本/信用/市场/劳动,03/10/13,跨文证据库,PASS
宗教与自然法,超越性语言如何进入世俗论证,神意/自然法/可持续性/世俗理由,11,跨文证据库,PASS
国家法律秩序,服从、授权、退出和异议如何出现,授权/服从/证据/申诉/背叛/秩序,07/12,跨文证据库,PASS
技术产业文明,技术路线如何经工业基础、标准、所有权、劳动、智能和风险治理进入文明继承,可实现性/误差/基础设施/标准/所有权/自动化/AI/记录/能源/治理,13,3007篇宽候选+974篇优先材料+48篇八层逐字核心证据（47篇筛选证据+80补录）+27879字符独立长篇+24组条件关系与内部张力+独立原文审查,PASS
心理主体,痛苦、焦虑和孤独如何转为行动,反刍/自尊/信心/情绪边界/修复,14,25篇直接证据,PASS
性别身体性同意,性别角色如何经身体、欲望、同意、生育和照料劳动进入主体尊严,平权/角色权力/身体自主/性欲/许可/性教育/生育选择/照料劳动/物化/尊严,16,1768篇宽候选+370篇优先材料+48篇八层逐字核心证据+六篇筛选漏召回外围材料+28398字符独立长篇+24组条件关系+选文与长篇审查,PASS
医疗疾病与照料,病患主体如何连接诊断照料和公共卫生,病患主体/诊断/医患关系/精神医疗/公共卫生,25,554篇候选+25篇逐字核心证据+独立长篇,PASS
犯罪刑罚与司法,怀疑如何经程序刑罚和悔改回到合作,怀疑/证据/裁决/刑罚/悔改/重新授信,26,732篇候选+30篇逐字核心证据+48篇正文原文+独立审读,PASS
战争军事与外交,胜利定义如何连接组织技术责任和修和,战略/动员/工程/威慑/战争责任/外交/修和,27,1057篇宽候选+261篇优先队列+32篇逐字核心证据+独立长篇,PASS
艺术审美与文化生产,价值如何进入形式生产承认和传承,审美/批评/媒介/电影工业/AIGC/文化/传统/胜利者标准,28,1747篇宽候选+404篇优先队列+36篇逐字核心证据+独立长篇+第二模型审读,PASS
媒体舆论,事实如何经信源媒体平台和群体判断进入公共行动,信源/新闻/谣言/舆论/宣传/算法/评论权柄/注意力,29,939篇宽候选+298篇优先队列+32篇逐字核心证据+独立长篇,PASS
死亡祭祀与纪念,个体死亡如何进入临终照料丧葬祭祀公共记忆和代际传承,临终/丧葬/哀悼/祭祀/纪念/遗愿/遗物/历史存在,30,872篇宽候选+159篇优先队列+36篇六层逐字核心证据+独立长篇,PASS
民族族群与身份,文化认同如何经血缘叙事种族判断国籍爱国移民同化殖民和跨群体合作形成共同体边界,民族/族群/种族/血缘/国籍/爱国/移民/华人/语言/同化/殖民/帝国/共存,31,666篇宽候选+153篇优先材料+48篇八层逐字核心证据+27045字符独立长篇+24组条件关系+独立选文审查,PASS
生态能源与自然,自然关系如何经生态系统灾害能源农业动物污染和程序治理进入文明秩序,关系/应付力/演化/多样性/容灾/能源基础设施/粮食/跨物种/污染闭环/生态责任,32,2358篇宽候选+158篇优先材料+48篇八层逐字核心证据（46篇筛选证据+822和2087补录）+24793字符独立长篇+24组条件关系+独立选文与成文蓝图审查,PASS
人工智能与机器,智能如何经知识可信算力架构具身系统劳动创作风险和未来契约进入文明秩序,提问/意识/硬件/核心文献/开源/公共算力/机器人/自动化/教育/创作/意识安全/权利,33,276篇宽候选+89篇优先材料+48篇八层逐字核心证据（44篇筛选证据+769/3339/3676/3989补录）+26140字符独立长篇+24组条件关系+两套独立选文审查与主线程裁决,PASS
历时变化,表达重心是否发生迁移,平台/题材/概念可见度/稳定结构,15,4050篇统计+跨期样本,PASS
跨域结构,责任自由成本如何在不同领域变形,能力/选择/后果/授权/信任,18/总论,概念网络+跨域原文抽样,PASS
