"ordinal","id","title","date","concepts","paperRoutes"
"1","9af3f757-ffb6-5c9e-b461-afdf9ccea949","奠仪几何","2026-07-17","选择与自由;责任与后果;成本与总账;信用与信任;净输出与不掠夺;照料与家庭;财富与市场","02;03;04;05;06;07;10;12;13;14;16;18"
"2","359095f1-02f7-5cfb-ac88-a2add28d06ca","后半句","2026-07-16","能力与学习;劳动与组织","06;08;10;13;18"
"3","8bc2c71a-1303-5254-a513-fdb710fb8876","小小红花","2026-07-15","爱与回应;照料与家庭","04;05;14;16"
"4","3d0daabb-8f65-5e52-b6b0-03280864f723","史不绝书","2026-07-14","事实与证据;能力与学习;责任与后果;成本与总账;爱与回应;照料与家庭;文明与历史","02;03;04;05;08;09;10;11;12;13;14;15;16;17;18;31;32;33"
"5","a604bf02-e52d-5e1f-91c6-81dfade38ed7","悼亡存活","2026-07-14","定义与达意;责任与后果;成本与总账;爱与回应;照料与家庭;劳动与组织;文明与历史;心理与主体","02;03;04;05;06;08;09;10;11;12;13;14;15;16;17;18;31;32;33"
"6","afd418f9-36d1-5652-8f90-188680e6cfbf","胜半子","2026-07-14","事实与证据;定义与达意;能力与学习;选择与自由;责任与后果;技术与工程","02;03;07;08;09;10;12;13;16;17;18;32;33"
"7","ed1a358b-b31d-5945-b776-b8573ecaa0c4","松则久","2026-07-14","能力与学习;责任与后果;成本与总账;信用与信任;爱与回应;边界与许可;心理与主体","02;03;04;05;06;08;10;12;13;14;16;17;18"
"8","03c701aa-9760-5272-9215-6de6a61ce6f9","尊者","2026-07-14","事实与证据;定义与达意;能力与学习;成本与总账;信用与信任;爱与回应;净输出与不掠夺;边界与许可;财富与市场;权力与异议;性别与身体","03;04;05;06;07;08;09;10;12;13;14;16;17;18"
"9","361ab29e-ae77-522b-9c3f-1daf2618bd25","只管赢","2026-07-13","事实与证据;责任与后果;成本与总账;边界与许可","02;03;05;08;09;10;12;16;17;18"
"10","893754bc-52c0-5b80-9a90-3c8ad28acc68","45度c","2026-07-13","事实与证据;选择与自由;责任与后果;成本与总账;爱与回应;边界与许可;财富与市场;权力与异议;心理与主体","02;03;04;05;07;08;09;10;12;13;14;16;17;18"
"11","8db8f172-3520-5077-a078-2c9578ebaf39","一寸欢喜","2026-07-13","事实与证据;能力与学习;选择与自由;责任与后果;成本与总账;信用与信任;爱与回应;边界与许可;照料与家庭;劳动与组织;权力与异议;心理与主体","02;03;04;05;06;07;08;09;10;12;13;14;16;17;18"
"12","c5387c74-4eb0-58ff-a62c-82d469118f33","轻而圆","2026-07-13","事实与证据;选择与自由;信用与信任;财富与市场;权力与异议;文明与历史","02;03;06;07;08;09;10;11;12;13;15;16;17;18;31;32;33"
"13","da325fde-b89e-50ce-9a2b-e846efc4955f","群英","2026-07-13","定义与达意;能力与学习;选择与自由;责任与后果;照料与家庭;劳动与组织","02;03;04;05;06;07;08;09;10;12;13;14;16;17;18"
"14","a16da506-5c08-5099-816e-25262f8afb82","小炮仗","2026-07-13","事实与证据;能力与学习;选择与自由;责任与后果;成本与总账;照料与家庭;权力与异议;技术与工程;性别与身体","02;03;04;05;07;08;09;10;12;13;14;16;17;18;32;33"
"15","26039300-f815-55a5-bd97-e5aa22635fba","高跟","2026-07-12","选择与自由;成本与总账;爱与回应;技术与工程;心理与主体;性别与身体","02;03;04;05;07;08;10;13;14;16;17;18;32;33"
"16","8f631982-8f74-539e-ade3-31e78b2b2f7f","未足之婚","2026-07-12","能力与学习;选择与自由;责任与后果;成本与总账;信用与信任;爱与回应;照料与家庭","02;03;04;05;06;07;08;10;12;13;14;16;18"
"17","a15b7aeb-2adf-565c-a240-a4b54cc970ef","做事第一","2026-07-12","定义与达意;责任与后果;信用与信任;劳动与组织;权力与异议","02;03;06;07;09;10;12;13;17;18"
"18","d4d427c5-38df-5cd1-931b-d0ad6a4fd6c0","瞎义警","2026-07-12","事实与证据;定义与达意;选择与自由;责任与后果;法律与秩序;权力与异议","02;03;07;08;09;10;12;16;17;18"
"19","d0ddadd2-33e1-5daa-816d-5414e23c4c66","长明火","2026-07-12","选择与自由;成本与总账;财富与市场;法律与秩序;文明与历史;生态与自然","02;03;07;10;11;12;13;15;16;18;25;31;32;33"
"20","4878f245-bcf4-52f7-8daa-3a0ad9e46ae8","有所成","2026-07-12","事实与证据;能力与学习;选择与自由;责任与后果;成本与总账;信用与信任;照料与家庭;财富与市场","02;03;04;05;06;07;08;09;10;12;13;14;16;17;18"
"21","6f4bef26-7da0-52f4-ba36-4b31bc224b4d","喧宾夺主","2026-07-11","选择与自由;责任与后果;成本与总账;爱与回应;照料与家庭;劳动与组织;财富与市场;权力与异议;宗教与自然法","02;03;04;05;06;07;10;11;12;13;14;16;18"
