"period","articleCount","concept","conceptArticleCount","conceptArticleRate"
"2017-2020","514","事实与证据","224","0.435798"
"2017-2020","514","定义与达意","266","0.51751"
"2017-2020","514","能力与学习","352","0.684825"
"2017-2020","514","选择与自由","320","0.622568"
"2017-2020","514","责任与后果","321","0.624514"
"2017-2020","514","成本与总账","320","0.622568"
"2017-2020","514","信用与信任","139","0.270428"
"2017-2020","514","爱与回应","157","0.305447"
"2017-2020","514","净输出与不掠夺","44","0.085603"
"2017-2020","514","边界与许可","171","0.332685"
"2017-2020","514","照料与家庭","120","0.233463"
"2017-2020","514","劳动与组织","173","0.336576"
"2017-2020","514","财富与市场","150","0.291829"
"2017-2020","514","法律与秩序","181","0.35214"
"2017-2020","514","权力与异议","196","0.381323"
"2017-2020","514","技术与工程","191","0.371595"
"2017-2020","514","文明与历史","214","0.416342"
"2017-2020","514","民族与身份","53","0.103113"
"2017-2020","514","生态与自然","77","0.149805"
"2017-2020","514","人工智能与机器","17","0.033074"
"2017-2020","514","心理与主体","194","0.377432"
"2017-2020","514","性别与身体","74","0.143969"
"2017-2020","514","宗教与自然法","51","0.099222"
"2021-2023","1676","事实与证据","629","0.375298"
"2021-2023","1676","定义与达意","774","0.461814"
"2021-2023","1676","能力与学习","1080","0.644391"
"2021-2023","1676","选择与自由","999","0.596062"
"2021-2023","1676","责任与后果","1052","0.627685"
"2021-2023","1676","成本与总账","1066","0.636038"
"2021-2023","1676","信用与信任","434","0.25895"
"2021-2023","1676","爱与回应","497","0.296539"
"2021-2023","1676","净输出与不掠夺","138","0.082339"
"2021-2023","1676","边界与许可","539","0.321599"
"2021-2023","1676","照料与家庭","407","0.24284"
"2021-2023","1676","劳动与组织","538","0.321002"
"2021-2023","1676","财富与市场","433","0.258353"
"2021-2023","1676","法律与秩序","623","0.371718"
"2021-2023","1676","权力与异议","555","0.331146"
"2021-2023","1676","技术与工程","465","0.277446"
"2021-2023","1676","文明与历史","464","0.27685"
"2021-2023","1676","民族与身份","113","0.067422"
"2021-2023","1676","生态与自然","148","0.088305"
"2021-2023","1676","人工智能与机器","49","0.029236"
"2021-2023","1676","心理与主体","671","0.400358"
"2021-2023","1676","性别与身体","197","0.117542"
"2021-2023","1676","宗教与自然法","149","0.088902"
"2024-2026","1860","事实与证据","610","0.327957"
"2024-2026","1860","定义与达意","726","0.390323"
"2024-2026","1860","能力与学习","1163","0.625269"
"2024-2026","1860","选择与自由","1013","0.544624"
"2024-2026","1860","责任与后果","1198","0.644086"
"2024-2026","1860","成本与总账","1122","0.603226"
"2024-2026","1860","信用与信任","558","0.3"
"2024-2026","1860","爱与回应","645","0.346774"
"2024-2026","1860","净输出与不掠夺","157","0.084409"
"2024-2026","1860","边界与许可","557","0.299462"
"2024-2026","1860","照料与家庭","527","0.283333"
"2024-2026","1860","劳动与组织","583","0.313441"
"2024-2026","1860","财富与市场","451","0.242473"
"2024-2026","1860","法律与秩序","467","0.251075"
"2024-2026","1860","权力与异议","459","0.246774"
"2024-2026","1860","技术与工程","452","0.243011"
"2024-2026","1860","文明与历史","403","0.216667"
"2024-2026","1860","民族与身份","55","0.02957"
"2024-2026","1860","生态与自然","125","0.067204"
"2024-2026","1860","人工智能与机器","52","0.027957"
"2024-2026","1860","心理与主体","775","0.416667"
"2024-2026","1860","性别与身体","240","0.129032"
"2024-2026","1860","宗教与自然法","118","0.063441"
