"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceLayer"
"W01","劳动、事业与职业意义","作者认为，与其不断寻找省力诀窍，不如建立以工作、学习和劳动过程为乐的能力，并在实践中持续改进方法。","劳动快感与实践改进","文章讨论青年长期行动习惯，不是具体职业选择指南；本篇是经原文复核批准的筛选层补录。","208","7d40ff51-8245-5989-b90a-edd964e96a7b","2026-04-14","好战之徒","https://www.ifdian.net/p/29903e4231ce11f18a6e5254001e7c00","世界上最珍贵的东西，就是劳动、战斗、学习本身的快感。","True","approved-supplement"
"W02","劳动、事业与职业意义","作者把工作所得继续投入事业写成志业型人生的幸福，并把健康与家庭维持放在事业的基础投入位置。","强志业伦理与基础投入","这是作者对志业型人生的强规范表述，不能自动推广为所有雇佣岗位的工时规则。","60","2dcc4d6a-58bf-5e68-9c51-319d51c0f11e","2026-06-30","工德无量","https://www.zhihu.com/question/6727174235/answer/2054345141004006552","把个人的健康、家庭的维持看作工作的基础投入","True","screened"
"W03","劳动、事业与职业意义","作者认为职业倦怠的根本修复来自对客户群体的真实关切，以及服务关系进入正向反馈循环。","客户关切与职业倦怠","主要针对以持续服务客户为结构的职业；作者明确认为简单换工作不能解决这种倦怠。","1624","efc59617-3016-5780-86fc-31d4106a06c0","2024-04-25","倦怠","https://www.zhihu.com/question/653772835/answer/3477653544","一言以蔽之——击退这种倦怠的根本，是有效的、踏入正循环的爱。","True","screened"
"W04","劳动、事业与职业意义","作者把准备性琐事看作核心工作的组成条件，把善后性琐事转化为流程、规范和整体设计的改进问题。","琐碎劳动与工作整体性","文章区分准备工作和可通过设计压缩的善后工作，并未要求接受全部低效杂务。","1581","666f6b9a-c4b6-5e84-a0d1-8ef8638a22e1","2024-05-18","琐碎事尔","https://www.zhihu.com/question/654867829/answer/3501942851","准备工作与关键工作的关系更为紧密，其存在往往是不可减损的，因为会影响到关键工作的执行细节。","True","screened"
"W05","劳动、事业与职业意义","作者认为团队看重的是关键时刻仍维持交付和职业信誉，而不是逃避家庭或沉迷工作的无边界加班。","关键交付与职业信誉","文章严格区分三种事业狂场景；履职后仍应处理家庭事务，不能据此推出日夜加班义务。","962","b1036158-c0da-5eb5-9011-d0609bd5db83","2025-02-10","工作优先","https://afdian.com/p/5976b99ce71f11efaeb952540025c377","职业信誉是一个人的社会生命。","True","screened"
"W06","劳动、事业与职业意义","作者认为具体工作和职业可能中断，真正可携带的职业资本是已创造的价值记录和能直接展示能力的作品。","职业生命与可携带成果","针对失业与职业韧性；作者并非说在缺少战绩和作品时年龄、学历等因素完全无关。","2132","9a726b46-0f83-5645-9696-1fc698bce52d","2023-07-09","职业生命","https://www.zhihu.com/question/610628297/answer/3110051471","战绩和能展现能力的作品才是真正的职业硬通货。","True","screened"
"W07","求职、选择与职业发展","作者认为面谈愉快是面试官的基本职责，落选不能直接等同于实际工作能力被否定，合作姿态是面谈重点。","面试筛选与合作姿态","这是作者对企业招聘和人才池的解释，不应写成所有公司的确定流程。","1031","3b8ef0e6-214b-5313-9ec1-dac59aa419fa","2025-01-11","面试愉快","https://afdian.com/p/ea592f96cffd11ef86c652540025c377","你没过面试，其实跟你的实际能力是否真能应付那个工作并没有绝对关联","True","screened"
"W08","求职、选择与职业发展","作者认为职业适配应看自己是否真正想要该职业成功者的生活，并区分可绕、既成和契约规定的困难。","职业适配与困难判断","成功者参照不应选得遥不可及；文章后半还扩展到一般社会责任。","312","062b2bad-4348-5c1d-895e-83d0f0b1c037","2026-02-12","应分困难","https://afdian.com/p/504679d601de11f19eaf5254001e7c00","所谓“适不适合做这份职业”，有一个很好的判断工具，就是看你是否想要这个职业的成功者的生活状态。","True","screened"
"W09","求职、选择与职业发展","作者认为重大专业选择无法保证正确，尽过调查义务后，应选择即使错误也能由未来的自己承受和原谅的方向。","职业选择与后悔成本","不等于调查研究无用；作者处理的是长期、难逆转选择的责任承担。","1625","b6c8ab98-21b5-5a55-993a-a75ddac6f60d","2024-04-24","自由的印花税","https://www.zhihu.com/question/653732373/answer/3476443090","你所能有的最好的选择，并非所谓的“正确的选择”，而是“我能原谅的选择”——the choice you can live with.","True","screened"
"W10","求职、选择与职业发展","作者主张把职业理解为跨岗位的元角色，把具体岗位视为职业阶段，并投资可跨环境持续使用的元技能。","职业规划与元能力","长文建立在作者关于意义、死亡和需求健壮性的整体框架上；设计师只是示例。","3874","be6d869d-9c60-5b87-85ff-30c3772ce48f","2019-11-18","职业规划","https://www.zhihu.com/question/25583089/answer/899020828","你的职业，应该是一个这样级别的表述。这才是你的职业，其他的修饰词只是你的职业的阶段性的附加属性。","True","screened"
