"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact"
"D01","死亡认识、必死信念与自由","作者区分“人会死”和“人必然会死”，并把普遍死亡理解为兼具个人宽慰、社会幸存和牺牲动员功能的文明信念。","作者的死亡认识论与社会功能解释","普遍死亡的证据限度、古代长生观和文明竞争史均只记录为作者判断。","3737","f975f3fe-005b-53dd-8f44-2741aefcda9b","2020-07-07","死亡","https://www.zhihu.com/question/19795293/answer/1323213160","“人终有一死”是人类最大的宽慰。","True"
"D02","死亡认识、必死信念与自由","作者认为记忆容量、调用能力、运算速度、身体载体和人格连续性共同限制真正永生，单纯延长生理活动不能保全同一主体。","作者的思想实验与技术判断","记忆、意识上传和脑机改造的技术可行性均是作者推演，不作外部科技裁决。","3678","ac580308-0276-5166-ae63-b3d6978bc550","2020-08-28","长生不死的脑残","https://www.zhihu.com/question/417913464/answer/1438032852","实际上是你的思维机制本身最终决定了你无法在真实意义上永生，不是新陈代谢，也不是所谓的端粒限制。","True"
"D03","死亡认识、必死信念与自由","作者按资源效率排列死亡相关投入，主张优先延缓死亡、改善存活质量和降低死亡恐惧，而不是把全部资源投入攻克死亡。","明示资源优先级判断","族群危机和牺牲意识形态的必要性属于作者的历史尺度推演。","4039","6e00a9d7-d4d4-5578-9443-cf54d8b34d1f","2018-07-22","攻克死亡","https://www.zhihu.com/question/286304501/answer/448634740","我们当然只有把重心放在更有效率的“让人暂时不死”和“让暂时死不了的人活得好一些”上。","True"
"D04","死亡认识、必死信念与自由","作者把死亡恐惧解释为文化塑造和未来预期的共同结果，并把一定程度的恐惧视为防止低估风险的生命保险。","作者的心理功能判断","文章给出等待适应和深入认识死亡两条路径，不是临床诊断或治疗方案。","4032","8a49d412-0d16-53de-8b16-89f95e650b50","2018-08-18","宁不畏死","https://www.zhihu.com/question/290777932/answer/472110636","死亡恐惧所造成的负担，客观上就像你为生命买的一份保险。","True"
"D05","死亡认识、必死信念与自由","作者把明知某项行动会提高死亡概率而仍自愿接受风险的死亡称为自觉死亡，并将其解释为自由价值的实现。","明示自由与死亡命题","文章以风险知情和自愿接受为条件，不把一切意外死亡或被迫死亡都写成自由实现。","1486","3c578072-8c70-544b-b22d-55f2fb2b7a7a","2024-07-07","自由的实现","https://afdian.com/p/ab9029323bd711ef86ac52540025c377","自觉的死亡是自由的实现。","True"
"D06","死亡认识、必死信念与自由","作者认为事故后的教训会永久缩小行动空间，因此安全收益必须与禁区范围、执行成本和生命能力损失一起计算。","明示风险与教训算法","文章允许为超越性价值承担致命后果，但反对把一般教训总结成取消全部行动能力的禁令。","2400","374a442b-2826-5d39-932e-d8896d3adf3f","2023-02-07","教训的方法","https://www.zhihu.com/question/582294603/answer/2880495164","教训导致的选择余地的损失范围和执行教训的具体成本构成教训的成本，该成本越低越好。","True"
"D07","临终准备、遗嘱与抚慰","作者把临终关怀扩展到盛壮之年，要求提前安排葬礼、遗产、忏悔、原谅和重要关系，使死亡准备反过来重排当前生活。","明示临终准备主张","作者以传统葬礼准备说明从容面对死亡，不等同于专业安宁疗护的完整定义。","1547","ea7dd942-d9c3-5ff8-8c2e-0cd8767e5d54","2024-06-07","临终关怀","https://www.zhihu.com/question/452075166/answer/3522636629","活着的每一刻都是临终，“临终关怀”就是向死而生罢了。","True"
"D08","临终准备、遗嘱与抚慰","作者要求临终抚慰者不越权保证康复，而应具体处理病人的生活、遗属、事业、义务和精神遗产焦虑，并防止无爱者借绝望攫取信仰。","明示抚慰程序与守护边界","超脱生死被作者设为需要长期经验、信任和机缘的高门槛行动，不是普通陪伴者的默认权限。","1485","2702982e-d0ee-5380-99d5-05ba3af76193","2024-07-07","临终抚慰","https://afdian.com/p/77a7d0243bdd11efbe9652540025c377","绝不能容无爱的人对将死之人谈信仰，危险至极。","True"
"D09","临终准备、遗嘱与抚慰","作者把持续写作、修改和公证遗嘱视为把模糊死亡恐惧转化为可反复决定的具体练习。","明示行动建议","短文只给出个人练习方向，没有展开遗嘱内容、效力和法律程序。","2785","1f6d2379-e6ed-5e52-a24d-1bbb60aa586b","2022-05-24","预备死亡","https://www.zhihu.com/question/532437441/answer/2499291627","试试开始写遗嘱。","True"
"D10","临终准备、遗嘱与抚慰","作者以亲人先到前方等待和熟悉环境的共同体想象，提供一种不把离世写成绝对失联的临终告别话语。","作者的修辞性临终抚慰","这是针对弥留告别的简短表达，不是作者对死后世界的事实断言。","2350","bad58134-0613-5973-843b-2bc93ebb9733","2023-03-14","去世之前","https://www.zhihu.com/question/288232772/answer/2935662809","在前面等我们几年，没事多溜达，替我们熟悉一下环境。","True"
"D11","临终准备、遗嘱与抚慰","作者反对以孝道要求子女毁尽家产延长父母生命，主张父母提前划定医疗资金和代际财产边界，并为后代与社会保留遗产。","作者的临终资源与家族责任判断","具体支出红线、遗产比例和家族可持续性均由作者按其伦理模型提出，不替代法律或医疗决定。","1367","8ddbef7b-4c40-5766-ada3-52335be104eb","2024-08-25","取死之道","https://afdian.com/p/c1fa3352626011ef9ccf52540025c377","作为父母，要对两代人的财产有充分的边界意识——父母的财产就是父母的财产，子女的就是子女的。","True"
"D12","临终准备、遗嘱与抚慰","作者把养老院重构为生死教育、修和送别和代际传承的机构，认为临终经验应进入社会学习，而不能只被消费型护理封闭起来。","作者的养老机构理想模型","文章明确把正式加入设为长期、自愿、逐层取得资格的少数道路，不称为所有老人的统一方案。","3711","4ff7810c-9d49-578c-9b34-6fbe725ee959","2020-07-25","老有所依2","https://www.zhihu.com/question/403290284/answer/1360171805","养老院首先应该是一所关于生存和死亡的学术机构。","True"
"D13","丧葬、遗体与墓地技术","作者从地层塌陷、气味、动物、水分和排水解释棺椁、木炭、膏泥与墓址选择，把丧葬礼制还原为遗体处置工程。","作者的墓葬工程解释","具体材料性能、墓制等级和古代技术史只按作者文本记录。","64","8b35202b-98f5-56ef-b715-e232938a1c89","2026-06-30","无色无味","https://www.zhihu.com/question/1948918145973716373/answer/2054291729503761272","其实埋葬尸体防止气味外泄的要害在于棺材。","True"
"D14","丧葬、遗体与墓地技术","作者把墓葬解释为早期文明的长期实物证据，又把稳定墓地写成定居共同体的卫生设施、地理锚、历史见证和伦理锚。","作者的文明起源与共同体解释","墓葬年代、风水功能和文明因果链属于作者推测，未作考古与历史外部核验。","1925","4a39b739-19ad-5499-a6fe-35a9475ece3b","2023-11-16","家祭无忘告乃翁","https://www.zhihu.com/question/352323137/answer/3291146289","坟墓是第一种能长时间存在的历史实物证据，这一点非常非常的关键，甚至可以说型塑了整个中国的文明史。","True"
"D15","丧葬、遗体与墓地技术","作者要求子女先承担父丧费用，再以致谢和回礼责任索取奠仪明细，使葬礼成本、亲属劳动和人情账户进入明确程序。","作者的丧葬责任与程序建议","直系责任、人情往还和伦理施压的正当性均是作者判断，不作为普遍法律义务。","1","9af3f757-ffb6-5c9e-b461-afdf9ccea949","2026-07-17","奠仪几何","https://www.ifdian.net/p/85097b3e7bd011f1978652540025c377","为人子者，绝无父丧不自己出钱的道理，还望大伯成全。","True"
"D16","丧葬、遗体与墓地技术","作者设想把自己的骨灰制成盲道水泥砌块，使遗体不固定于私人墓地，而在死后继续成为公共通行条件。","作者的身后处置设想","短文表达个人设想，没有讨论实施许可、材料标准和公共工程程序。","651","026dafd1-371b-551e-936c-51fc9e27c377","2025-07-28","铺路石","https://afdian.com/p/ef41553e659311f09ad052540025c377","找一个需要修盲道的地方铺下去。","True"
"D17","丧葬、遗体与墓地技术","作者认为烈士陵园因建造时靠近旧城、城市持续扩张和纪念地难以拆迁，逐渐从边缘进入城市中心并成为稳定政治地标。","作者的城市空间与纪念解释","城市位置、年代和规划规律是作者概括，没有逐城统计核验。","2008","e8efc7f4-9d13-58cd-a7b8-2572233298ae","2023-09-21","陵园","https://www.zhihu.com/question/479445940/answer/3220916465","烈士陵园绝大部分都在市中心。","True"
"D18","丧葬、遗体与墓地技术","作者认为空间站死亡应优先完整保存并返运遗体，因为礼仪、伦理和太空医学研究价值同时要求留存；只有绝对无法返运时才接受太空葬。","作者的航天遗体处置判断","文章讨论罕见未来场景，航天选拔、捐赠条款和技术程序均是作者推演。","2069","66abbe02-927e-54fa-a5da-e65c9da0d232","2023-08-18","太空葬","https://www.zhihu.com/question/617927402/answer/3171502393","当然是用完善的保护手段保存起来，等待货运飞船转运回地面。","True"
"D19","哀悼、悼亡与继续生活","作者认为持续祭祀和纪念让生者相信奉献会被后代承接，由此支撑生育、家族经营、长期劳动和个人意义。","明示纪念价值判断","祭祀与生育意愿、职业稳定和心理成本之间的因果只记录为作者解释。","5","a604bf02-e52d-5e1f-91c6-81dfade38ed7","2026-07-14","悼亡存活","https://www.zhihu.com/question/2041099712179197278/answer/2041943218405773323","纪念是最基本的爱，我们不该吝啬。","True"
"D20","哀悼、悼亡与继续生活","作者反对歌颂殉情、殉节和集体殉亡，认为这种赞美以牺牲仍可生活的人来强化社会法则，爱应帮助留下者免于失去后的恐惧。","明示反殉判断","文章以极端思想实验揭示社会利益，没有否定哀悼本身。","842","df3d518f-f0b6-50d5-ad42-f5eaccfb6d25","2025-04-16","殉","https://www.zhihu.com/question/1894688625788163796/answer/1895961093391763061","我死了，你殉情，那就是我输了。","True"
"D21","哀悼、悼亡与继续生活","作者把悔恨和幸存者负疚的首要出口设为降低同类损害的复现概率，反对以自我折磨再次消费受害和过错。","明示悔恨转化公式","文章称其为统一公式，是作者的强命题；具体事件仍需分别判断可行的预防行动。","1903","e5dd0424-f1f0-5874-aab9-f9a4dd7fed75","2023-11-30","不贰过","https://www.zhihu.com/question/598417297/answer/3308508492","尽量让将来的人不必再遭受同样的损害。","True"
