"period","platform","groupArticleCount","term","fullTextArticleCount","authorTextArticleCount","quoteOnlyArticleCount","fullTextRate","authorTextRate","rateDelta","fullTextOccurrenceCount","authorTextOccurrenceCount"
"2017","Zhihu","1","事实","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","证据","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","定义","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","能力","1","1","0","1","1","0","1","1"
"2017","Zhihu","1","学习","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","教育","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","选择","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","自由","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","责任","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","义务","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","后果","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","成本","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","风险","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","资源","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","总账","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","信用","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","信任","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","承诺","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","爱","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","净输出","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","不掠夺","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","劳动","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","产出","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","财富","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","社会资本","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","权利","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","权力","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","授权","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","服从","0","0","0","0","0","0","0","0"
