"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceLayer"
"E01","民族概念、共同体与边界","作者把中华民族定义为文化认同而非血统身份，并把民族分类解释为殖民分化工具。","民族概念与文化认同","只代表本文的民族概念和殖民解释，不是作者对全部生物、法律身份问题的完整分类。","3201","91ee65f7-c203-546b-87eb-88aa7a2d45f6","2021-07-16","所谓民族","https://www.zhihu.com/question/466310147/answer/2000850134","“中华民族”根本就不是一个血统身份，而是一个文化认同身份。","True","screened"
"E02","民族概念、共同体与边界","作者把民族主义压缩为平等和自主诉求，把种族主义压缩为优越、孤立和不需要他者。","民族主义与种族主义的明示区分","这是作者用于伦理自检的压缩定义，不是对两者全部历史形态的穷尽说明。","3170","525ef1d9-b14d-5532-a015-aacbdde26dc0","2021-08-01","民族种族","https://www.zhihu.com/question/24102030/answer/2032500002","民族主义的口号是“我们不比任何人差”，","True","screened"
"E03","民族概念、共同体与边界","作者认为民族团结不是对称交换，而是强者向弱者开放；通婚、接纳混血后代及其权利是关键证明。","强弱结构、通婚与民族团结","文本集中讨论强弱关系和通婚开放，未给出民族团结的全部制度安排。","2266","4de35408-af2d-5f72-81bd-e2a6daf11769","2023-05-01","民族团结","https://www.zhihu.com/question/360387551/answer/3008373551","团结并不是一种相互对称的等价交换，而是强者基于优越的实力和高度的自信，对弱者的开放、宽容和接纳。","True","screened"
"E04","民族概念、共同体与边界","作者把国际主义界定为某种跨国理想高于本国利益，并另将国际人道主义从阵营式国际主义中分出。","民族国家与跨国身份边界","文中的不忠判断以该国是否为这种国际主义中心为条件，并明确不包括作者所称国际人道主义。","1744","e02124e6-c145-51cd-a403-d4b0e8f6ca87","2024-02-27","国际主义","https://www.zhihu.com/question/546130661/answer/3411471696","一个自我声明的国际主义者对于民族国家而言就是一个公开的不忠者。","True","screened"
"E05","民族概念、共同体与边界","作者认为民族只有主动增进他者繁荣、对敌人也保留援助和人道主义，才配称伟大。","民族伟大与对外责任","文章提出的是民族使命标准，没有展开有限资源下的政策排序。","3833","c5e0fe48-8357-509a-bbb1-c17b2e572ff7","2020-03-04","伟大","https://www.zhihu.com/question/324625825/answer/1054427120","让自己繁荣不叫伟大，让别人能繁荣才称为伟大。","True","screened"
"E06","民族概念、共同体与边界","作者主张中国使权谋服从大义，不称霸而以仁义和温柔承担天下责任。","中国共同体的文明使命","“必终为王”是本文的文明使命判断和历史预期，不应改写成已经实现的事实。","3600","e6c5aa02-5567-53d5-8c88-430f5cdd949b","2020-10-25","王天下","https://www.zhihu.com/question/351381447/answer/1542235785","中国永远不称霸，但中国必终为王。","True","screened"
"E07","血缘、谱系与历史形成","作者反对用普通民族单位概括华夏和犹太，认为二者是长期面向整个世界形成的文明实体，其特性来自历史角色而非先天勤劳智慧。","民族单位与文明实体","文章使用高度整体化的文明角色对比，没有展开内部地区、阶层和反例。","3689","a0bebc70-3e3d-50bd-a502-49214e856470","2020-08-15","聪明族","https://www.zhihu.com/question/413909432/answer/1409441417","这是两个文明级别的实体，你无法用“民族”来概括它们。","True","screened"
"E08","血缘、谱系与历史形成","作者把尚武解释为社会围绕力量、纪律、国防和军事动员进行自我改造，而不是个人肌肉崇拜。","民族性格与长期动员结构","对汉族制度、礼仪和历史的解释是本文的文明总括，不是逐时代的制度史。","1185","3087df6a-8869-5d07-bb6a-6ea95a64bb65","2024-10-19","尚武民族","https://www.zhihu.com/question/22013738/answer/9239073280","尚武是指重视力量胜于一切，围绕实力追求来毫不留情的建设和改造自身","True","screened"
"E09","血缘、谱系与历史形成","作者把墓葬解释为由卫生和安全技术发展成的仪式、遗产及伦理锚，先祖墓地使群落与土地长期相连。","祖先、墓地与共同体记忆","文章讲的是墓葬形成共同体记忆的文本内机制，不等于所有传统规则都由墓葬产生。","1925","4a39b739-19ad-5499-a6fe-35a9475ece3b","2023-11-16","家祭无忘告乃翁","https://www.zhihu.com/question/352323137/answer/3291146289","真正安土重迁的，并不是活人，而是已经入土为安的先祖们。","True","screened"
"E10","血缘、谱系与历史形成","作者认为家族认祖常服务于精神财富、战略定位和政治利益，未必首先服从DNA或史学证据。","谱系叙事的政治功能","文章讨论身份叙事如何运作及公开驳斥的冲突成本，不是否认一切谱系研究。","1890","8a3adbba-acb1-5edb-99a9-8ed7264642e3","2023-12-10","中山靖王之后","https://www.zhihu.com/question/309154799/answer/3319842097","历史叙事首先是政治机制的结果，而不是史学规范的结果。","True","screened"
"E11","血缘、谱系与历史形成","作者以生育、归化和部落延续解释早期群体边界，并把贞操观解释为降低掠夺收益的战略承诺。","部落延续、生育与归化","作者随后转向追问现代政策授权，没有把史前机制直接确立为现代规范。","3577","27419a6a-7676-5037-902d-c93399b96f37","2020-11-22","不杀妇孺","https://www.zhihu.com/question/430768656/answer/1588015715","育龄妇女成了一种事关部落未来生死的战略资源，于是同时是一种会招来攻击的重大诱因。","True","screened"
"E12","血缘、谱系与历史形成","作者把提问者对白人气质和成就的羡慕归因于双方所处历史位置不同，而非白人种族的天然优越。","种族印象与历史盛衰","文章使用反事实历史比较反驳种族归因，没有建立完整的群体差异理论。","1102","5503b713-e08f-597b-b11f-53be1f585170","2024-12-04","先脱鞋","https://www.zhihu.com/question/22045490/answer/47593261902","真正导致你羡慕的，并不是“种族”要素，而是历史的盛衰涨落。","True","screened"
