张力ID,一端命题,另一端命题,一端证据ID,另一端证据ID,主要证据文章,张力性质,共同条件,未统一处,当前处理
T01,持续产出与承诺相关,降低欲望减少劳动可获宁静,2dcc4d6a-58bf-5e68-9c51-319d51c0f11e,446ed510-22ee-5cc9-ab46-f5ef8d851fa7,工德无量/清静无为,条件差异,都要求主体对自己选择的生活方式承担后果,已经接受公共承诺后能否以低欲望为由退出,按承诺范围分开呈现
T02,爱是净输出且不索债,家庭照料存在长期依赖和共同成本,61ba1ab9-4f3d-54b2-8b54-a8ab10fb71aa,fedadbd7-2954-5679-ba74-564b76c57363,无关之爱/生育抑郁/快乐的信心,概念适用范围差异,都反对把照料自动变成控制权,长期互赖中的净增益如何计算,保留不索债与共同承担两端
T03,爱接受成年主体自由和父母不支持权,亲子关系仍包含照料反对与资源责任,8db8f172-3520-5077-a078-2c9578ebaf39,171a8ff5-4f98-5575-849e-46da57be1d50,一寸欢喜/伤绳/当仁不让,阶段与资源条件,都区分意见表达和非法阻挠,经济依赖与不可逆决定如何分段,按成年与资源来源区分
T04,未经许可的性表达是不尊重,个人表达信号与文化潜意识会改变互动预期,0fb162a0-10e8-5c74-836e-77b05d58f59b,b4af6921-69d1-5962-ab5f-f7f86f20a794,小作业/守在门外的人,行为边界与成因解释并置,都承认隐私和许可是实际边界,成因解释如何不取消行为责任,不以信号解释替代许可判断
T05,责任可交换授权资源与地位,责任也可能被强加或与回报失衡,ca0b2dd4-e67a-5243-a150-98c3b33953c1,fa35c62a-72ac-5f83-806a-cbd66eaef0ab,赤手空拳/三斗金,责任来源差异,都要求先界定责任对象和能力,授权长期不足时如何重新谈判责任,区分主动承诺和外部转嫁
T06,希望必须受事实与规律约束,低概率的小改善仍可提供行动理由,361ab29e-ae77-522b-9c3f-1daf2618bd25,b8f88d55-2aa2-5e96-9a9d-4c486b4f4f42,只管赢/适度焦虑,认识与行动阈值,都拒绝把情绪当成结果保证,继续行动与停止转向的统一阈值,保留真实材料和小步试验
T07,服从依赖主体判断与授权,授权失效时异议退出和反抗出现,8859afe4-31fa-5b72-a79a-675c16950c82,9e4c5970-900d-5365-bc77-976df56cef35,服从/锄奸/征信体系,制度终止条件,都追问权柄来源和结果责任,秩序稳定与授权撤回如何排序,以证据申诉和终止条件连接
T08,技术扩大行动能力与选择,技术也增加组织依赖维护成本和系统风险,afd418f9-36d1-5652-8f90-188680e6cfbf,8c4f866e-8ef9-547c-af60-ada5792bb1f3,胜半子/最强耐力/人类进化,工具后果差异,都要求把技术放进完整系统判断,新依赖何时超过能力增量,不作单向技术判断
T09,情绪需要表达回应和见证,关系不能让一方无限承担情绪处理, d1e94702-6eb1-59d0-9e72-cd48c45a05fe,ed1a358b-b31d-5945-b776-b8573ecaa0c4,表达情绪/松则久/情绪的边界,关系负担差异,都区分偶发连累与持续转嫁,不同亲密程度的最低回应尺度,按表达方式与持续负担区分
T10,爱表现为关切回应净输出与增进自由,爱的核心也被定义为劳动和人与自然的生产关系,8bc2c71a-1303-5254-a513-fdb710fb8876,f6fe9e2d-ca06-5a84-82b6-b7fe1d331120,小小红花/无关之爱/爱的核心,理论重心双轴,关系改善都被写成恢复行动能力的条件,生产分配权如何受关系自由约束,并列关系伦理与生产伦理
T11,爱先发生关切并由爱生赞赏,爱的行动仍需通过净输出与不求回报判定,8bc2c71a-1303-5254-a513-fdb710fb8876,bc0b8aa6-c51e-5c02-8b44-64f7c256154f,小小红花/录取线,发生与判定阶段差异,都不把完美评价当作爱的唯一入口,先行关切若产生负值是否仍算爱,区分发生机制与行动资格
T12,成年主体的决定自由应被承认,依赖关系中的资源管理自由可随可靠能力逐级取得,8db8f172-3520-5077-a078-2c9578ebaf39,2a88cc8a-0746-573a-9885-9fed9f447797,一寸欢喜/滴灌,自由类型差异,自由都与后果承担和资源来源相连,主体地位自由与特定权限的边界,区分决定权和资源权限
T13,不知道本身不自动构成道德罪责,非故意无知仍不能取消损失赔偿和改进,22b8e565-a37b-531a-896d-68604a4264bf,951e524d-6eab-50ae-8d22-f39398a118bc,勿苛己/早知道,罪责与后果分离,都要求从错误中学习,不定罪与要求赔偿如何同时表达,分别讨论行为前知识与行为后修复
T14,财富是被赐予且伴随管理目的,私人处置自由又被认为必须保护以维持生产力,2133f3d8-4ccb-5c0f-9c09-1539ab21c794,2133f3d8-4ccb-5c0f-9c09-1539ab21c794,财富观,单篇内部授权张力,两端都把财富使用与长期产出相连,管理目的如何限制具体私人处置,保留托付论与处分权并置
T15,劳动所得不由努力单独保证且带有偶然性,劳动又被写成可享受并能稳定积累能力的活动,2133f3d8-4ccb-5c0f-9c09-1539ab21c794,2594339e-ab47-562d-bee7-c56fbb2ca325,财富观/乐此不疲,结果不确定与过程价值差异,都不把劳动只写成换取报酬的痛苦,结果不确定时享受和持续性的条件,区分产出所有权与劳动过程
T16,持续做事可减少无休止自证,合作成果仍须感谢同事并分配功劳,a15b7aeb-2adf-565c-a240-a4b54cc970ef,359095f1-02f7-5cfb-ac88-a2add28d06ca,做事第一/后半句,产出与承认双重要求,都把真实成果放在口头形象之前,何时停止解释而何时必须说明合作贡献,将个人自证与合作分功分开
T17,自信需要由重复事实校准能力,证据不足也不能授权对未来作绝望判决,bbe903b2-99ab-5425-a566-e7dfd1ae6c2d,6565e946-d35d-5651-9ba8-b4db73c846d4,自信/悲观与乐观,证据权限差异,都反对以情绪替代事实,已知能力边界与未知未来如何连接,以已知校准计划并对未知保留可能
T18,成熟允许在可错目标中继续修正行动,乐观行动仍不得违背真实材料和客观规律,958169e5-e3b9-5a96-85d3-bd541b225541,361ab29e-ae77-522b-9c3f-1daf2618bd25,自我怀疑/只管赢,可错性与事实约束,都要求新证据出现时调整,将错就错何时应转成止损,把可修正与拒绝事实区分
T19,自然法被写成普遍管辖且没有司法成本,现实信用制度仍需取证申诉独立复核并扣除社会成本,4e7ea5d1-018f-5e57-839c-f91e3065007d,c0f1ba80-af0b-52ca-96f7-0ccc89da8928,自然法/征信体系,理想法与人造制度差异,都要求判断产生可追踪后果,自然后果怎样转译成人类程序,不把自然法优势直接等同制度设计
T20,批评只能给逻辑疑问和论证并禁止定罪构陷,批评还需把屈辱沮丧推进到方法控制感和回弹,11ad7ad3-87eb-5681-93e2-de3e21cbd8a2,daa2da9d-9204-588a-88a3-a5d9006bf4d4,批评/论批评2,边界与完成标准,都反对把攻击冒充批评,不制造伤害与承认中间痛苦的界线,并列程序红线与结果接口
T21,caritas原则强调原谅不报复不审判,重复越界者可被撤回关系资格并实行关系性流放,4ad882da-422d-55ba-b1dd-c23ac17e54ea,c395b3a1-0c33-5146-8f30-e4c0c57787e0,拿号去/狮子,宽恕与边界执行,两端都不要求以暴力夺取对方权利,原谅是否要求继续提供接触和资源,区分不报复与停止给予
T22,旧工艺即使退出市场也应保存为休眠种子,技术路线又应优先当前可制造可迭代的实现路径,6587f538-6d67-5561-99dd-2eaf61719621,afd418f9-36d1-5652-8f90-188680e6cfbf,眠种/胜半子,保存与竞争时间尺度,都把技术理解为可继承能力,保存资源与现行研发资源如何分配,区分文明备份与主流路线
T23,自尊以内在承诺和能力边界为参照,社会资本又要求关心外部声誉合作性和他人评价,06b3e8ca-8ac1-55a3-8b5d-ccc88d41b814,8be80072-b42a-569b-9b77-f4ca432b3fea,自尊与虚荣/面子,内部价值与外部合作账户,都反对用短期排名定义整个人,何时不理外评而何时必须维护信誉,区分主体价值与合作资产
T24,私权领域允许各凭条件作最大主张,亲密关系又以不掠夺自由和机会限制竞争收益,94815489-f471-5075-ac07-f496082d34db,9a72db20-919b-5a27-839d-2a80125dc09b,平权/赛道,合法主张与关系伦理,都保留他人拒绝和退出的权利,合法竞争何时变成关系中的掠夺,区分公共合法性与爱的更高自我限制
T25,行动者不应把感谢认可记成对方债务,接受到正净输出者又被要求表示感谢,bc0b8aa6-c51e-5c02-8b44-64f7c256154f,eb584847-1191-530e-a769-3db59a6f6b09,录取线/爱的智商税,给予者账本与接受者义务差异,两端都承认净输出不等于包对方满意,不求回报与感谢义务能否同时成立,区分给予者不得索债和接受者的回应要求
