"candidateId","trajectory","role","ordinal","id","title","date","period","platform","url","authorClaim","relationToCore","exclusionReason","quote","quoteStart","authorLexicalNodeTypes","topLevelQuoteMatchCount","questionContainsQuote","cleanEvidencePresent","coreEvidenceOverlap"
"D01-ALT","D01_事实定义与论辩","ALTERNATIVE","2282","6647e494-2b80-57af-b903-a1b541d9fbf6","达意责任","2023-04-23","2021-2023","Zhihu","https://www.zhihu.com/question/597272355/answer/2997235157","表达者应把达意责任作为基本服务，并通过低利害实践训练表达能力。","与《学好语文》共享表达失败先归于表达者的中期结构，并进一步给出误解风险自担及从低利害对话逐级练习的路径。","与核心《学好语文》共同承担中期表达责任；本文侧重风险自担和低利害训练，为避免同轨迹同阶段重复入格而保留为替代案例。","每个人都要为自己的表达承担达意责任，这是一种基本服务","0","paragraph","0","False","True","False"
"D01-CHA","D01_事实定义与论辩","CHALLENGE","2959","09575f9e-4f36-5a4e-84b3-95ee737857e8","诚实","2021-11-07","2021-2023","Zhihu","https://www.zhihu.com/question/496997525/answer/2210450279","诚实不是保证永不出错，而是为事实担保划定范围并在失败后承担自己声明的责任。","说明事实论辩还包含担保、误差与赔偿，不只包含表达是否清楚。","该文重心是事实担保责任，不直接承担批评程序的早中晚配对。","“诚实”在实践意义上是一种“事实保险业务”。","880","paragraph","0","False","True","False"
"D02-ALT","D02_能力学习与主体","ALTERNATIVE","596","646df58c-b155-5563-8646-c7d5dae28529","战而后胜","2025-08-31","2024-2026","Zhihu","https://www.zhihu.com/question/39261295/answer/1945530289108526198","足量且适配水平的实战可以暴露侥幸和知识缺口，再引导主体回到理论学习。","补充晚期能力形成的实践—复盘路径，不把学习只写成任务拆解。","晚期核心格已由《三分一又三分一》承担规划能力，本文作为并列学习机制保留。","你需要一套覆盖面完整的题，然后在题的引导下去看书。","0","paragraph","0","False","True","False"
"D02-CHA","D02_能力学习与主体","CHALLENGE","104","22b8e565-a37b-531a-896d-68604a4264bf","勿苛己","2026-06-17","2024-2026","Zhihu","https://www.zhihu.com/question/5721531259/answer/2047417568667899837","不知道某项后果不自动构成道德罪责，不能用旁观者掌握的利害关系反向给当事人定罪。","限制用旁观者知识和优先级给当事人定罪，要求区分不知道、优先级不同与明知故犯。","主要承担能力判断的伦理边界，不是能力形成机制本身。","你只是不知道，不知者不为罪。","1694","paragraph","0","False","True","False"
"D03-ALT","D03_责任后果与授权","ALTERNATIVE","3417","ea9197ca-0a2e-51ee-beeb-ca4773d4a549","持公器","2021-04-03","2021-2023","Zhihu","https://www.zhihu.com/question/452534650/answer/1814615350","公众声望带来的影响力是关注者借出的公器，使用者应限制私怨并接受共同程序。","把责任—授权交换扩展到公共影响力的受托和限用。","核心矩阵选择《服从》承担中期主体判断；本文专注公共声望，作为尺度扩展保留。","荣耀附带着权力，任何权力在本质上都是公器。","71","paragraph","0","False","True","False"
"D03-CHA","D03_责任后果与授权","CHALLENGE","18","d4d427c5-38df-5cd1-931b-d0ad6a4fd6c0","瞎义警","2026-07-12","2024-2026","Zhihu","https://www.zhihu.com/question/2021674630205687158/answer/2058803543214141590","个人判断某事错误并不自动产生干预和执法权柄，只能在权限内提醒、举报或请求授权者处理。","把权柄来源置于个人正误判断之前，限制责任感自行扩张为执法资格。","与晚期《赤手空拳》的责任—权柄接口构成限制性对读，不替换其资源交换功能。","世界上最大的是非，是权柄。","148","heading","0","False","True","False"
"D04-ALT","D04_自由边界与退出","ALTERNATIVE","24","4323b869-06ea-5335-a116-9418e052e7a4","靶向药","2026-07-11","2024-2026","Afdian","https://www.ifdian.net/p/f118cbba771411f19cc65254001e7c00","若在一个组织中只有自己的利益持续被某人侵占，且所得被其与其他人瓜分，主体可能只是资源而非成员，此时应赶紧退出。","补充自由边界的组织退出接口，而非只讨论家庭和亲密关系中的拒绝权。","篇幅集中于晚期组织处境，不承担三个时期的权利地位配对。","如果从头到尾只有你一个人的利益被侵犯，而这个人非常聪明，懂得把从你这里掠夺的利益和别人瓜分，那么你的问题就不是如何争取利益，而是要赶紧走人，因为在这种情况下，你根本就不是这个组织的成员，而只是ta们的资源。","92","paragraph","0","False","True","False"
"D04-CHA","D04_自由边界与退出","CHALLENGE","1290","2a88cc8a-0746-573a-9885-9fed9f447797","滴灌","2024-09-20","2024-2026","Afdian","https://afdian.com/p/b48e7f62775e11efa55352540025c377","父母给未独立子女发放生活费，应从短周期起步，只在连续账务清结且无违规挪用后逐级延长，失败时可降级。","把主体的一般决定空间与本文所说、经连续账务执行取得的生活费管理范围分层。","它会挑战但不能替换《平权》《爱的底线》《一寸欢喜》所处理的主体决定空间。","每一级的提升都要以足够多连续周期的完美执行为准。例如一周一发升级到一月一发，必须以连续四周在误差范围内实现账务清结并确保没有发生违规挪用为准。","946","paragraph","0","False","True","False"
"D05-ALT","D05_爱回应与不掠夺","ALTERNATIVE","3","8bc2c71a-1303-5254-a513-fdb710fb8876","小小红花","2026-07-15","2024-2026","Afdian","https://www.ifdian.net/p/8a2ac9c67a4311f1887f5254001e7c00","爱先产生关切；对方回应使关切生长，继而生成赞赏和认同，而不是先完成挑剔筛选才开始爱。","为净所得、净输出和不掠夺之外增加爱的发生顺序。","处理发生层而非核心矩阵的结果判准，因此作为并列入口保留。","是爱生赞赏，而不是赞赏生爱。","635","paragraph","0","False","True","False"
"D05-CHA","D05_爱回应与不掠夺","CHALLENGE","1088","f6fe9e2d-ca06-5a84-82b6-b7fe1d331120","爱的核心","2024-12-16","2024-2026","Zhihu","https://zhuanlan.zhihu.com/p/12881832004","爱的重点被置于劳动以及人与自然的生产关系；人际关系改善带来的狂喜只是进一步学习、生产和创造的准备。","表明晚期爱论还包含生产轴，不能只按单一人际付出算法概括。","该文改变分析尺度，不适合替换《赛道》在关系不掠夺上的晚期核心功能。","爱的重点是劳动。","73","paragraph","0","False","True","False"
