term,author_usage,adjacent_concepts,boundary_or_opposite,domains,conditions_exceptions,representative_id,representative_title,source_quote,chronology,evidence_type
"责任","对明确对象和结果作出承诺，并以承担后果换取托付、权柄与资源；也包括亲属和职业角色原本应承担之事。","授权；信用；劳动；义务","逃责；责任范围含糊；无能力承担","家庭；职场；组织；财富","必须先界定对象、范围和能力；主动责任与不可逃避的义务并不相同。","ca0b2dd4-e67a-5243-a150-98c3b33953c1","赤手空拳","负责任是福利，不是吃亏。","2026年文本为明确界定式用法；2020年《财富观》已有财富即责任。","明示命题+跨文重复"
"自由","人在不违法且自行承担成本时作出决定的空间；爱和支持不能取消异议，也不能抬高本来已有的自由成本。","选择；退出；自主；责任","控制；非法阻挠；以爱为名加码","亲子；婚恋；公共生活","成年、自有劳动所得且不违法是《一寸欢喜》的明确条件；自由不等于免除后果。","8db8f172-3520-5077-a078-2c9578ebaf39","一寸欢喜","爱的第一要义是要接受人的自由。","2026年出现清晰定义；早期文本亦反复讨论自主选择。","明示命题"
"选择","主体在多个可行行动中作决定，并承担由该决定产生的代价；说明和调解只能减少误会，不能替人完成选择。","自由；成本；后果；妥协","强迫；代替决定；以善意取消自主","亲密关系；家庭；公共争论","选择必须建立在事实和可承受后果上；违法或把成本转给无辜者时受到限制。","893754bc-52c0-5b80-9a90-3c8ad28acc68","45度c","只消误会，只作说明，尊重人的自主选择","2026年表达最集中；与早期后果责任论相接。","明示命题"
"成本","行动消耗的时间、资源、风险、关系和机会；判断不能只看显性收益，必须把外部化和长期后果计入。","总账；责任；效能；可持续性","免费幻觉；只算眼前；成本外部化","经济；家庭；组织；技术","成本不是单独否决行动的理由；要与收益、责任主体和时间尺度合并计算。","8c4f866e-8ef9-547c-af60-ada5792bb1f3","最强耐力","作为主要猎食手段还有一个重大的bug——入不敷出。","2018年已用于技术和生存分析；2026年广泛进入关系与组织论。","跨文重复"
"总账","把短期得失、长期容错、关系安全、机会与隐性代价放进同一账户，不以单项输赢下结论。","成本；信用；安全；长期主义","局部账；即时得失；单项指标","家庭；教育；财富；技术","总账依赖时间尺度和被计入对象；不同文章可采用不同账期。","171a8ff5-4f98-5575-849e-46da57be1d50","伤绳","算账一定要算总账，这一点关节，父母们一定要心里有数。","原词最迟2018年出现，2023年和2026年在生活、制度与家庭核算中较集中。","明示命题+跨文重建"
"能力","完成任务、规划工序和承担责任的现实力量；不能只用身份、学历或自我评价代替实际结果。","效能；规划；成果；责任","身份标签；愿望；无能认同","教育；职场；心理；组织","能力不足与规划不足须区分；接受帮助不自动取消个人功劳。","15e6750c-c146-58ea-b925-3a495204a3ef","三分一又三分一","你不是完成任务的能力不足，而是规划的能力不足。","2026年形成工序化表述；早期文本更常从劳动和成果谈能力。","明示区分"
"信用","他人依据一贯履责、得体处事和可预期行为形成的信任，可转化为借贷、支持和合作机会。","责任；礼仪；社会资本；声誉","失信；不可预期；只求即时占便宜","亲属；职场；经济；组织","信用来自可观察的重复行为；一次姿态不能自动建立。","9af3f757-ffb6-5c9e-b461-afdf9ccea949","奠仪几何","这些认同随后都是你的信用和资本，是可以换到真金白银的借贷和支持的。","2026年直接连接信用与资本；早期财富文本已有受托和声誉机制。","明示命题"
"爱","先行关切并对对方的回应持续投入；爱可包含反对，但须承认对方自由，并保持对关系的净贡献。","关切；赞赏；净输出；自由","挑剔先行；占有；以爱索债","亲子；婚恋；友情；公共伦理","爱不等于赞成一切；不能以爱取消对方自由，也不要求无限透支自己。","8bc2c71a-1303-5254-a513-fdb710fb8876","小小红花","是爱生赞赏，而不是赞赏生爱。","2026年定义密集；2020年前后文本已将爱与正外部性、责任连接。","明示命题+跨文重复"
"净输出","关系中的爱应持续给对方带来净增益，而不是以付出为名索取更多、转嫁代价或制造亏空。","爱；正外部性；不掠夺；成本","索债式付出；情绪绑架；净掠夺","婚恋；家庭；财富伦理","净输出不等于无限供给；输出必须可持续，必要时可降低强度或退出。","5530ea69-662b-5400-8fae-ad0a0a325e38","一碗油盐饭","第一要害，就是要坚定的咬住“爱必须坚持净输出”的原则。","原词最迟2019年出现，2019—2026年共18篇直接使用，2023年《录取线》给出集中定义。","明示命题"
"不掠夺","在关系中克制把对方的资源、劳动或自由转成自身收益，并把这种克制与独立自给、净赠与和可信赖联系起来。","净输出；边界；权利；成本承担","侵占；把成员当资源；成本外部化","亲密关系；组织；公共行动","维护自己利益不等于掠夺；直接原词只见于少数文章，不能把所有反占用判断都改写成作者自称的统一原则。","9a72db20-919b-5a27-839d-2a80125dc09b","赛道","这个“爱是建立在不掠夺基础上的净输出”的自觉，才是这个考场的考试内容。","原词最迟2021年出现，2021—2026年共5篇直接使用，2025年《赛道》集中展开。","明示命题+跨文重建"
