"paper","id","citedTitle","actualTitle","citedDate","actualDate","citedUrl","actualUrl","idExists","titleMatches","dateMatches","urlMatches"
"02_实践伦理的工程学_思想体系总论.md","3c5adff1-6b20-5999-a366-0033a5945401","子女的要求","子女的要求","2022-04-23","2022-04-23","https://www.zhihu.com/question/355524343/answer/2454079129","https://www.zhihu.com/question/355524343/answer/2454079129","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","a03985bb-d05e-5b31-86e8-90f9baee69ef","利益共同体","利益共同体","2023-03-21","2023-03-21","https://www.zhihu.com/question/590364412/answer/2945747516","https://www.zhihu.com/question/590364412/answer/2945747516","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","619477f4-e5a2-59a6-b9d3-be63246ea2c2","跨伦理合作","跨伦理合作","2024-07-21","2024-07-21","https://afdian.com/p/8a6d494446d411efb30052540025c377","https://afdian.com/p/8a6d494446d411efb30052540025c377","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","359095f1-02f7-5cfb-ac88-a2add28d06ca","后半句","后半句","2026-07-16","2026-07-16","https://www.ifdian.net/p/ed6f1e387afc11f1a7eb52540025c377","https://www.ifdian.net/p/ed6f1e387afc11f1a7eb52540025c377","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","9af3f757-ffb6-5c9e-b461-afdf9ccea949","奠仪几何","奠仪几何","2026-07-17","2026-07-17","https://www.ifdian.net/p/85097b3e7bd011f1978652540025c377","https://www.ifdian.net/p/85097b3e7bd011f1978652540025c377","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","13bd51cf-60f2-54ed-bdee-2e1a9cdf32dc","有罪推定","有罪推定","2023-03-19","2023-03-19","https://www.zhihu.com/question/541669298/answer/2943290994","https://www.zhihu.com/question/541669298/answer/2943290994","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","944384b9-5594-5738-a715-05fe1088318a","信源管理","信源管理","2019-09-14","2019-09-14","https://www.zhihu.com/question/19666344/answer/823306722","https://www.zhihu.com/question/19666344/answer/823306722","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","8dcbcd3c-ba15-56aa-8215-9c7de25d299f","无根消息","无根消息","2022-04-12","2022-04-12","https://www.zhihu.com/question/527283848/answer/2434909866","https://www.zhihu.com/question/527283848/answer/2434909866","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","11ad7ad3-87eb-5681-93e2-de3e21cbd8a2","批评","批评","2020-08-26","2020-08-26","https://www.zhihu.com/question/22987136/answer/1434894604","https://www.zhihu.com/question/22987136/answer/1434894604","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","bbe903b2-99ab-5425-a566-e7dfd1ae6c2d","自信","自信","2018-10-15","2018-10-15","https://www.zhihu.com/question/269905766/answer/510828072","https://www.zhihu.com/question/269905766/answer/510828072","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","4eae907d-2995-55ad-8c9e-0b33069b615b","自卑","自卑","2021-04-21","2021-04-21","https://www.zhihu.com/question/20694013/answer/1846677969","https://www.zhihu.com/question/20694013/answer/1846677969","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","87f504be-9ec1-513f-9ef2-35b5afb76690","有恋无爱","有恋无爱","2026-06-22","2026-06-22","https://www.zhihu.com/question/1991793475268673696/answer/2030323731600552037","https://www.zhihu.com/question/1991793475268673696/answer/2030323731600552037","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","523c4064-2745-5b68-92dd-d8209abaf022","反叛逆","反叛逆","2025-02-26","2025-02-26","https://afdian.com/p/a65f1942f3d211efb3c75254001e7c00","https://afdian.com/p/a65f1942f3d211efb3c75254001e7c00","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","7d40ff51-8245-5989-b90a-edd964e96a7b","好战之徒","好战之徒","2026-04-14","2026-04-14","https://www.ifdian.net/p/29903e4231ce11f18a6e5254001e7c00","https://www.ifdian.net/p/29903e4231ce11f18a6e5254001e7c00","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","2dcc4d6a-58bf-5e68-9c51-319d51c0f11e","工德无量","工德无量","2026-06-30","2026-06-30","https://www.zhihu.com/question/6727174235/answer/2054345141004006552","https://www.zhihu.com/question/6727174235/answer/2054345141004006552","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","2133f3d8-4ccb-5c0f-9c09-1539ab21c794","财富观","财富观","2020-05-01","2020-05-01","https://www.zhihu.com/question/314627020/answer/1193533378","https://www.zhihu.com/question/314627020/answer/1193533378","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","ecfc1be7-86b5-57d6-806d-7a8fcc374949","摆脱贫穷","摆脱贫穷","2021-02-23","2021-02-23","https://www.zhihu.com/question/444003245/answer/1744384489","https://www.zhihu.com/question/444003245/answer/1744384489","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","200309fc-1b48-536f-8a58-7f6e61f9436e","我没有","我没有","2025-07-24","2025-07-24","https://www.zhihu.com/question/1896278314173317963/answer/1931762005984928653","https://www.zhihu.com/question/1896278314173317963/answer/1931762005984928653","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","85ab46d9-7681-54c0-a0db-8cf873ad5906","术与略","术与略","2025-02-02","2025-02-02","https://www.zhihu.com/question/642534421/answer/91544472029","https://www.zhihu.com/question/642534421/answer/91544472029","True","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","94815489-f471-5075-ac07-f496082d34db","平权","平权","2018-10-13","2018-10-13","https://www.zhihu.com/question/298105587/answer/509627202","https://www.zhihu.com/question/298105587/answer/509627202","True","True","True","True"
