"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact"
"A01","审美判断与文化风格","作者把个人外貌和时尚选择理解为一种有选择地传递身份信息的编码，品味的作用不是让所有人满意，而是帮助价值相近者相互辨认。","明示品味功能判断","文章讨论个人形象与择偶识别，不等同于对一切审美活动的总定义。","3843","2a9e96de-e384-52ab-ac6a-af729d35f78c","2020-02-24","时尚品味","https://www.zhihu.com/question/27508362/answer/1035463614","记住，你的外貌应该是一道编过码的半透膜——识得的人，就是值得的人；不值得的人，就识不得。","True"
"A02","审美判断与文化风格","作者把美从可有可无的偏好提升为行动者不能逃避的义务，并将其与自由权利并列。","明示价值判断","全文以反驳对丑的浪漫化为语境，没有给出美的统一形式标准。","3963","9bd10f2e-221b-5789-b44c-65732e163960","2019-02-18","丑","https://www.zhihu.com/question/39317576/answer/601788781","记住这句话——自由是一种不可抛弃的权利，美是一种不可逃避的义务。","True"
"A03","审美判断与文化风格","作者把审美定义为洞察真假、高低和价值的能力，并认为这种能力主要来自亲自参与或直接理解价值创造，而非天生舒适偏好。","明示审美定义","商品、食物、军事和人际例子承担跨域类比功能，具体优劣判断仍需相应技艺。","895","9b89d6c4-1def-5ad3-be4d-2c40cfd94a73","2025-03-17","缅式审美","https://afdian.com/p/c44d36e2fd0911ef8ec85254001e7c00","审美能力，指的是洞察价值的能力，除了动物性避害的本能之外，它几乎必然的从创造价值的经验中来。","True"
"A04","审美判断与文化风格","作者认为中国艺术的关键短板不是艺术家或观众数量，而是缺少能在自身美学逻辑中评价作品并指引创作的批评体系。","作者艺术生态诊断","中国与西方艺术体系的差异及短板排序只记录为作者判断。","920","61a82961-2c77-50bb-a2d0-48f4d955e70a","2025-03-05","艺术短板","https://www.zhihu.com/question/13038923577/answer/116968592555","艺术批评的缺位，导致中国艺术长期受到西方艺术批评和所谓“大众审美”的双重撕扯。","True"
"A05","审美判断与文化风格","作者反对以人物政治评价替代对书法作品的审美判断，认为这种做法会使传统继承进入媚雅和失真。","明示批评原则","文章针对特定书法评论风尚，没有系统展开作品与作者生平在何种条件下可以关联。","4011","3e120415-e8d8-504b-9e34-d446c0558429","2018-11-09","书法风尚","https://www.zhihu.com/question/298568192/answer/527936676","因人废行废言，是最令人反胃的“国学”。","True"
"A06","审美判断与文化风格","作者区分文化本体与服饰、餐食、礼仪、舞蹈等文化表现，并以深层生存和认同结构解释朝韩文化产品的风格。","明示文化层次定义","朝韩、日本和宗主关系的历史因果均是作者的文化解释，未作外部史实核验。","1617","0314a647-95fe-554c-b8da-7ebb99179080","2024-04-27","朝韩文化","https://www.zhihu.com/question/654223550/answer/3480722167","文化是使得这些东西被生发出来，成为其所成其为的样子的背后的原因，背后的那个更高、更中心的力量。","True"
"A07","艺术解释、批评与价值形成","作者反对把艺术作品当作作者预先编码、评论者逐项解码的信息系统，认为创作常先于作者对自身表达的概念化理解。","明示反驳命题","文章不否认宗教图像等约定符号系统，也不否认作品可以有结构设计。","3993","0e51496b-6fcf-5316-bf1f-31e45418b49c","2018-12-09","艺术解读","https://www.zhihu.com/question/19786768/answer/548709196","艺术不是密码情报学。","True"
"A08","艺术解释、批评与价值形成","作者把俄罗斯艺术成就追溯到东正教身份、牺牲意识和灵性经验，并把艺术解释为信仰的外露。","作者宗教艺术解释","俄罗斯民族、东正教和艺术成就之间的历史因果均为作者判断。","2310","51c91531-e3ed-525e-80d0-b795f72cc7c7","2023-04-11","俄罗斯艺术之谜","https://www.zhihu.com/question/317708657/answer/2977792415","美者，牺牲之羊也，艺术行为本身就是一种宗教性极强的行为，甚至不客气的说，它在本质上就是一种信仰的外露。","True"
"A09","艺术解释、批评与价值形成","作者区分作者意图与作品实际表达，认为二者可能错位，作品意义不能完全由作者事后宣称控制。","明示意图表达区分","文章以若干艺术创作现象作推演，没有否定作者意图作为一种解释材料的资格。","3044","61ff68ba-4204-5ff1-ad52-749269ff3c06","2021-09-21","小bug","https://www.zhihu.com/question/483726447/answer/2131805237","“作者到底表达了什么”和“作者想要表达什么”之间的关系是神秘的，在一些不成熟的艺术家这里甚至是虚无的。","True"
"A10","艺术解释、批评与价值形成","作者认为作品的历史意义由作者、评论者和观看者共同完成，并在历史承认过程中形成。","明示共同创作模型","历史承认的形成机制不等于任何单次评论或大众偏好都具有同等决定力。","3148","b21788a5-33f3-5722-96d6-9a822c440d4a","2021-08-12","三合一","https://www.zhihu.com/question/25156721/answer/2054499929","实际上作者、评者、观者是同一个作品的三个共同创作者，每一件最后被历史承认的艺术作品，都是这三位一体与历史的声音发生感应的结果。","True"
"A11","艺术解释、批评与价值形成","作者区分神性艺术与商业艺术，认为跨意识形态传播的主要是直接诉诸审美直觉、门槛较低的商业艺术。","作者传播机制判断","中日欧艺术源流、宗教结构和商业史的比较均未作外部史实核验。","1673","94ca1d90-a167-56fd-9970-14bd3d992491","2024-03-27","如露亦如电","https://www.zhihu.com/question/649313457/answer/3444664299","能流行的，一定是商业艺术。也就是直接诉诸人类的审美直觉、无需特殊的精神修养就能直观收到吸引的艺术。","True"
"A12","艺术解释、批评与价值形成","作者将 musical 解释为同时包含突破性激情与秩序性安慰的缪斯性，并把它扩展到音乐之外的艺术和实践领域。","作者词源与概念解释","希腊神话谱系和词源叙述只按作者文本记录；缪斯性是作者提出的扩展性解释。","2065","1e5d4166-f609-5910-bab1-cf90a063d9e4","2023-08-21","缪斯性","https://www.zhihu.com/question/54032151/answer/3175763991","Musical，意思是事物让人强烈的感受到本能冲动、创造性、突破性的灵感狂喜（酒神侧），同时又强烈的感受到秩序感、和谐感和安全感的巨大安慰（太阳神侧）的一种内在特性。","True"
"A13","书写、视觉艺术与摄影","作者把书法界定为满足实际书写、辨认和传统字形条件下的艺术，而不是借字形进行任意视觉构图。","明示书法定义","文章承认视觉性的美术字可构成其他艺术，但不把它归入书法。","853","9b2b249b-2528-59da-9898-3e18a450a6d0","2025-04-11","书写的艺术","https://www.zhihu.com/question/621187516/answer/1894006908622447381","书法实际上并不是“字的艺术”，而是“书写的艺术”。","True"
"A14","书写、视觉艺术与摄影","作者认为书法作品的本体是可反复书写的字体和书写程序，单幅墨迹只是字体的一次实现。","明示作品本体判断","该定义强调书写可重复性，不等于否认具体墨迹的物质和历史价值。","3220","43a31d80-d598-5ef7-9f10-68cfdd16e9d1","2021-07-06","书法","https://www.zhihu.com/question/310963200/answer/1981040092","字体，才是书法的真正作品本体。","True"
"A15","书写、视觉艺术与摄影","作者从工整书法的规划、执行和持续专注中识别能力，并把能力视为美的首要含义。","明示美能力命题","由书法推断历史人物能力属于作者的个案解释，美与善仍以可持续性进一步区分。","907","16336056-5d08-5336-a475-bd28c6049c98","2025-03-13","工书","https://afdian.com/p/1a9d0be0ff8411ef9b1d52540025c377","美的首要含义是“能”。","True"
"A16","书写、视觉艺术与摄影","作者认为支持绘画创作者的关键是尊重和保存其已完成成果，而不是以设备或口头表扬替代持续创作条件。","明示创作支持建议","文章针对儿童绘画和家庭支持，不能直接代替专业艺术教育方案。","2650","fa944ca3-c4c5-5496-b579-b54fd31e1cc2","2022-08-06","最好的绘画工具","https://www.zhihu.com/question/547200488/answer/2613523735","最好的鼓励方式不过是“敬惜成果”。","True"
"A17","书写、视觉艺术与摄影","作者把摄影分为高度安排对象的胶片绘画与预判现实事件的荷鲁斯之眼两类，二者依赖不同能力。","作者摄影类型区分","商业摄影、新闻摄影和可预料场景之间存在连续区间，不是互斥职业分类。","1522","7ed0e0b0-1019-5348-a68e-691f6ee408ed","2024-06-22","好照片","https://www.zhihu.com/question/658994133/answer/3539013162","这类摄影，拍摄对象基本完全出自创作者的安排，其实在出手之前就基本画好了草图构思，实际上是利用摄影摄像手段，用道具、布景、灯光代替了画笔颜料而做的一种变相的绘画。","True"
"A18","书写、视觉艺术与摄影","作者通过曾侯乙青铜器的工艺、资源和用途，把审美敬畏连接到技术能力、资源节制以及以礼代战的文化理想。","作者文物工艺与文化解释","铸造工艺、文字源流和礼制史推断均为作者判断，图片缺失也限制当前文本复核。","3932","61a65182-b3de-5c28-bb29-5ddcb2acd079","2019-05-21","文物","https://www.zhihu.com/question/22638720/answer/689886274","懂行的人看这件东西，是越看越生敬畏的。凝聚在这件东西身上的智慧、心血和生命，需要多么惊人的机遇去聚合，需要多么大的资源去支持，又需要何等样的勇气去坚持到底？","True"
"A19","电影、演员与工业协作","作者认为电影拍摄阶段的最终创作控制属于导演，演员应在合作前充分协商，确认合作后在既定空间内服从整体作品。","作者电影分工判断","文章强调工业协作中的导演权威，没有同等展开权力滥用和演员保护机制。","3488","cceb5b68-1fe2-5616-af79-b205288e252e","2021-02-14","导演","https://www.zhihu.com/question/49825312/answer/1729034722","导演和演员的正常的、也是、最“出货”的关系，赤裸一点说，就是木偶师和提线木偶的关系。","True"
"A20","电影、演员与工业协作","作者预测大众电影会因全球市场约束、奇观套路和高成本而式微，低预算、类型鲜明且能精准触达观众的小众电影将扩大。","作者电影产业趋势预测","影片案例、观众成熟和产业份额属于作者推演，不是外部统计结论。","768","bea0a530-320f-5fe7-a411-059f1e9a6931","2025-05-24","电影不死","https://afdian.com/p/d7a1bdde328411f0bcde5254001e7c00","小众电影/艺术片预算小、风险小、表达自由、发行容易、观众偏好强，属于有无限生命力的物种。","True"
"A21","电影、演员与工业协作","作者认为跨公司电影工业需要创意团队先完成接近成片的预览和决策，再把边界明确的制作任务交给专业团队。","明示工业流程判断","中外制作方式和具体项目经验均是作者概括；预览成熟度会随项目类型变化。","956","eceaef6c-f577-5058-991d-5530af637370","2025-02-12","长安揖别","https://www.zhihu.com/question/11431618323/answer/96916907781","不能把“从分镜图到预览动画”阶段的工作视为制作团队的工作，而要视为创意团队的工作。","True"
"A22","电影、演员与工业协作","作者从《金刚川》的短周期大团队协作中识别中国电影工业的成熟可能，同时把故事经验与专业制作能力区分开。","作者个案工业判断","影片质量、团队规模和制作过程只按作者文章记录；作者并未把技术合格等同于作品优秀。","3602","4eac69b1-4713-5748-818b-c42d09142c37","2020-10-24","金刚川","https://www.zhihu.com/question/422708727/answer/1539789995","这片子里有希望——看它的时候要意识到，它是2600人的团队，配合三位导演，只用了三个月做出来的。","True"
"A23","电影、演员与工业协作","作者以演员在剧本预先写定时仍能享受表演，类比命运或角色的预定不自动取消当事人的快乐体验。","命运问题的类比性辅助证据","电影演员只是文章用于讨论预定命运的类比，不能改写成作者的创作自由或表演理论。","2302","e07ef7cd-dbd2-571f-b8d0-39b3970e5f9a","2023-04-16","演员的自我修养","https://www.zhihu.com/question/401784281/answer/2986287024","几乎每一部电影的剧本都是写好的，但这并没有妨碍演员们享受表演的过程。","True"
"A24","电影、演员与工业协作","作者借《红毯先生》区分票房、奖项与进入电影史的意义，并把该片写成电影人面向电影行业的作品。","作者具体影片意义判断","这是对一部具体作品和创作者处境的评价，不能据此推出全部电影的商业关系。","1771","effbf168-f0d7-507b-9055-5254afb94d7a","2024-02-17","红毯先生","https://www.zhihu.com/question/643371874/answer/3398413153","身为电影人，拍这样的片子就像排骨年糕——不是生意，而是意义。","True"
"A25","创作、疗愈、AI与观众生态","作者认为艺术疗愈依赖重新组织经验和形成可持续表达，而不等于把未经处理的情绪直接发泄出来。","明示疗愈机制判断","文章讨论艺术实践的心理作用，只记录作者判断，不作外部临床有效性裁决。","3299","f62a367a-978f-5c01-8471-170daaa2eea8","2021-05-25","疗愈艺术","https://www.zhihu.com/question/458078011/answer/1904038706","艺术当然是可以疗愈的，但是这绝不是“用艺术将自己的情绪表达/发泄出来”可以办得到的。","True"
"A26","创作、疗愈、AI与观众生态","作者区分资本化艺术体制的成名机制与艺术本身，后者被界定为从信仰和爱出发、无需人类见证的诚实表达。","明示艺术资格判断","作者明确说明其对艺术体制的描述不等于赞成；金融和策展机制是作者概括。","1847","22e2137d-1e71-5188-91ce-883098588d73","2024-01-06","正门","https://www.zhihu.com/question/31432692/answer/3352446591","艺术不是从美术入门的，艺术是从信仰入门。","True"
"A27","创作、疗愈、AI与观众生态","作者认为AIGC通过降低专业内容生产成本，使资源较少的小企业获得接近头部内容表现的机会。","作者技术产业判断","成本下降、竞争格局和企业机会均为作者趋势判断。","2334","cc2624fb-c161-5ab1-84c4-8229bed5bd92","2023-03-24","CAS","https://www.zhihu.com/question/582933780/answer/2951269178","AIGC技术带来的最大的改变，其实是通过“内容生产的民主化”，给了本小力薄的小企业以较低预算接近头部企业内容表现的机会。","True"
