"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact"
"M01","信源、事实与核验","作者要求用户主动管理关注列表和推荐环境，把平台视为需要持续筛选信源的信息系统，而不是被动接受热榜。","明示信源管理建议","文章给出的是作者个人的信息环境启发式，不保证被选择信源的事实正确性。","3890","944384b9-5594-5738-a715-05fe1088318a","2019-09-14","信源管理","https://www.zhihu.com/question/19666344/answer/823306722","知乎死没死，取决于你自己有没有管理好自己的关注列表，不取决于知乎自己的热榜。","True"
"M02","信源、事实与核验","作者以能否追查到承担责任的来源区分有根和无根消息，并主张来不及核验的无根消息默认无效。","明示消息分类规则","低成本默认规则会错过部分真实消息，作者以普通人的核验资源有限为前提接受这种错失。","2853","8dcbcd3c-ba15-56aa-8215-9c7de25d299f","2022-04-12","无根消息","https://www.zhihu.com/question/527283848/answer/2434909866","一个消息能追查到根源，就称为有根消息。","True"
"M03","信源、事实与核验","作者认为新闻生产偏爱反常、刺激和疑似事件，读者不能从报道声量直接推出异常行为的普遍程度。","明示新闻偏差判断","文章没有提供具体事件的总体频率统计，只提出阅读时的校正原则。","757","d34dff14-2b24-55ad-a5fe-6bf63e2eaf2c","2025-05-28","异闻录","https://www.zhihu.com/question/1910658262220650350/answer/1911153645371789480","看新闻要注意“新闻价值”造成的认知偏差。","True"
"M04","信源、事实与核验","作者把未经基本调查便跟风传播对企业或个人的指控视为信息时代的责任问题，并要求在早期公开阻止。","明示核验责任批评","文中涉及企业经营的具体数字没有完成独立核算，不能据此确认被讨论企业的实际状况。","767","5d91cc40-568c-52b6-8a51-e64a069448c9","2025-05-24","谣谣乐","https://www.zhihu.com/question/1908886398435586104/answer/1909007021413500493","一拍脑袋，连最基本的核实都不做","True"
"M05","新闻、采访与报道","作者不预设记者能够无立场地报道，认为读者应把相互偏执的报道作为控辩材料，自行承担交叉审查责任。","明示新闻阅读角色","作者把媒体博弈视为校正来源，但没有系统处理媒体合谋、共同盲点和专业核验程序。","3899","448fa84f-f109-5d19-9a11-c13ca4967e3b","2019-08-22","怎样读新闻","https://www.zhihu.com/question/22020980/answer/798415609","在媒体报道这个语境里，你的角色是而且始终是一个法官","True"
"M06","新闻、采访与报道","作者认为已有独立表达渠道的公众人物应直接向公众说话，避免把语境、剪辑和发布时间控制权交给未经验证的采访者。","明示采访风险建议","文章为有长期职业信誉或可被有效制衡的记者保留例外。","1427","33ba4dd9-d4ff-5c63-982c-2a94bc19d3cc","2024-07-29","不受采访","https://www.zhihu.com/question/45055496/answer/3577441320","如果你本来就功成名就，而且生活在现代，你要对公众说话，就一定要自己直接说。","True"
"M07","新闻、采访与报道","作者认为对极端袭击的连篇报道可能把影响力和名声作为行为奖励，因此主张克制、低调和限流式报道。","作者报道后果判断","袭击动机、限流效果和安全措施效力均为作者推演，文章也承认风险无法彻底消除。","1125","028a24a5-fa60-5e12-9691-daa24aa1e02b","2024-11-12","无可妥协","https://www.zhihu.com/question/3887644490/answer/29097292771","新闻媒体连篇累牍的报道小丑，本身就会为小丑增加动能。","True"
"M08","新闻、采访与报道","作者把紧急求助视为公共信息产品，要求准确描述需求、联系人、时效和终止状态，以减少无效转发和沟通成本。","明示公共信息格式建议","规范格式只改善求助被处理的条件，不被作者写成获得帮助的充分保证。","3845","e42be94f-2e9c-5892-9920-df0c517a4f32","2020-02-20","规范求助","https://www.zhihu.com/question/20336355/answer/1027292248","一定要准确、有效、严谨的描述你所需要的具体帮助，以便最大限度的压缩无效信息的比例，提高有效信息被看到的速度和几率。","True"
"M09","谣言、纠错与认知责任","作者反对把异议、谣言和煽动统一装入“带节奏”，认为开放言路需要论文答辩式的怀疑技术。","明示异议与谣言区分","文章承认开放言路会放入谣言，但未给出平台处置每类内容的完整程序。","2836","cfcb0065-b90f-5d63-aaa3-bb99f1d26065","2022-04-26","带节奏","https://www.zhihu.com/question/528797784/answer/2457932698","一个人要广开言路，就不能随便动用“带节奏”这个口袋罪名","True"
"M10","谣言、纠错与认知责任","作者认为显示地址或剥夺发言权不能根除重复谎言，较稳固的防线是训练个人用跨学科常识发现异常并核查。","明示认知防线判断","文章聚焦个人辨别能力，没有覆盖平台治理、专业事实核查和专家分歧。","2877","d3e0b996-4451-5ecd-9843-232354293ced","2022-03-23","重复一千遍","https://www.zhihu.com/question/519252966/answer/2403859631","你只能尝试做一个就算把谎言重复一千遍也难以欺骗的人。","True"
