"term","articleCount","articleRate","occurrenceCount"
"事实","939","0.231852","1838"
"证据","243","0.06","453"
"定义","369","0.091111","640"
"能力","1205","0.297531","2859"
"学习","429","0.105926","949"
"教育","488","0.120494","1059"
"选择","1103","0.272346","2381"
"自由","610","0.150617","1370"
"责任","686","0.169383","1580"
"义务","452","0.111605","988"
"后果","424","0.104691","624"
"成本","852","0.21037","1910"
"风险","644","0.159012","1223"
"资源","607","0.149877","1144"
"总账","17","0.004198","21"
"信用","158","0.039012","285"
"信任","207","0.051111","328"
"承诺","172","0.042469","339"
"爱","1190","0.293827","5336"
"净输出","18","0.004444","52"
"不掠夺","5","0.001235","12"
"劳动","246","0.060741","588"
"产出","53","0.013086","76"
"财富","217","0.05358","466"
"社会资本","11","0.002716","31"
"权利","370","0.091358","770"
"权力","218","0.053827","383"
"授权","86","0.021235","158"
"服从","120","0.02963","346"
"反抗","97","0.023951","148"
"技术","500","0.123457","1124"
"自然法","194","0.047901","419"
"伦理","332","0.081975","587"
"道德","360","0.088889","706"
