"year","yearArticleCount","term","articleCount","articleRate","occurrenceCount"
"2017","1","事实","0","0","0"
"2017","1","证据","0","0","0"
"2017","1","定义","0","0","0"
"2017","1","能力","1","1","1"
"2017","1","学习","0","0","0"
"2017","1","教育","0","0","0"
"2017","1","选择","0","0","0"
"2017","1","自由","0","0","0"
"2017","1","责任","0","0","0"
"2017","1","义务","0","0","0"
"2017","1","后果","0","0","0"
"2017","1","成本","0","0","0"
"2017","1","风险","0","0","0"
"2017","1","资源","0","0","0"
"2017","1","总账","0","0","0"
"2017","1","信用","0","0","0"
"2017","1","信任","0","0","0"
"2017","1","承诺","0","0","0"
"2017","1","爱","0","0","0"
"2017","1","净输出","0","0","0"
"2017","1","不掠夺","0","0","0"
"2017","1","劳动","0","0","0"
"2017","1","产出","0","0","0"
"2017","1","财富","0","0","0"
"2017","1","社会资本","0","0","0"
"2017","1","权利","0","0","0"
"2017","1","权力","0","0","0"
"2017","1","授权","0","0","0"
"2017","1","服从","0","0","0"
"2017","1","反抗","0","0","0"
"2017","1","技术","0","0","0"
"2017","1","自然法","0","0","0"
"2017","1","伦理","0","0","0"
"2017","1","道德","0","0","0"
"2018","72","事实","27","0.375","80"
"2018","72","证据","6","0.083333","19"
"2018","72","定义","14","0.194444","22"
"2018","72","能力","26","0.361111","73"
"2018","72","学习","5","0.069444","8"
"2018","72","教育","5","0.069444","14"
"2018","72","选择","24","0.333333","62"
"2018","72","自由","11","0.152778","28"
"2018","72","责任","8","0.111111","11"
"2018","72","义务","3","0.041667","3"
"2018","72","后果","7","0.097222","8"
"2018","72","成本","13","0.180556","30"
"2018","72","风险","8","0.111111","17"
"2018","72","资源","10","0.138889","14"
"2018","72","总账","1","0.013889","1"
"2018","72","信用","0","0","0"
"2018","72","信任","3","0.041667","3"
"2018","72","承诺","0","0","0"
"2018","72","爱","14","0.194444","61"
"2018","72","净输出","0","0","0"
"2018","72","不掠夺","0","0","0"
"2018","72","劳动","6","0.083333","7"
"2018","72","产出","2","0.027778","3"
"2018","72","财富","5","0.069444","13"
"2018","72","社会资本","0","0","0"
"2018","72","权利","3","0.041667","12"
"2018","72","权力","4","0.055556","4"
"2018","72","授权","1","0.013889","3"
"2018","72","服从","2","0.027778","6"
"2018","72","反抗","2","0.027778","2"
"2018","72","技术","14","0.194444","45"
"2018","72","自然法","0","0","0"
"2018","72","伦理","7","0.097222","18"
"2018","72","道德","4","0.055556","6"
"2019","115","事实","40","0.347826","89"
"2019","115","证据","5","0.043478","8"
"2019","115","定义","14","0.121739","28"
"2019","115","能力","44","0.382609","140"
"2019","115","学习","7","0.06087","10"
"2019","115","教育","16","0.13913","68"
"2019","115","选择","41","0.356522","140"
"2019","115","自由","19","0.165217","44"
"2019","115","责任","19","0.165217","27"
"2019","115","义务","14","0.121739","30"
"2019","115","后果","12","0.104348","15"
"2019","115","成本","23","0.2","67"
"2019","115","风险","11","0.095652","12"
"2019","115","资源","25","0.217391","64"
"2019","115","总账","0","0","0"
"2019","115","信用","6","0.052174","6"
"2019","115","信任","4","0.034783","5"
"2019","115","承诺","4","0.034783","6"
"2019","115","爱","21","0.182609","117"
"2019","115","净输出","2","0.017391","2"
"2019","115","不掠夺","0","0","0"
"2019","115","劳动","6","0.052174","17"
"2019","115","产出","3","0.026087","3"
"2019","115","财富","6","0.052174","8"
"2019","115","社会资本","0","0","0"
"2019","115","权利","12","0.104348","23"
"2019","115","权力","7","0.06087","14"
"2019","115","授权","2","0.017391","8"
"2019","115","服从","6","0.052174","10"
"2019","115","反抗","5","0.043478","5"
"2019","115","技术","19","0.165217","82"
"2019","115","自然法","4","0.034783","4"
"2019","115","伦理","15","0.130435","28"
"2019","115","道德","15","0.130435","34"
"2020","326","事实","83","0.254601","207"
