"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceLayer"
"E01","财富定义与资源可及性","本文认为，正确的财富观首先以“可持续性”筛选理念，再把财富理解为经由有效劳动和运气、最终由上天赐予的资源；人拥有的不是绝对所有权，而是带有神圣目的的管理权。财富越多，责任越大，个人应以节俭维持健康、供养子女，把剩余投入有正外部性的、有效且不患得失的事业，并以匿名、无回报要求的方式持续捐赠；即使财富最终不足以延续生命，也不能把它全部消耗在自我保全上。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3801","2133f3d8-4ccb-5c0f-9c09-1539ab21c794","2020-05-01","财富观","https://www.zhihu.com/question/314627020/answer/1193533378","一个理念获得追随者的能力大于追随者损失的速率，这项理念就具有了可持续性","True","screened"
"E02","财富定义与资源可及性","本文认为，穷人的基本优势是贫困经历可能带来的强烈工作动力，但这个优势只有在其他条件不被劣势抵消时才有效。真正妨碍翻身的三个障碍是知识与技能不足、急功近利以及对既得利益和现状的愤世嫉俗；行动者要用学习、耐心和自我控制来避免这些信号被雇主放大。文章进一步主张，财富不只是私产，公共服务和人类共同知识也属于每个人的共同财富；贫穷的深层原因因此还在于有没有认识和利用这些财富的观念、知识与技巧。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3476","ecfc1be7-86b5-57d6-806d-7a8fcc374949","2021-02-23","摆脱贫穷","https://www.zhihu.com/question/444003245/answer/1744384489","穷人翻身”的关键就是找到这些妨碍自己的根本优势发挥出来的“不一样”的地方","True","screened"
"E03","财富定义与资源可及性","本文认为，贫穷归根到底源于穷人在灾难期间承受剥夺的能力最弱。灾年中，掌握基本刚需供应的人可能因物价上涨而获得更强盈利能力，而穷人和中产则因储备耗尽、失业和秩序崩坏，被迫低价出售资产，甚至以债务、劳动和政治权利换取生存。文章随后回顾三种历史应对方式，并提出现代社会应把关系国计民生的基础事业和基本生产资料掌握在全民所有的制度安排中。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","68","55e2ccc2-9f7c-51c1-89b4-c90ea1c68761","2026-06-29","贫穷的尽头","https://www.zhihu.com/question/1996867921008423944/answer/2035819989924565153","归根到底，只有一个原因——穷人在灾年特别脆弱，以至于在灾难期间只能被动的忍受剥夺","True","screened"
"E04","财富定义与资源可及性","普通人的财富不只是房产和存款，也包括分享现代国家公共财富和服务的资格。文章认为，公共资源虽然没有直接进入个人账户，却通过交通、医疗、教育、安全、国防和统一市场等体系持续降低生活成本；若把收入全部私有化而拆散公共供给，私人余额会增加，但必要服务将被少数家族控制并高价收取，整体生活反而更差。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","1344","237002b1-d9ee-59a8-9c0d-196f964ff961","2024-09-03","所谓国富民穷","https://www.zhihu.com/question/525777261/answer/3613984761","还是那句话——认为“老百姓的财富主要是房产”是一个非常狭隘的、非常错误的结论。","True","screened"
"E05","财富定义与资源可及性","作者认为，贫困的核心缺口是赚钱经验和驾驭财富的经验。前者决定能否突破收入限制，后者决定第一桶金能否保住并转化为持续能力。贫困家庭子女因此常需在缺乏父母有效指导的情况下，痛苦地修正家庭财富观，同时警惕纵欲、过度自信和被金钱扭曲的亲友关系等“金毒”。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","1492","a7a6a790-b237-59c7-8e84-781d8bcb8715","2024-07-04","金毒","https://www.zhihu.com/question/624647932/answer/3551416454","一个纵欲过度、一个过度自信、一个六亲不谐（即金钱招来的各种扭曲的亲情、恋情、友情关系），这仨都是地狱生鲜行业的巨头。","True","screened"
"E06","财富定义与资源可及性","本文认为，家庭教育的核心不是给孩子贴上贫穷或富裕的身份，而是先建立能够承受贫富变化的价值观。孩子既要能过没钱的生活，也要能过有钱的生活；节俭、体面和人的价值不能被家庭资产单向决定。家长若没有自己的财富观，就不应把“我们家穷”或“我们家不穷”当作教育，应该先理解财富、财富的获得与副作用，再按与自身信仰和逻辑一致的方式传授给孩子。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3990","c6d37a0c-4ca1-55e6-bbe6-23a0c078ddc8","2018-12-13","家里不富裕","https://www.zhihu.com/question/296333267/answer/551002721","问题本身就是错的，因此任何答案都无意义","True","screened"
"E07","贫富教育与家族传承","本文认为，大平层和别墅都可能是错误道路；对家族而言，更稳妥的安排是居住上“安于一般中产”，把重金投入“学”、文明遗址和博物馆之旅、后代与核心伙伴的培养，以及持续的慈善支出。被抬高的享受水平会成为代代难以降低的负资产，贪婪又可能诱发愚蠢、疯狂和败亡；慈善则不仅是道德义务，也是保护财富、培养盟友和分散家族风险的现实机制。文章后来用别墅价格换算留学、旅行和利息收益，继续证明“舒服一点”的机会成本过高。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3918","16c53ed9-9140-52ee-b289-d5a0c8eb6ffc","2019-06-19","家族","https://www.zhihu.com/question/311787622/answer/721084936","大隐隐于市，莫隐于野","True","screened"
"E08","贫富教育与家族传承","本文认为，仇富和仇穷不是两种可以简单排序的恶，而是同一种“按财富量决定人格价值”的心理在不同财富位置上的不同形态。仇富者真正恨的可能不是财富，而是自己没有财富；他们把所有正当致富道路都否认掉，只承认偷抢拐骗、吸穷人血等路径，于是富裕既是羡慕对象，也是未来需要防范的仇恨来源。只要一个人承认存在一种堂堂正正的致富可能，就无法仅因对方富裕而断定其必然败坏，也无法绝对相信穷人必然仇恨自己。文章进一步认为，真正的无产阶级反对的不是财富，而是把财富视为与他人毫无关系的绝对私产；贫穷本身并不是社会主义。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3315","0951b372-fd84-5510-af40-470c06d5832d","2021-05-17","仇穷与仇富","https://www.zhihu.com/question/459890228/answer/1891365245","实际上，仇富、仇穷的是同一种人——就是仅仅基于财富量来决定要不要仇恨的人","True","screened"
"E09","贫富教育与家族传承","本文认为，贫穷、匮乏、受辱和无力确实造成巨大痛苦，但亲身经历这些处境也可能带来对多数人的感同身受、对社会反应的更准确判断、较强的方向感和坚毅，这些价值并非金钱和人脉可以轻易替代。贫穷本身不是不能生育的绝对禁忌；真正危险的是把贫穷者的易感性转化为贪婪、欺诈和怨恨，尤其是父母若坚信自己将终身受苦，或被“不甘心”驱动而把生育视作翻身赌注，可能把失败归罪于子女。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3074","c2eca8a1-ce60-5fcd-991b-f75ab62565dd","2021-09-12","生而贫穷","https://www.zhihu.com/question/393805388/answer/2116638887","你看得懂、能明白，不意味着你可以以此为依据去教训真的身处这个问题中的人们","True","screened"
"E10","贫富教育与家族传承","本文把努力从“换取成功的手段”中剥离出来，主张无论富贵贫穷、健全残疾、顺境逆境，人都应坚持努力，因为努力本身是人度过并享受人生的方式。作者用“吃饭”作比：如果“吃五碗饭换一百块”的承诺是假的，需要调整的是不合理的五碗饭交换条件，而不是因此停止吃饭；同理，努力的数量、方向和具体目标可以调整，却不能因外部许诺落空而把努力整体判定为损失。文章最后进一步把努力写成享受的前提，认为学习、工作和兴趣活动都需要训练，放弃任何投入并不会自动带来幸福，反而会使人失去生活方向和参与更高水平娱乐的能力。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3616","0a47c7bf-950d-5219-84b3-cdccbb62c910","2020-10-05","精神资本家","https://www.zhihu.com/question/417907087/answer/1508359096","假设你反驳成功了，你想拿什么代替“努力”？","True","screened"
"E11","贫富教育与家族传承","本文反对把奢侈品消费本身视为罪恶，认为国内征收相关税费的关键问题在于奢侈品多为进口，而不是奢侈品在道德上有罪。如果奢侈品由国内实业生产，富人的自愿购买可以用很低的边际成本把大量闲置财富转移给技艺、设计和制造积累深厚的机构，并为下一代技术和高端产业提供资金。对个人而言，奢侈品不应成为炫耀实力的工具，而应被理解为选择一个配得上财富的对象、奖励极致技艺的特殊捐赠；在没有实用理由或自身建树之前，作者要求避免购买。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3550","250b12b2-5530-527c-870c-a33dc4782e36","2020-12-20","奢侈品","https://www.zhihu.com/question/22696422/answer/1635740528","在这之前，你的任何购买行为没有充分的实用理由都是应该避免的","True","screened"
"E12","贫富教育与家族传承","本文把“面子”定义为影响力的凭信，把熟人之间通过礼貌、互动和相互担保形成的信用称为“面子币”。作者认为，乡村往往实物货币稀缺、地方资源丰富，面子币可以降低陌生交易的风险和成本，承担一种隐性的、带会员制的农村金融功能，因此不能因为它不依赖复杂金融机构就称其“原始落后”。文章又把这一判断延伸为对自然经济和现代金融稳定性的比较，但最后承认现代金融能否跳出周期性崩溃仍是未知数。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","936","dac0b7bb-3765-5cd2-bcbd-0271ceb6c58c","2025-02-25","面子币","https://www.zhihu.com/question/637312596/answer/109569947835","面子就是影响力的凭信，是可以证明影响力有效的一系列迹象。","True","screened"
"E13","劳动、职业与事业","本文认为，设计师之所以可以做到老，不在于某个具体软件、行业或岗位会永远存在，而在于设计是发现问题、解决问题和表达方案的元职业，能够调用语言、观察、归纳、演绎和表达等跨阶段能力。合理职业选择的前提是价值观能够支撑人接受死亡及死亡风险；在此基础上，应选择服务于“免于死亡”或“得到幸福”等无法被完全满足的健壮需求，把岗位阶段当作进入职业的学徒状态，持续投资元知识和元技能。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3874","be6d869d-9c60-5b87-85ff-30c3772ce48f","2019-11-18","职业规划","https://www.zhihu.com/question/25583089/answer/899020828","如果你没有一个恰当的价值观，对你将不存在任何合理的职业选择","True","screened"
"E14","劳动、职业与事业","本文认为，事业不是单纯的收入来源，而是个人本质和定义的一部分，因此应在与人建立稳定关系前先确定。这里的“确定”不等于事业已经成功，而是已经清楚知道做什么、为什么做、会付出什么代价、需要怎样努力，并能以成熟、坦率、谦卑和开放的态度向伴侣及其父母说明。事业未定却寻求成家，是让对方把生命建在流沙上，利用对方的青春和浪漫去承担自己尚未作出的决定；伴侣父母要求房子、稳定和现实证明，往往是对“事业未定”的风险作出的最低限度妥协，而不是简单拜金。若只是普通公司雇员而非终身事业关系，作者认为至少没有同样的事业顾忌。","作者在该文中的明示判断及论证","仅作为该篇文本中的判断、条件和推理使用；跨文关系另行标记为研究重建。","3294","def74b5e-ae38-5613-bbde-352fae8b0241","2021-05-28","事业已定","https://www.zhihu.com/question/60702908/answer/1910070046","事业是一个人自身的本质的一部分，是你的定义的核心内容，是你先应该确定，然后再去与人建立稳定关系的前提","True","screened"
