"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceLayer"
"T01","可实现性与工程路线","作者认为芯片路线应先补足能把多道工序、材料、设备和人才组织起来的工业基础，不能在基础能力不足时直接追逐最高端目标。","芯片工程路线与基础能力","这是作者对芯片产业建设阶段的判断，不是对具体芯片工艺的外部技术鉴定。","4025","f0e6b60b-5f91-5037-9796-480eeca991b2","2018-09-25","芯片","https://www.zhihu.com/question/275316968/answer/497644862","在轮子都还造不圆的时代，要把钱和精力先放在学造轮子上，不能放在造火车上。","True","screened"
"T02","可实现性与工程路线","作者把复杂工业系统理解为误差纵向继承、横向交联的系统，工程师的任务是管理误差并使系统能够运行和自维护。","工程误差、系统整合及其认识论延伸","文章先提出作者的工程一般论，后把误差关系延伸到认识论；它不是工程学术语定义、技术标准或具体项目验收结果。","3921","7d32dc18-d43f-5b31-b663-2cc96f87ef69","2019-06-16","工程师","https://www.zhihu.com/question/327471497/answer/716941677","工程师就是误差的巫师。","True","screened"
"T03","可实现性与工程路线","作者认为技术物件只有在道路、维护和组织等配套条件形成后才真正获得社会技术身份，单独发明物件不等于完成技术革命。","道路基础与技术落地","本文讨论车轮与道路的历史性条件，不是对所有高科技产品的价值排名。","3589","68434efd-b4b2-5ce3-8a97-8864805ba63a","2020-11-06","轮子科技","https://www.zhihu.com/question/22905344/answer/1562581750","能让载重马车跑起来不散架不翻车的路，才是高科技。","True","screened"
"T04","可实现性与工程路线","作者把创新分成由复现、补全到探索未知的层级，并认为创新能力的起点是认识价值并进行成本收益核算。","创新层级与成本核算","文章标明未完待续；成本收益核算只是作者所称培养创新能力的起点，不能当作完整创新方法论。原文列出L0至L5却自称五级，本文不替作者消解这一编号差异。","3247","74e10cdb-8c7b-564c-808d-7d85801fa288","2021-06-19","创新问题","https://www.zhihu.com/question/304829257/answer/1948051198","是清楚的认知创新的价值、进行正确的成本收益核算。","True","screened"
"T05","可实现性与工程路线","作者认为不同需求会产生不同技术路线，路线的竞争与需求、资本、时间、市场和实践经验相连，并据此反对把技术突破恒定归于西方。","技术路线、市场条件与文明比较","文章把技术差距放入市场和殖民历史解释；全球市场导致技术领先和文化积淀的因果关系均只按作者主张记录。","2188","193509b8-7624-56a7-bd6d-26a3edfd5efa","2023-06-11","包装袋","https://www.zhihu.com/question/592459442/answer/3068264770","大家需求不同，很自然就有不同的技术路线、产生不同的实践经验，催生进一步的不同技术。","True","screened"
"T06","可实现性与工程路线","作者反对以无规划的试错赌博替代创新系统，主张把大项目拆成具有中间价值、知识沉淀和可交易成果的多条路径。","创新治理与失败价值","作者提出经规划的创新可以无风险、真正创新没有全然失败，这是其规范性定义和组织设想，不是对研发风险的实证证明；也不能据此把所有失败项目都称作赌博。","3254","6250c0e6-8b44-5423-8af0-8bf6cfe3257d","2021-06-16","缺乏创新","https://www.zhihu.com/question/27534237/answer/1942322597","绝大部分人是在赌博，并不是在创新。","True","screened"
"T07","工具、材料与基础设施","作者把5G解释为带宽、骨干网、传感、算力和产业应用共同变化的基础设施信号，而非单纯提高手机速度。","通信基础设施与产业触发","这是作者对5G产业意义的预测性解释，不是通信标准的技术规范。","3926","5a32a445-202b-593a-a880-21c3716cd9cc","2019-06-08","5G","https://www.zhihu.com/question/314766480/answer/708378659","5G本质意义是一个明确的信号弹。","True","screened"
"T08","工具、材料与基础设施","作者认为工业互联网的关键障碍在企业围绕供应商和信息标准形成封闭阵营，互联互通必须处理标准、利益和组织权力。","工业互联网与标准协调","文章讨论企业标准博弈和中国组织条件，不是对现实工业互联网覆盖率的统计。","3056","9bd79646-e19a-568d-9e4f-b3f2d84b0460","2021-09-17","工业互联网","https://www.zhihu.com/question/328370648/answer/2124978834","工业互联网有一个很大的关键，是行业内一些信息标准的拟定和推行会受到私营企业的抵抗。","True","screened"
"T09","工具、材料与基础设施","作者以重型装备能否独立制造作为工业体系的物理证据，认为芯片是体系顶端的钻石而非全部工业基础。","工业体系与装备基础","这是作者的工业体系判断，涉及俄罗斯的历史和现实描述均按文本内主张记录。","2760","7f981e12-db71-5ae4-8078-8a1aa272c630","2022-06-06","俄罗斯工业体系","https://www.zhihu.com/question/66247485/answer/2516763781","一个国家只要能独立生产重型武器装备，尤其是飞机、核潜艇、坦克、洲际导弹这几大件，就足以证明它的工业体系不但存在，而且还很健全。","True","screened"
"T10","工具、材料与基础设施","作者认为不同车型之间整块电池的通用性有限，换电站却可按外轮廓、重量和充电参数同时兼容多类电池，产品层有限通用与站点层宽兼容可以并存。","电池通用层级与换电站兼容","文章区分整块电池和换电站两个兼容层次，不能压成笼统的“电池标准应有限兼容”；它也不是新能源汽车行业标准的外部结论。","883","01c9e379-d5f0-5b4d-bd7b-e8bd75e2bdae","2025-03-26","萤火虫","https://www.zhihu.com/question/9386186851/answer/129851278380","不同车型之间的通用性、互换性势必是有限的","True","screened"
"T11","技术治理、风险与公共目标","作者认为前沿基础研究越来越依赖少数国家或联盟控制的大型观测设施，并把互联网对权力、产权、隐私、伦理、信息自由和主权的挑战称为新的基础研究问题。","科研观测特权与互联网治理基础问题","文章正文重心是互联网治理和知识权力；大型设施只是其问题入口，不是科研开放程度的测量。","4016","556b6e3d-2ebe-52f1-a947-6487ec668ab5","2018-10-25","下一站","https://www.zhihu.com/question/299741613/answer/518084024","基础研究已经渐渐变成了一种特权，一种内部机密。","True","screened"
"T12","工具、材料与基础设施","作者把汉字基准字形视为所有电子产品都应低成本提供的公共文化基础设施，反对将其完全交给单个商家竞争。","数字字体与公共文化基础","这是作者对汉字字体治理的公共事业设想，不是现行字体政策说明。","3312","da098d20-c643-5f18-a4ae-2fd637101811","2021-05-18","汉字基准字体","https://www.zhihu.com/question/437348189/answer/1891816228","汉字因为其特殊性，其基准字形资源是一个不可以交付给单独商家来通过所谓“市场竞争”来自由博弈决定的公共事业。","True","screened"
"T13","产业组织、所有权与商业化","作者主张以开放知识、公共晶圆厂、统一标准和国际合作组织化解芯片专利封锁，使可用技术成为全球生产力基础设施。","开放芯片与知识产权秩序","这是作者的产业和国际合作设想，不代表已经存在的联盟或商业模式。","3978","20c4c37c-0d16-5c0a-bde1-7abb5e184946","2018-12-31","芯片前景","https://www.zhihu.com/question/305898679/answer/563613133","我们只需要做出可用的芯片来，送给全人类用。","True","screened"
"T14","产业组织、所有权与商业化","作者要求中国企业从全球贸易的助手位置转为承担研发、营销和品牌风险的直接参与者，并吸收海外人才建立全球中心。","全球产业组织与品牌升级","文章针对中国制造企业的战略建议，具体国际市场判断属于作者推演。","2378","705d855e-942f-5d83-920d-3c1b89a7f1c7","2023-02-28","您有种乎","https://www.zhihu.com/question/282034674/answer/2915244206","要开始尝试作为玩家","True","screened"
"T15","产业组织、所有权与商业化","作者认为AI降低数字化工程复制成本后，现实业务、作品、专利、土地、产线、人脉和信用等所有权资产构成企业持续经营的必要根基之一。","AI商业化与现实产权","文章同时强调客户、营销、经营和社会化能力，不能把所有权资产写成企业持续的充分条件；本文也不把它改写成产权法定义。","50","dd926b00-b9ae-5d70-9552-61f9b7a9203f","2026-07-05","一人之上","https://www.zhihu.com/question/2052702281674355836/answer/2056764332520759534","重要的始终是所有权本身","True","screened"
"T16","产业组织、所有权与商业化","作者认为先进制造业将带来研发、管理、维护和围绕新产线创业的职业与商业机会，制造业不是简单的低端就业场所。","智能制造与产业机会","这是作者对产业前景和职业机会的预测，不是就业市场统计。","3507","2993d264-21e0-5a60-83c3-a67eb9bb2413","2021-01-27","制造业","https://www.zhihu.com/question/439014934/answer/1700446728","智能制造前途非常光明。","True","screened"
"T17","产业组织、所有权与商业化","作者以家庭市场、汽车更新周期、可出口性以及上下游和维修保养附属产值，论证汽车可以成为房地产之后的支柱产业候选。","汽车产业、更新周期与全球市场","文章中的八千万辆和十几万亿元属于作者基于假设的情景推算，不能从其他工业文章补入完整制造门类与研发体系，也不外推为实际市场份额。","1815","44eed4ed-9dce-5242-b20e-42f7bd5770a3","2024-01-26","新支柱产业","https://www.zhihu.com/question/639211301/answer/3376269534","中国的汽车不是卖给中国人而已，是卖给全世界。","True","screened"
"T18","产业组织、所有权与商业化","作者认为创新项目应选择绕不开的关键问题，并让专利、经验、数据、工具和方法在研发过程中形成可交易的阶段性价值。","创新商业化与阶段价值","这是作者对创新风险和价值回收的抽象表述，不是财务模型。","863","3106e3d3-ff8e-5ac3-8e76-7a60089a61cf","2025-04-06","创新问题 2","https://afdian.com/p/7455dc1c0c9911f0905352540025c377","真正的创新的风险是自赎的。","True","screened"
"T19","技术、劳动与失业","作者设想AI普及后以公共算力、能源和终身学习研究津贴重建就业与分配，使算力成为新的铸币权和公共秩序核心。","智能失业与公共算力设想","这是作者对未来制度的设想，不是现行经济制度描述或已证实预测。","3482","9ec2d145-4c5b-580b-a0d1-4e7a418b29ad","2021-02-20","智能失业","https://www.zhihu.com/question/316424064/answer/1738761505","谁拥有算力资源，谁就拥有了真正本质的铸币权","True","screened"
"T20","技术、劳动与失业","作者判断传统低端产业正在因工艺升级和自动化而萎缩，工业总产值上升与产业链岗位下降可以同时发生。","低端产业收缩与岗位减少","这是作者对产业和就业关系的结构性判断，不由本研究作外部统计确认。","3724","9d341350-b1f3-5e50-9c47-880da6248b84","2020-07-16","低端产业","https://www.zhihu.com/question/46701503/answer/1342777385","中国真正的危机并不是工业总产值下降——因为根本没下降，也不会下降——而是尽管工业总产值在上升，但是产业链上的岗位数量在下降。","True","screened"
