"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact"
"W01","战略概念与战争认识","作者认为战争的发生、胜负、方式和代价会影响政策、产业、城市与个人选择，普通人关心军事应服务于现实判断而非知识炫耀。","明示研究必要性","军事判断能否改善人生选择是作者的实践主张。","2732","fd8bd9b8-73be-50e8-ab0b-671b55e035a6","2022-06-22","关心军事","https://www.zhihu.com/question/503875313/answer/2539039449","你要留学、你要投资、你要择居、你要择业，如果你不懂军事、不识基本的胜负，你常会犯方向性的错误——筋疲力竭的向上游划水。","True"
"W02","战略概念与战争认识","作者反对把战术、战役、战略按人数或高低等级排列，并以胜利定义和总体作战思路界定战略。","明示概念定义","拳击、围棋等类比用于概念辨析，不等同于真实战争。","977","85ab46d9-7681-54c0-a0db-8cf873ad5906","2025-02-02","术与略","https://www.zhihu.com/question/642534421/answer/91544472029","战略是取得胜利的总体策略，只要存在清晰的胜利定义，就存在一个对应的战略思考，就会有一个总体作战思路。","True"
"W03","战略概念与战争认识","作者要求战局判断区分未行动、无意行动与无力行动，并通过客观行动迹象检验意图而非代入自身计划。","明示战争认识论","俄军意图和战况属于作者对2022年具体战争的判断。","2883","7dbf938f-07f2-51c7-a2eb-d63b7d63443c","2022-03-19","优势在我","https://www.zhihu.com/question/522396623/answer/2397339741","要判断对方的意图，要学会观察更客观的证据。","True"
"W04","战略概念与战争认识","作者主张先把战场视频作为情报分析，再作价值判断，以士气、动作和风险承担提取战况信息。","明示观察程序","视频真伪、士气推断和交战方评价未作外部核验。","2446","d3cd3088-4f71-5e87-9a5d-8e2dacead7ef","2023-01-14","说得太少","https://www.zhihu.com/question/578311656/answer/2845104520","你要养成一种习惯，首先本能的去做情报分析，而不是价值观判断。","True"
"W05","军事组织与国家动员","作者以营级战术群说明编制评价必须先问任务、假想敌、支援条件和地理约束，不存在适应全部场景的部队。","明示系统适配判断","俄军编制、乌克兰战况和后续地缘预测均为作者推演。","2856","4660735d-ce7d-5a3e-be20-19823dd154df","2022-04-06","营级战术群","https://www.zhihu.com/question/519066714/answer/2426127720","因为世界上根本不存在“六边形部队”。","True"
"W06","军事组织与国家动员","作者把军衔制解释为将私人从属改造成非个人化指挥关系，使部队能够在军官替换和伤亡后重建指挥链。","作者军制历史解释","古代军制循环和现代军队比较没有作外部史实验证。","4022","793fedad-0114-584c-b2cd-f0e849348f97","2018-10-06","军衔","https://www.zhihu.com/question/295242388/answer/504750849","因为军衔制意味着他们的部队应该随时可以因为一纸调令接受某个其他军官接管而不发生任何组织心态上的问题。","True"
"W07","军事组织与国家动员","作者把学校军训视为义务兵役制和紧急总动员的基层基础设施，重点训练未来可能承担带兵任务的人员。","作者制度功能判断","事故率、动员规模和军训必要性只按文章内部主张记录。","3687","c463a9b3-e752-5e18-8001-49244bda7e7a","2020-08-16","军训","https://www.zhihu.com/question/412671457/answer/1411557637","他们才是这次军训受到最大训练的人，也才是义务兵役制一旦真正实施动员的关键所在——中国需要大量有基本的训练动员兵经验的基层军官。","True"
"W08","军事组织与国家动员","作者把太平天国运动解释为中国社会高烈度、大规模和快速学习的战争动员能力展示。","作者历史战略判断","列强征服成本和中外军力比较未作外部史实验证。","1157","64621cbf-f51c-5d21-b33e-7cbc4f35bf4d","2024-10-28","漏了一个","https://www.zhihu.com/question/579787333/answer/17087956017","太平天国运动展现了中国的可怕动员能力和战争潜力。","True"
"W09","武器工程与系统适配","作者认为舰炮价值来自弹药持续性、再装填和近程自主任务适配，而非替代远程战略导弹。","作者武器功能判断","射程、防御和使用成本属于作者的军事技术判断。","3986","15ad7084-15f4-5bfc-ae55-7f4b7e760389","2018-12-16","舰炮","https://www.zhihu.com/question/299688596/answer/552835870","舰炮是驱逐舰自主任务之中最廉价的中远程打击武器，在性能可及的前提下，舰炮是第一选择。","True"
"W10","武器工程与系统适配","作者把反卫星问题拆成发现、追踪、抵近、命中和系统失效，反对把低轨试验直接外推到北斗中高轨道。","明示工程分解","轨道数据、机动能力和替代系统效力未作外部技术复核。","2524","4b4e3d38-7985-5823-aafd-9f44c2d3d20b","2022-11-16","移星换斗","https://www.zhihu.com/question/403014869/answer/2760357520","击毁星链卫星和击毁北斗卫星是两个完全不同的技术概念。","True"
"W11","武器工程与系统适配","作者以材料缺陷、热处理和人体挥舞上限解释古代武器形制，要求把所谓神兵放回工程约束。","作者工程因果解释","材料和人体上限是文章中的概括性判断。","3980","d55a5274-c7c9-5ce8-a332-1b41e4765609","2018-12-22","神兵利器","https://www.zhihu.com/question/305568853/answer/557301822","问题是人手只能灵活挥舞大概2公斤重的武器。","True"
"W12","武器工程与系统适配","作者认为渡江的关键不是局部过河，而是在同一战役中击溃守军主力并解决跨江补给和持续占领。","作者战役结构判断","历史渡江战例和地理判断未作外部军事史验证。","3607","2867ed0d-0c0c-5bb4-a328-50f679d93142","2020-10-21","长江天险","https://www.zhihu.com/question/20518026/answer/1534640344","所以，渡江的问题不光是要过掉这条江，而且是要在渡江这一战役里扎扎实实的消灭掉守军的有效兵力。","True"
"W13","威慑、威胁与核力量","作者区分情绪恐怖主义与长期可信威慑，认为后者依赖意志、忍耐、勇气和仁慈的持续见证。","明示威慑机制判断","文章由关系教育谈威慑，现实暴力正当性未展开。","1712","a04364e5-6744-551b-ae50-9db7074b7442","2024-03-09","威慑教育","https://www.zhihu.com/question/633364716/answer/3424618060","倒不是说这是无效的，恐怖主义当然有一定的战术效果，往往令无力者获得一定的安慰，但是恐怖主义和真正的斗争、真正富有斗争艺术的威慑相比，实际上是非常低效和粗放的，有太多不必要的成本和意料外的副作用。","True"
"W14","威慑、威胁与核力量","作者把震慑定义为展示反击能力和不确定后果，把威胁定义为指定对象、展示主动进攻意图并要求服从。","明示语义区分","该功能性定义没有覆盖国际法、误判和比例问题。","1408","9d0f167e-0de7-5f9b-8089-0fd0a113e487","2024-08-04","威慑与威胁","https://afdian.com/p/a7c83126523b11ef87d952540025c377","我不是在展现我的反击能力，我是在展现我的进攻能力和进攻意图了。","True"
"W15","威慑、威胁与核力量","作者把法律保障放在较低顺位，并按价值、信息保护、公开反制和隐藏反制划分四级安全策略。","明示安全层级","报复能力和诉讼策略只记录为作者行动模型。","2783","06ac509e-a452-5db7-9a99-c1510e294262","2022-05-26","四级威慑","https://www.zhihu.com/question/533762700/answer/2502664615","维护自己的权益，法律只能担当顺位非常低的保障。","True"
"W16","威慑、威胁与核力量","作者从俄乌战争推演所谓核大国特权，认为独立二次打击能力会迫使直接邻国约束民族主义并尊重核大国意志。","作者核秩序预测","战争结局、核威慑效力和国际秩序变化均为强前提推演。","2901","8f66fc6f-9415-5914-b852-6f6ac9006f8c","2022-02-27","千层浪","https://www.zhihu.com/question/22923120/answer/2365595645","这意味着“核大国的邻国必须服从或至少令其满意的尊重其意志”。","True"
"W17","战争目标、胜负与投降","作者反对把拖延或快速占领单独定义为胜利，要求根据战争的政治和认知目标判断何时结束。","作者战争目标判断","俄罗斯目标、北约信用和乌克兰社会心理均为文章推演。","2900","fa217c7b-64be-581b-ac17-7f743dc6bf24","2022-02-27","俄乌战争","https://www.zhihu.com/question/518747432/answer/2366512885","世界上从来就不存在“让对方一看就觉得你必须速战速决，而你不用坚持到对方自己对这个念头绝望”就能胜利的战争。","True"
"W18","战争目标、胜负与投降","作者把核武器及真实使用意愿视为压低外部援助烈度、争夺政治认知和迫使对手承认物理约束的工具。","作者核威慑与宣传战判断","核升级、占领区治理和援助效果未作外部核验。","2898","0069ab17-6b87-579a-b7f6-a4ada4c5dff3","2022-02-28","到底在争夺什么","https://www.zhihu.com/question/519072580/answer/2367276472","而拿出核武器，并且展示真实的使用意愿，是对抗北约现在已趋疯狂的宣传战的对症之药。","True"
"W19","战争目标、胜负与投降","作者认为投降不是无条件正确或错误，而取决于后勤、组织、承诺兑现能力和双方能否执行理性决定。","明示条件判断","古代侵略后勤和中国历史经验均为作者概括。","1724","30ce77e5-07ab-53fe-97d8-304a3bcab76a","2024-03-05","投降问题","https://www.zhihu.com/question/641736665/answer/3419729825","实际上投降是一个理性的决策，只不过在中国理性运算的结果往往指向不投降而已。","True"
"W20","战争目标、胜负与投降","作者把绝不考虑投降解释为少数大国凭人口、纵深、组织和复兴信心取得的特殊能力，弱国常在不同依附之间选择。","作者大国与弱国比较","乌克兰选择和国家能力等级属于文章的地缘判断。","2899","dd8b2fea-82bd-5a75-8224-dd2da0e8160b","2022-02-27","不投降","https://www.zhihu.com/question/518863102/answer/2366679163","因为“完全不必考虑投降”是中国（以及很少的一些其它国家）在这个地球上的独有特权。","True"
"W21","平民、战争责任与侵略命名","作者以史前部落资源和生育竞争解释不杀妇孺及贞操观念的形成，最后把现代政策判断交回授权和主体位置。","作者演化历史解释","史前习俗、性别资源模型和因果链均未作外部历史验证。","3577","27419a6a-7676-5037-902d-c93399b96f37","2020-11-22","不杀妇孺","https://www.zhihu.com/question/430768656/answer/1588015715","在最原始的部落状态，战胜部落是不会虐待战败方的妇女、儿童的。","True"
"W22","平民、战争责任与侵略命名","作者把指挥者是否下令、批准或明知不制止针对平民、战俘和危险设施的行为列为战争罪责判断入口。","明示战争责任清单","针对具体领导人的指控可能性，事实和法律结论未作外部核验。","2776","d2ec8527-5248-5c7b-87c4-81ab4b4a7e14","2022-05-29","战争罪","https://www.zhihu.com/question/529444185/answer/2505947733","是否有下令、或批准、或明知而不禁止虐待战俘。","True"
"W23","平民、战争责任与侵略命名","作者认为侵略者的历史命名受战后代表权、胜负和叙事延续影响，并非只由越境事实在战争当下决定。","作者历史命名判断","该文讨论命名形成，不等于取消具体战争行为判断。","2846","a3789420-2208-5538-8511-460e4a95ab7b","2022-04-17","侵略者","https://www.zhihu.com/question/520876214/answer/2444406017","历史的真相是，越过国境发动战争的国家到底是不是“侵略者”，不是看战争前、战争中被越境方的定性的，而是看战争之后ta们再怎么说。","True"
"W24","平民、战争责任与侵略命名","作者从星际距离和成本推导，若战争以占领和资源攫取为目标，就会倾向保存稀缺生态资产而非无差别摧毁。","作者成本目标推演","工质推进、虫洞和外星文明均属思想实验。","4014","b01b85e8-9601-58b4-b734-1bcf558100c6","2018-11-06","宇宙战争","https://www.zhihu.com/question/290849728/answer/525749767","除非星际战争纯粹是为了改变夜空景色，否则以占领和物资攫取为目的的话，想要得到的必定是其他更便宜的手段无法得到的东西、某种这里有别处没有的东西。","True"
