"window","windowLabel","dateRule","period","periodLabel","articleCount","term","literal","authorHitArticleCount","authorArticleCoverage","authorArticleCoverageUnrounded","fullLexicalHitArticleCount","excludedQuoteOnlyHitArticleCount","authorOccurrenceCount","occurrencesPer100kAuthorNonWhitespaceChars","occurrencesPer100kAuthorNonWhitespaceCharsUnrounded","fullLexicalOccurrenceCount","excludedQuoteOccurrenceCount","authorTextCharCount","authorNonWhitespaceCharCount","fullLexicalCharCount","fullLexicalNonWhitespaceCharCount","excludedTopLevelQuoteCharCount"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","early","2018-2020","513","love","爱","112","0.21832359","0.21832358674463936","113","1","552","80.726775","80.72677496534014","568","16","684605","683788","693135","692254","8530"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","early","2018-2020","513","naturalLaw","自然法","8","0.01559454","0.015594541910331383","8","0","22","3.217371","3.217371466009933","22","0","684605","683788","693135","692254","8530"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","early","2018-2020","513","labor","劳动","29","0.05653021","0.056530214424951264","29","0","64","9.359626","9.359626082937986","64","0","684605","683788","693135","692254","8530"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","early","2018-2020","513","responsibility","责任","83","0.16179337","0.1617933723196881","83","0","181","26.470193","26.470192515808993","181","0","684605","683788","693135","692254","8530"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","early","2018-2020","513","freedom","自由","85","0.16569201","0.16569200779727095","85","0","207","30.272541","30.27254061200255","207","0","684605","683788","693135","692254","8530"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","early","2018-2020","513","ethics","伦理","67","0.13060429","0.13060428849902533","68","1","131","19.157985","19.157984638513692","132","1","684605","683788","693135","692254","8530"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","early","2018-2020","513","fact","事实","150","0.29239766","0.29239766081871343","150","0","376","54.987803","54.98780323726067","376","0","684605","683788","693135","692254","8530"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","early","2018-2020","513","ability","能力","188","0.36647173","0.3664717348927875","188","0","554","81.019263","81.01926328043194","554","0","684605","683788","693135","692254","8530"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","middle","2021-2023","1635","love","爱","424","0.25932722","0.25932721712538226","427","3","1852","108.489096","108.48909602573745","1882","30","1709131","1707084","1730807","1728215","21676"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","middle","2021-2023","1635","naturalLaw","自然法","54","0.03302752","0.03302752293577982","55","1","134","7.849643","7.849643016981004","135","1","1709131","1707084","1730807","1728215","21676"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","middle","2021-2023","1635","labor","劳动","71","0.04342508","0.04342507645259939","71","0","157","9.19697","9.196969803477744","157","0","1709131","1707084","1730807","1728215","21676"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","middle","2021-2023","1635","responsibility","责任","278","0.17003058","0.17003058103975535","279","1","685","40.126906","40.12690646740289","690","5","1709131","1707084","1730807","1728215","21676"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","middle","2021-2023","1635","freedom","自由","242","0.14801223","0.14801223241590214","243","1","593","34.737599","34.737599321415935","596","3","1709131","1707084","1730807","1728215","21676"
