"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceReadingFile"
"R01","宗教、信仰与经典","本文认为，中国基督教缺少与西方分支分庭抗礼的自信，中国佛教没有领导世界佛教的自觉，中国道教也满足于寄居传统遗产和华人世界余绪；更深的问题不是天资不足，而是没有把思想资源转成有原创性的神学和教化。思想真空会使宗教意识形态腐化、产生邪气十足的渊薮，并给外部势力留下操作空间。文章进一步提出一个严格的宗教合法性标准：真正超然、关心人类平安幸福的宗教，应以“哪怕勉强一个人”作为最大的羞耻，彻底保护一切人不信的自由；只有放弃借人数、权势、资格和现实影响力强迫他人的欲望，宗教才有资格要求自由和生存空间。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","3310","718d6642-deb5-57da-815a-14d34523bab0","2021-05-19","中国宗教的问题","https://www.zhihu.com/question/23712714/answer/1893617858","中国的宗教问题，主要是一个固步自封、自轻自贱的心态问题。","True","batch-596-3306-3315.md"
"R02","宗教、信仰与经典","本文把信仰定义为人在生命威胁面前仍无法放弃的命题或立场。人必须依靠一组相信为真的命题来筛选行动范围，所以不可能完全没有信仰；但作者又认为，中国人常被批评“没有信仰”，是因为他们在生死关头容易抛弃原先宣称高于生命的原则。一次没有做到并不等于没有信仰，真正的背叛是事后把原来相信的原则宣布为虚假、荒谬或不值得遵守。若一个人反复为了活着和逃避有罪判决而改写价值观，他就会失去信用，被他人当作没有信仰的“价值观变色龙”。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","3940","35a66bd4-874d-57c9-89f8-16e0c4a0ee43","2019-04-19","信仰是什么","https://www.zhihu.com/question/20664401/answer/655941584","凡是到了生死存亡的关头你都无法放弃的东西，你就是对它有信仰。","True","batch-659-3936-3945.md"
"R03","宗教、信仰与经典","作者认为，对信仰的深入理解不是话语和文献掌握，而是现实相处能力：知道信众关切、恐惧和欣求，知道什么话能说、该怎么说，什么话不能说；能让信众愿意接待、沟通、考虑请求并在冲突中排除“完全敌对、不共戴天”的选项。反过来，朴素家常话只要能触及共同生活，也可以成为深入理解的证明。这个标准同样适用于理解自己的信仰：无法指导信众与他人共存的信仰，会在历史中逐渐失去信众；只有经过几代、几族人的实践与幸存，才从意识形态追求变成信仰。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","1282","debf7c48-0865-5f94-ae34-05be347b73f6","2024-09-22","深入信仰","https://afdian.com/p/81395f2c785f11efb3045254001e7c00","生活是所有人类的共同语言。","True","batch-257-1281-1285.md"
"R04","宗教、信仰与经典","本文认为，科学不能把自己描述成完全没有信仰的纯事实体系，因为它必须依靠同一前提同一结果、规律时空均一这两条无法被完全证明的前提。现实中的历史记录、宇宙观测和控制变量都只能提供有限结果，量子扰动、复杂系统和智慧生命又使精确预测原则上更困难。因此，依赖科学解决人类一切问题在原则上不可追求；若“没有充分证据却不许更改的信”叫迷信或宗教，科学主义也必须先反省自己的根基。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","3988","5fdad7e4-98d9-529e-9713-4365605c2e99","2018-12-13","作为信仰的科学","https://www.zhihu.com/question/305176409/answer/551275717","这科学建立在两个基本信仰之上","True","batch-664-3986-3995.md"
"R05","宗教、信仰与经典","本文认为，接受不以理解为前提，家人也不需要先理解一个人的信仰才允许其存在。若一个人的信仰确实与健康、稳定、工作和履约相伴，家人通常会因为看到实际结果而接受，甚至产生好奇；反过来，如果一个人失约、拖累别人、不能提供结果，却不断要求家人理解自己为何如此，那么“信仰”只是把解释提高到神圣高度，不能替代责任。作者据此要求，失败时先谈赔偿和修复，而不是自行逼迫受损者听长篇理由。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","3399","8388b3e4-3b7b-55d7-912b-7a4b06d7aeb5","2021-04-15","信仰自由","https://www.zhihu.com/question/24370630/answer/1835789361","接受并不需要理解。","True","batch-605-3396-3405.md"
"R06","宗教、信仰与经典","本文用原教旨主义者自己的经文前提反过来追问避孕禁令的责任边界。“生养众多”不是无限生育的单独命令，它被“遍满地面”限制；如果反对避孕的人既不能保证人类绝对和平、不能保证万物不因人类管理失败而灭绝，也不愿为这些保证放弃自己的生命和享受，就不能轻易声称自己仍有资格反对生育控制。避孕套在作者这里不是对神意的背叛，而可能是在人类不能承担无限扩张后果时给人类留下的活路。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","3096","aede86bf-086d-54f4-9602-774aef4dc5c0","2021-09-04","生养众多，遍满地面","https://www.zhihu.com/question/290069805/answer/2102565077","你们谁对此作保？谁有这个资格来作保？","True","batch-575-3096-3105.md"
"R07","上帝、神与神性","作者认为人的神性由“永生性”“无私性”和“良善性”构成。所谓永生性不是肉身永生，而是人能“为万世谋”，为自己及子孙未必享有的未来利益牺牲；无私性是暂时超出个人身份、性别和利害，像抽象意志一样持平而论，也是学术能力支持真实假设的基础；良善性则要求把长远和抽离能力用于抚育、成全、治疗与保护，而非冷静地策划伤害。三者与摆脱兽性恐惧合并，才会产生作者所谓神圣气质。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","2023","fea6405e-4cb6-5632-b6d3-7ed8944d7459","2023-09-10","神性","https://www.zhihu.com/question/20688186/answer/3204556512","人的神性就是人身上有别于一切兽的那些属性。","True","batch-405-2021-2025.md"
"R08","上帝、神与神性","本文把智能的基础理解为从背景中发现前景、从知觉中识别异常的能力，并把这种能力追溯到生存淘汰。人看到随机斑块中的“斑点狗”，可以被解释为在混沌中发现模式；有神论者因此把宇宙中的秩序看成上帝，无神论者则把它看成随机斑块和人的投射，作者认为双方都不必因此被判为疯子。真正危险的不是选择哪种总体解释，而是任何一方为了维护解释而删掉难以容纳的客观斑块。只要双方对世界的物理形状和行动路线保持共识，宗教信仰与理性就可以共存。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","3998","cd6a03a2-7490-55c7-9848-cabeca788913","2018-12-05","斑点狗","https://www.zhihu.com/question/21446833/answer/545409161","这就是智能的元本质——发现“异常”的能力。","True","batch-665-3996-4005.md"
"R09","上帝、神与神性","本文有两层互相支撑的主张。第一，任何思想追求都不能长期满足于低级、重复、廉价的刺激，否则人会放弃对复杂和高质量问题的厌倦能力，逐渐失去人格、尊重和他人投入的资源。第二，关于全善全能的矛盾，作者认为“全能”意味着对人无法做到的任何可行之事都能做到；凡人举不出辩护方案，不等于上帝没有方案；善恶则可以被理解为在无限时间尺度上合并计算所有相关者利益的结果。因此，所谓矛盾更可能来自人的逻辑和算力限制，而不是神学命题已经被击破。文章最终认为，真正的问题不是宗教，而是读者是否在低水平重复中浪费生命。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","2953","86644dee-d70d-54e8-bac5-cddb4ed8116d","2021-11-17","人间失格","https://www.zhihu.com/question/446093570/answer/2229225380","任何不想最后变成一场空的努力，都有一个基本的原则，就是绝不能自甘下流。","True","batch-560-2946-2955.md"
"R10","上帝、神与神性","本文认为，人一旦计算、审判、创造，就会在心灵上暂时占据一个“上帝”的位置；从这个位置看别人，缺点自然无限、优越感自然产生，这本身是中性的。真正的问题是把属于这个席位、制服或权能的优越感误认成自己的本质。离开考官、警察或上帝的位置后，人仍是会在考场上出汗、会有缺陷的普通人；治疗优越感的方法，是把审判权归还给位置，不把借来的权能据为己有。","作者在单篇文本中的直接命题、定义或应用论证","本条只呈现作者在该文中的判断；同层及跨层联系属于研究重建。","3459","62737881-4460-566e-878f-f69de643f501","2021-03-02","优越感","https://www.zhihu.com/question/273597946/answer/1758974454","你分不清哪个是你了，你到底是那个坐在办公室里嘴角挑着冷笑的考官，还是那个坐在考场上汗出如浆的废柴？","True","batch-611-3456-3465.md"
