"year","yearCoverage","articleCount","term","literal","authorHitArticleCount","authorArticleCoverage","authorArticleCoverageUnrounded","fullLexicalHitArticleCount","excludedQuoteOnlyHitArticleCount","authorOccurrenceCount","occurrencesPer100kAuthorNonWhitespaceChars","occurrencesPer100kAuthorNonWhitespaceCharsUnrounded","fullLexicalOccurrenceCount","excludedQuoteOccurrenceCount","authorTextCharCount","authorNonWhitespaceCharCount","fullLexicalCharCount","fullLexicalNonWhitespaceCharCount","excludedTopLevelQuoteCharCount"
"2017","partial_from_2017-09-08","1","love","爱","0","0","0","0","0","0","0","0","0","0","1062","1062","1062","1062","0"
"2017","partial_from_2017-09-08","1","naturalLaw","自然法","0","0","0","0","0","0","0","0","0","0","1062","1062","1062","1062","0"
"2017","partial_from_2017-09-08","1","labor","劳动","0","0","0","0","0","0","0","0","0","0","1062","1062","1062","1062","0"
"2017","partial_from_2017-09-08","1","responsibility","责任","0","0","0","0","0","0","0","0","0","0","1062","1062","1062","1062","0"
"2017","partial_from_2017-09-08","1","freedom","自由","0","0","0","0","0","0","0","0","0","0","1062","1062","1062","1062","0"
"2017","partial_from_2017-09-08","1","ethics","伦理","0","0","0","0","0","0","0","0","0","0","1062","1062","1062","1062","0"
"2017","partial_from_2017-09-08","1","fact","事实","0","0","0","0","0","0","0","0","0","0","1062","1062","1062","1062","0"
"2017","partial_from_2017-09-08","1","ability","能力","1","1","1","1","0","1","94.161959","94.16195856873823","1","0","1062","1062","1062","1062","0"
"2018","complete_calendar_year","72","love","爱","14","0.19444444","0.19444444444444445","14","0","61","56.888126","56.88812623568471","61","0","107291","107228","109408","109325","2117"
"2018","complete_calendar_year","72","naturalLaw","自然法","0","0","0","0","0","0","0","0","0","0","107291","107228","109408","109325","2117"
"2018","complete_calendar_year","72","labor","劳动","6","0.08333333","0.08333333333333333","6","0","7","6.528146","6.528145633603163","7","0","107291","107228","109408","109325","2117"
"2018","complete_calendar_year","72","responsibility","责任","8","0.11111111","0.1111111111111111","8","0","11","10.258515","10.258514567090685","11","0","107291","107228","109408","109325","2117"
"2018","complete_calendar_year","72","freedom","自由","11","0.15277778","0.1527777777777778","11","0","28","26.112583","26.112582534412653","28","0","107291","107228","109408","109325","2117"
"2018","complete_calendar_year","72","ethics","伦理","7","0.09722222","0.09722222222222222","7","0","18","16.78666","16.78666020069385","18","0","107291","107228","109408","109325","2117"
"2018","complete_calendar_year","72","fact","事实","27","0.375","0.375","27","0","80","74.607379","74.60737866975043","80","0","107291","107228","109408","109325","2117"
"2018","complete_calendar_year","72","ability","能力","26","0.36111111","0.3611111111111111","26","0","73","68.079233","68.07923303614727","73","0","107291","107228","109408","109325","2117"
"2019","complete_calendar_year","115","love","爱","20","0.17391304","0.17391304347826086","21","1","107","65.441024","65.44102357100046","117","10","163655","163506","164802","164651","1147"
"2019","complete_calendar_year","115","naturalLaw","自然法","4","0.03478261","0.034782608695652174","4","0","4","2.446393","2.4463934045233815","4","0","163655","163506","164802","164651","1147"
"2019","complete_calendar_year","115","labor","劳动","6","0.05217391","0.05217391304347826","6","0","17","10.397172","10.39717196922437","17","0","163655","163506","164802","164651","1147"
"2019","complete_calendar_year","115","responsibility","责任","19","0.16521739","0.16521739130434782","19","0","27","16.513155","16.513155480532824","27","0","163655","163506","164802","164651","1147"
"2019","complete_calendar_year","115","freedom","自由","19","0.16521739","0.16521739130434782","19","0","44","26.910327","26.910327449757194","44","0","163655","163506","164802","164651","1147"
"2019","complete_calendar_year","115","ethics","伦理","15","0.13043478","0.13043478260869565","15","0","28","17.124754","17.12475383166367","28","0","163655","163506","164802","164651","1147"
"2019","complete_calendar_year","115","fact","事实","40","0.34782609","0.34782608695652173","40","0","89","54.432253","54.43225325064524","89","0","163655","163506","164802","164651","1147"
