"period","platform","articleCount","term","literal","documentCount","documentRate"
"2018-2020","Zhihu","513","fact","事实","150","0.292398"
"2018-2020","Zhihu","513","ability","能力","188","0.366472"
"2018-2020","Zhihu","513","responsibility","责任","83","0.161793"
"2018-2020","Zhihu","513","freedom","自由","85","0.165692"
"2018-2020","Zhihu","513","love","爱","113","0.220273"
"2018-2020","Zhihu","513","labor","劳动","29","0.05653"
"2018-2020","Zhihu","513","naturalLaw","自然法","8","0.015595"
"2018-2020","Zhihu","513","ethics","伦理","68","0.132554"
"2021-2023","Afdian","41","fact","事实","11","0.268293"
"2021-2023","Afdian","41","ability","能力","12","0.292683"
"2021-2023","Afdian","41","responsibility","责任","12","0.292683"
"2021-2023","Afdian","41","freedom","自由","9","0.219512"
"2021-2023","Afdian","41","love","爱","14","0.341463"
"2021-2023","Afdian","41","labor","劳动","6","0.146341"
"2021-2023","Afdian","41","naturalLaw","自然法","3","0.073171"
"2021-2023","Afdian","41","ethics","伦理","6","0.146341"
"2021-2023","Zhihu","1635","fact","事实","404","0.247095"
"2021-2023","Zhihu","1635","ability","能力","485","0.296636"
"2021-2023","Zhihu","1635","responsibility","责任","279","0.170642"
"2021-2023","Zhihu","1635","freedom","自由","243","0.148624"
"2021-2023","Zhihu","1635","love","爱","427","0.261162"
"2021-2023","Zhihu","1635","labor","劳动","71","0.043425"
"2021-2023","Zhihu","1635","naturalLaw","自然法","55","0.033639"
"2021-2023","Zhihu","1635","ethics","伦理","142","0.08685"
"2024-2026","Afdian","741","fact","事实","163","0.219973"
"2024-2026","Afdian","741","ability","能力","235","0.317139"
"2024-2026","Afdian","741","responsibility","责任","136","0.183536"
"2024-2026","Afdian","741","freedom","自由","123","0.165992"
"2024-2026","Afdian","741","love","爱","276","0.37247"
"2024-2026","Afdian","741","labor","劳动","59","0.079622"
"2024-2026","Afdian","741","naturalLaw","自然法","59","0.079622"
"2024-2026","Afdian","741","ethics","伦理","46","0.062078"
"2024-2026","Zhihu","1119","fact","事实","211","0.188561"
"2024-2026","Zhihu","1119","ability","能力","284","0.253798"
"2024-2026","Zhihu","1119","responsibility","责任","176","0.157283"
"2024-2026","Zhihu","1119","freedom","自由","150","0.134048"
"2024-2026","Zhihu","1119","love","爱","360","0.321716"
"2024-2026","Zhihu","1119","labor","劳动","81","0.072386"
"2024-2026","Zhihu","1119","naturalLaw","自然法","69","0.061662"
"2024-2026","Zhihu","1119","ethics","伦理","70","0.062556"
