"concept","articleCount","articleRate"
"事实与证据","1463","0.361235"
"定义与达意","1766","0.436049"
"能力与学习","2595","0.640741"
"选择与自由","2332","0.575802"
"责任与后果","2571","0.634815"
"成本与总账","2508","0.619259"
"信用与信任","1131","0.279259"
"爱与回应","1299","0.320741"
"净输出与不掠夺","339","0.083704"
"边界与许可","1267","0.31284"
"照料与家庭","1054","0.260247"
"劳动与组织","1294","0.319506"
"财富与市场","1034","0.255309"
"法律与秩序","1271","0.313827"
"权力与异议","1210","0.298765"
"技术与工程","1108","0.27358"
"文明与历史","1081","0.266914"
"民族与身份","221","0.054568"
"生态与自然","350","0.08642"
"人工智能与机器","118","0.029136"
"心理与主体","1640","0.404938"
"性别与身体","511","0.126173"
"宗教与自然法","318","0.078519"
