"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceLayer"
"N01","自然观、规律与人的位置","作者认为语言和数学都是描述关系的符号系统，语言先于完整意义上的人类，故数学具有先在性。","概念本体论与语言—数学类比","动物研究只被用于支持方向判断，未形成语言演化证据链。","2695","f455e627-834a-5efb-afe9-c311b5694325","2022-07-04","说话的兽","https://www.zhihu.com/question/530184935/answer/2558470982","数学本来是人类用来描述事物关系的一种语言","True","screened"
"N02","自然观、规律与人的位置","作者认为人类交通、环境改造、繁育和基因工程加速了其他生物的演化，文明人类自身反而可能演化较慢。","人类活动与演化速度因果模型","“保护使演化归零”是文章收束性推演，不能扩展成普遍保护理论。","3493","366ab128-d0ec-5a22-9185-a7be6c9ef61a","2021-02-12","进化王","https://www.zhihu.com/question/444037692/answer/1727447923","人类自己直接参与了新品种的繁育和筛选","True","screened"
"N03","自然观、规律与人的位置","作者认为医学借人口密度和社会竞争提高人类面临的选择压力，而非单向阻碍演化。","人口密度、技术与选择压力推演","原文把社会末位淘汰和生物演化连用，应保留其文本定义，不能改写成既定生物学结论。","4048","c2e2ed74-762d-565d-92f4-336b0de662bc","2018-06-24","人类进化","https://www.zhihu.com/question/282289192/answer/425412294","演化的动力是来自种群密度超标","True","screened"
"N04","自然观、规律与人的位置","作者把智力定义为不改变遗传特征而应付多样环境的能力，并认为全球环境趋同未必有利于动物智力发展。","智力的作者操作性定义","指标体系是文章提出的测量方案，不是作者引用的通行定义。","4033","465e8f4f-b56b-56bd-b9fb-fb9d65f1abd8","2018-08-11","智力","https://www.zhihu.com/question/57184841/answer/466014654","智力还有另一种更加确切和简单的定义方式：即对多样环境的“应付力”","True","screened"
"N05","自然观、规律与人的位置","作者认为生命靠摄入承载负熵的大分子维持有序，嗅觉厌恶帮助动物回避营养耗尽后的分解物。","热力学、生理与感官统一解释","文章以高度概括的分子模型解释营养和气味，未逐类处理例外。","3955","66905294-b1c5-5a40-8219-eb7d112f373e","2019-03-11","臭","https://www.zhihu.com/question/305053956/answer/619566586","我们摄入大分子、排出小分子","True","screened"
"N06","自然观、规律与人的位置","作者认为代谢率主要服从物种生存策略，小体型与高速代谢只是经常共同服务于快速繁殖。","跨物种反例与同果二因辨析","文章只提供病毒和龟类等反例，未做跨物种系统比较。","2270","445fcafa-a694-57e4-9f5e-d29e08045e6c","2023-04-29","龟虽寿","https://www.zhihu.com/question/598217789/answer/3005910140","实际上新陈代谢只和生存策略有关","True","screened"
"N07","生态系统、生物多样性与保护","作者把人类与动物的关系分为接触、理解、管理三阶段，并认为管理动物首先要求管理人类自身的开发、排放和捕猎。","人类—动物关系阶段模型","“大型动物最终成为广义家畜”是附条件的未来推演。","4036","72e97bb7-5f36-581b-885a-ad52843ff29c","2018-07-27","动物的未来","https://www.zhihu.com/question/287215837/answer/453889614","我们将这三阶段分别称为接触、理解与管理","True","screened"
"N08","生态系统、生物多样性与保护","作者主张把保护名单倒置为允许利用名单，未获批准利用的动物原则上都受保护。","动物名录制度反转方案","短文未展开审核标准、既有利用和执法机制。","1387","92d52ba7-4dbf-5985-82d1-4dffd7a0fe55","2024-08-15","未保护动物","https://www.zhihu.com/question/664306989/answer/3595426571","《保护动物名单》应该改为《允许利用动物名单》","True","screened"
"N09","生态系统、生物多样性与保护","作者预测农业将工业化，并要求旧农地转向恢复多层次、有弹性和有容量的生态系统。","产业、土地与生态长期情景","百年转型、能源和太空用途均为作者远期预测。","3125","5fcaadb8-9bba-5d43-9f03-0c374dfc9729","2021-08-24","农村的未来","https://www.zhihu.com/question/437882772/answer/2081194676","其中最至关重要的转变，就是粮食生产工业化","True","screened"
"N10","生态系统、生物多样性与保护","作者认为山火治理受火场、水源、机场、森林多样性和林区含水量共同制约，原生多样性本身具有抑火功能。","生态与消防工程系统分析","消防机队数量、成本和具体因果是文内估算。","3942","da05d527-2762-5b58-a9da-fb3dcde8a526","2019-04-09","山火","https://www.zhihu.com/question/318594515/answer/646005478","我们极其需要保护原生树林的多样性","True","screened"
