"seriesNumber","title","sourceFile","publishFile","chineseChars","status","zhihuUrl"
"0","我用4,050篇公开文本，重建了岐伯的思想体系","research/zhihu/00_系列总序.md","research/zhihu/00_系列总序.md","1391","READY",""
"1","岐伯公开文本系统研究（01）｜从四千篇平台文本到作者内部思想重建：研究方法、证据等级与质量控制","research/papers/00_研究方法与证据规范.md","research/zhihu/articles/01_00_研究方法与证据规范.md","4461","READY",""
"2","岐伯公开文本系统研究（02）｜九年四千篇问答：岐伯公开文本的语料结构、平台迁移与解释边界","research/papers/01_语料画像.md","research/zhihu/articles/02_01_语料画像.md","4193","READY",""
"3","岐伯公开文本系统研究（03）｜实践伦理的工程学：岐伯公开文本的思想体系重建","research/papers/02_实践伦理的工程学_思想体系总论.md","research/zhihu/articles/03_02_实践伦理的工程学_思想体系总论.md","8087","READY",""
"4","岐伯公开文本系统研究（04）｜伦理作为社会技术：岐伯文本中的权力、互惠与社会资本","research/papers/03_伦理作为社会技术_权力互惠与社会资本.md","research/zhihu/articles/04_03_伦理作为社会技术_权力互惠与社会资本.md","12175","READY",""
"5","岐伯公开文本系统研究（05）｜从基本照护到家族记忆：岐伯文本中的家庭、亲属与代际秩序","research/papers/04_家庭与亲属秩序.md","research/zhihu/articles/05_04_家庭与亲属秩序.md","13073","READY",""
"6","岐伯公开文本系统研究（06）｜从愿人得好到再次自愿：岐伯文本中的亲密关系、婚姻与分离秩序","research/papers/05_亲密关系与婚恋.md","research/zhihu/articles/06_05_亲密关系与婚恋.md","11151","READY",""
"7","岐伯公开文本系统研究（07）｜从志业到职业母港：岐伯职场、组织与协作秩序的内部重建","research/papers/06_职场组织与协作.md","research/zhihu/articles/07_06_职场组织与协作.md","13933","READY",""
"8","岐伯公开文本系统研究（08）｜从服从世界到治理处境：岐伯（q9adg）实践思想体系总论","research/papers/07_从服从世界到治理处境_思想体系总论.md","research/zhihu/articles/08_07_从服从世界到治理处境_思想体系总论.md","6610","READY",""
"9","岐伯公开文本系统研究（09）｜从有质量的错误到教育权柄：岐伯文本中的学习、能力形成与教育秩序","research/papers/08_可错知识与教育实践.md","research/zhihu/articles/09_08_可错知识与教育实践.md","11175","READY",""
"10","岐伯公开文本系统研究（10）｜从共同世界到可修正行动：岐伯文本中的知识、证据与论证程序","research/papers/09_定义达意与批评_论证修辞研究.md","research/zhihu/articles/10_09_定义达意与批评_论证修辞研究.md","10046","READY",""
"11","岐伯公开文本系统研究（11）｜财富、劳动与经济伦理：岐伯文本中的资源、事业、市场与分配","research/papers/10_财富劳动与经济伦理.md","research/zhihu/articles/11_10_财富劳动与经济伦理.md","15728","READY",""
"12","岐伯公开文本系统研究（12）｜上帝、自然法与人的行动：岐伯宗教思想的八层内部重建","research/papers/11_宗教自然法与世俗论证.md","research/zhihu/articles/12_11_宗教自然法与世俗论证.md","19772","READY",""
"13","岐伯公开文本系统研究（13）｜国家、法律、秩序与公民异议：岐伯（q9adg）政治—法律思想的结构与张力","research/papers/12_国家法律秩序与公民异议.md","research/zhihu/articles/13_12_国家法律秩序与公民异议.md","10353","READY",""
"14","岐伯公开文本系统研究（14）｜从工业基础到文明眠种：岐伯文本中的技术、产业、智能与历史继承","research/papers/13_技术文明产业路径与历史经验.md","research/zhihu/articles/14_13_技术文明产业路径与历史经验.md","13494","READY",""
