"conceptA","conceptB","conceptAArticleCount","conceptBArticleCount","coArticleCount","coArticleRate","jaccard","lift"
"成本与总账","责任与后果","2508","2571","1750","0.432099","0.525683","1.099166"
"成本与总账","能力与学习","2508","2595","1686","0.416296","0.493415","1.049174"
"能力与学习","责任与后果","2595","2571","1664","0.410864","0.475157","1.010111"
"选择与自由","责任与后果","2332","2571","1568","0.38716","0.470165","1.059182"
"成本与总账","选择与自由","2508","2332","1500","0.37037","0.449102","1.0387"
"能力与学习","选择与自由","2595","2332","1491","0.368148","0.433935","0.997853"
"定义与达意","责任与后果","1766","2571","1166","0.287901","0.367707","1.040066"
"定义与达意","能力与学习","1766","2595","1150","0.283951","0.358144","1.016307"
"能力与学习","心理与主体","2595","1640","1138","0.280988","0.367452","1.082969"
"心理与主体","责任与后果","1640","2571","1068","0.263704","0.339803","1.025842"
"成本与总账","定义与达意","2508","1766","1062","0.262222","0.330635","0.971094"
"定义与达意","选择与自由","1766","2332","1051","0.259506","0.344929","1.033567"
"成本与总账","心理与主体","2508","1640","1028","0.253827","0.329487","1.012224"
"心理与主体","选择与自由","1640","2332","960","0.237037","0.318725","1.016609"
"劳动与组织","能力与学习","1294","2595","946","0.23358","0.321441","1.140971"
"事实与证据","责任与后果","1463","2571","935","0.230864","0.30171","1.006747"
"能力与学习","事实与证据","2595","1463","934","0.230617","0.298976","0.996369"
"成本与总账","劳动与组织","2508","1294","926","0.228642","0.321975","1.155591"
"成本与总账","事实与证据","2508","1463","916","0.226173","0.299836","1.011064"
"法律与秩序","责任与后果","1271","2571","909","0.224444","0.309922","1.126604"
"劳动与组织","责任与后果","1294","2571","905","0.223457","0.305743","1.10171"
"边界与许可","责任与后果","1267","2571","900","0.222222","0.306331","1.118971"
"成本与总账","法律与秩序","2508","1271","883","0.218025","0.304903","1.12187"
"爱与回应","责任与后果","1299","2571","882","0.217778","0.295181","1.069578"
"事实与证据","选择与自由","1463","2332","847","0.209136","0.287313","1.005462"
"边界与许可","成本与总账","1267","2508","837","0.206667","0.284888","1.066784"
"成本与总账","权力与异议","2508","1210","831","0.205185","0.287842","1.10903"
"信用与信任","责任与后果","1131","2571","825","0.203704","0.286757","1.149064"
"爱与回应","能力与学习","1299","2595","818","0.201975","0.26593","0.982792"
"权力与异议","责任与后果","1210","2571","817","0.201728","0.275641","1.063628"
"法律与秩序","能力与学习","1271","2595","816","0.201481","0.267541","1.001987"
"边界与许可","选择与自由","1267","2332","815","0.201235","0.292744","1.11714"
"能力与学习","权力与异议","2595","1210","807","0.199259","0.269179","1.040892"
"成本与总账","信用与信任","2508","1131","801","0.197778","0.282241","1.143661"
"技术与工程","能力与学习","1108","2595","799","0.197284","0.275138","1.125446"
"爱与回应","选择与自由","1299","2332","798","0.197037","0.28168","1.066891"
"法律与秩序","选择与自由","1271","2332","791","0.195309","0.281294","1.08083"
"边界与许可","能力与学习","1267","2595","788","0.194568","0.256344","0.97066"
"财富与市场","成本与总账","1034","2508","777","0.191852","0.281013","1.213467"
"责任与后果","照料与家庭","2571","1054","777","0.191852","0.272823","1.16127"
"爱与回应","成本与总账","1299","2508","772","0.190617","0.254366","0.9597"
"能力与学习","信用与信任","2595","1131","768","0.18963","0.259635","1.059781"
"权力与异议","选择与自由","1210","2332","760","0.187654","0.273185","1.090824"
"能力与学习","文明与历史","2595","1081","746","0.184198","0.254608","1.077037"
"能力与学习","照料与家庭","2595","1054","745","0.183951","0.256543","1.103147"
"定义与达意","心理与主体","1766","1640","744","0.183704","0.279489","1.040383"
"劳动与组织","选择与自由","1294","2332","739","0.182469","0.255975","0.991829"
"成本与总账","技术与工程","2508","1108","732","0.180741","0.253814","1.066839"
"财富与市场","能力与学习","1034","2595","715","0.176543","0.245367","1.079203"
"成本与总账","照料与家庭","2508","1054","694","0.171358","0.24198","1.063277"
"技术与工程","责任与后果","1108","2571","687","0.16963","0.229612","0.97672"
"信用与信任","选择与自由","1131","2332","680","0.167901","0.244341","1.044174"
"成本与总账","文明与历史","2508","1081","677","0.16716","0.232486","1.011324"
"定义与达意","事实与证据","1766","1463","661","0.16321","0.257399","1.036147"
"财富与市场","责任与后果","1034","2571","651","0.160741","0.220379","0.991776"
"边界与许可","定义与达意","1267","1766","643","0.158765","0.269038","1.163854"
"财富与市场","选择与自由","1034","2332","642","0.158519","0.235683","1.078303"
"选择与自由","照料与家庭","2332","1054","642","0.158519","0.233965","1.057842"
"爱与回应","心理与主体","1299","1640","639","0.157778","0.277826","1.214795"
"文明与历史","责任与后果","1081","2571","634","0.156543","0.210073","0.923882"
"爱与回应","定义与达意","1299","1766","626","0.154568","0.256663","1.105171"
"技术与工程","选择与自由","1108","2332","605","0.149383","0.213404","0.948292"
"文明与历史","选择与自由","1081","2332","605","0.149383","0.215456","0.971977"
"事实与证据","心理与主体","1463","1640","596","0.14716","0.237734","1.006035"
"定义与达意","法律与秩序","1766","1271","587","0.144938","0.239592","1.059149"
"定义与达意","权力与异议","1766","1210","567","0.14","0.235367","1.074638"
"定义与达意","劳动与组织","1766","1294","540","0.133333","0.214286","0.957026"
"边界与许可","心理与主体","1267","1640","523","0.129136","0.219379","1.01938"
"法律与秩序","权力与异议","1271","1210","522","0.128889","0.266462","1.374658"
"劳动与组织","心理与主体","1294","1640","522","0.128889","0.216418","0.996202"
"心理与主体","照料与家庭","1640","1054","519","0.128148","0.238621","1.216012"
"权力与异议","心理与主体","1210","1640","517","0.127654","0.221603","1.055155"
"法律与秩序","事实与证据","1271","1463","516","0.127407","0.232642","1.123867"
"心理与主体","信用与信任","1640","1131","504","0.124444","0.22232","1.100472"
"爱与回应","边界与许可","1299","1267","503","0.124198","0.24382","1.237762"
"定义与达意","信用与信任","1766","1131","497","0.122716","0.207083","1.007762"
"权力与异议","事实与证据","1210","1463","488","0.120494","0.223341","1.116465"
"边界与许可","法律与秩序","1267","1271","484","0.119506","0.235638","1.217246"
"边界与许可","事实与证据","1267","1463","483","0.119259","0.214953","1.055313"
"定义与达意","文明与历史","1766","1081","475","0.117284","0.200253","1.007702"
"定义与达意","照料与家庭","1766","1054","474","0.117037","0.202046","1.03134"
"爱与回应","照料与家庭","1299","1054","459","0.113333","0.242344","1.357744"
"定义与达意","技术与工程","1766","1108","459","0.113333","0.190062","0.95003"
"边界与许可","权力与异议","1267","1210","458","0.113086","0.226845","1.209925"
"法律与秩序","劳动与组织","1271","1294","456","0.112593","0.216216","1.122897"
"法律与秩序","文明与历史","1271","1081","456","0.112593","0.240506","1.344153"
"法律与秩序","心理与主体","1271","1640","453","0.111852","0.184296","0.880164"
"事实与证据","文明与历史","1463","1081","448","0.110617","0.21374","1.147263"
"劳动与组织","事实与证据","1294","1463","447","0.11037","0.193506","0.956278"
"爱与回应","事实与证据","1299","1463","443","0.109383","0.191031","0.944072"
"事实与证据","信用与信任","1463","1131","436","0.107654","0.202039","1.067172"
"财富与市场","定义与达意","1034","1766","430","0.106173","0.181435","0.953701"
"爱与回应","信用与信任","1299","1131","429","0.105926","0.214393","1.182607"
"财富与市场","劳动与组织","1034","1294","425","0.104938","0.223332","1.286439"
"边界与许可","信用与信任","1267","1131","417","0.102963","0.2105","1.17856"
"技术与工程","文明与历史","1108","1081","417","0.102963","0.235327","1.410021"
"技术与工程","事实与证据","1108","1463","416","0.102716","0.193039","1.039356"
"技术与工程","劳动与组织","1108","1294","411","0.101481","0.206429","1.160975"
"劳动与组织","权力与异议","1294","1210","411","0.101481","0.196369","1.063108"
"爱与回应","权力与异议","1299","1210","407","0.100494","0.193625","1.048709"
"边界与许可","劳动与组织","1267","1294","404","0.099753","0.187297","0.997988"
