"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceLayer"
"K01","共同世界、真理与知识边界","作者把不服从愿望的客观世界视为不同立场交流和订约的共同底盘，同时把人的知识限定为可继续改进的高质量错误。","共同事实与知识可错命题","科学经典在文中是必须兼容的世界描述之一，不是终极真理或完整价值体系。","3752","4cbed42c-3df1-5042-bc95-625b46e3256e","2020-06-27","高中书目","https://www.zhihu.com/question/403634755/answer/1304983217","人类能达到的极限，不过是“有质量的错误”。","True","screened-cross-route-supplement"
"K02","共同世界、真理与知识边界","作者把终极真理定义为能够无限正确回溯和预测且永不修改的全知模型，并认为人只能依据有限知识下注。","终极真理定义与认识限度推演","文章没有取消不同知识判断的质量差异，只否定人把高胜率赌注直接加冕为终极真理。","3785","c34ca81a-ada6-5462-b656-e70a8805cf0b","2020-05-21","终极真理","https://www.zhihu.com/question/384694502/answer/1236260309","是赌注而已。","True","epistemology-route"
"K03","共同世界、真理与知识边界","作者认为科学实践也依赖规律时空均一、同一条件产生同一结果等无法被穷尽证明的前提，因而不能被写成无信仰的全知体系。","科学前提与信仰边界分析","文章讨论科学主义的认识根基，不是否定实验、数据和规律研究的有效性。","3988","5fdad7e4-98d9-529e-9713-4365605c2e99","2018-12-13","作为信仰的科学","https://www.zhihu.com/question/305176409/answer/551275717","全无分毫证据，只是信了而已。","True","epistemology-route"
"K04","共同世界、真理与知识边界","作者认为科学在数据可靠、价值目标清楚时可以给出答案，但面对复杂人生和组织选择往往只能诚实回答不知道；决策者仍必须下注。","科学能力边界与决策责任","信仰在文中承担不确定条件下承受选择后果的功能，不表示所有选择无需事实与数据。","3999","d95c9b96-39b8-567e-b8ad-7a846c1e69da","2018-12-04","科学信仰","https://www.zhihu.com/question/33982256/answer/545101282","因为“不选”本身不可选。","True","epistemology-route"
"K05","共同世界、真理与知识边界","作者把傲慢定义为可证伪问题上证据强度与确信强度失配，要求主体知道自己的高把握结论仍是有限证据上的胜率判断。","证据—确信刻度定义","文章同时反对仅凭他人情绪降低判断，观点修正仍需要新证据、新论证或明确错误。","3726","96b7c75d-ef5b-5bbe-8040-1918fcec7988","2020-07-15","傲慢","https://www.zhihu.com/question/265038298/answer/1340599942","傲慢就是对有可证伪性的问题只有三分证据，却有十分把握。","True","epistemology-route"
"K06","共同世界、真理与知识边界","作者认为知识应用无法消除错误，成熟目标是在授权和必要行动范围内选择后果更可控、更多由自己承担的错误。","应用知识与可错行动原则","“正确的错误”是作者对错误类型和后果的排序，不是把错误本身改写成正确。","3258","ac613538-268c-5866-bcb8-64d4191f9958","2021-06-14","错得对","https://www.zhihu.com/question/463151749/answer/1939884660","去犯正确的错误。","True","epistemology-route"
"K07","定义、题面与概念边界","作者把偷换概念限定为论者违反自己明确提出或共同接受的定义，反对把未接受他人定义直接判成逻辑错误。","定义权与内部一致命题","重新定义需要承担解释和前后一致义务，不能靠更换词义逃避自己已经承诺的标准。","3633","7eee6fed-caa7-58ef-9f05-798aabaaaf0d","2020-09-22","偷换概念","https://www.zhihu.com/question/22081937/answer/1487453301","进步本身即是概念的更新。","True","epistemology-route"
"K08","定义、题面与概念边界","作者要求读者先按论述者自己的定义检查结论和论证，再检查该主张是否与论述者的其他承诺相协调。","论证阅读与内部批评程序","文中也指出逻辑有效不自动等于论述值得接受，定义一致只是第一道检查。","3325","16a059df-ba77-5ca8-8f92-f5d1b0e90825","2021-05-14","看论证","https://www.zhihu.com/question/413077543/answer/1885119748","定义权是论述者当然的特权，","True","epistemology-route"
"K09","定义、题面与概念边界","作者把子女提出的内容先保留为未定性的诉求，再区分乞求、祈求、请求、需求和权利要求，以阻止名称提前分配拒绝权。","题面重构与类型区分","该分类用于家庭诉求处理，不自动成为所有公共请求的统一分类法。","2841","3c5adff1-6b20-5999-a366-0033a5945401","2022-04-23","子女的要求","https://www.zhihu.com/question/355524343/answer/2454079129","子女对父母提出的东西，在被定性之前，只能看做诉求。","True","epistemology-route"
"K10","定义、题面与概念边界","作者区分评价者的不满意与对象的不合理，只有能够证明存在可行、更优且成本收益成立的方案时，才取得“不合理”的论证资格。","评价词定义与举证责任","文章没有取消不满表达，而是限制把主观不满升级为对他人方案的客观定性。","2935","5a1f97fa-3170-5edc-9cd4-de6dddf22e9e","2021-12-04","合理","https://www.zhihu.com/question/31409652/answer/2255485486","你手头上其实就只有“不满意”，没有“不合理”。","True","epistemology-route"
"K11","定义、题面与概念边界","作者区分不认同行为定性与否认行为事实：前者承认发生了什么却不认为其错，后者则连具体行为也争辩。","事实承认与规范定性区分","文章还讨论恐惧和羞辱如何破坏认错，具体惩罚安排属于其关系修复模型。","342","25fbbd06-a8c6-57be-94bd-b3d016eb9655","2026-01-30","不承不认","https://afdian.com/p/10f4ab2af7cc11f0a29b52540025c377","认识不到错误，会对行为本身直言不讳；不愿承认错误，则会对行为本身争执不休。","True","epistemology-route"
"K12","定义、题面与概念边界","作者先按定义把思考与直觉分开，再明确承认当前不知道无语言思考是否可能，也难以设计足以证实肯定结论的研究。","定义分析、未知声明与猜想标注","文末随机念头模型被作者标明为猜想，不能改写成已经证实的大脑机制。","4037","0d19a72d-336b-5b5e-9393-681b96537a4b","2018-07-26","无语言的思考","https://www.zhihu.com/question/286929436/answer/452288883","我们不知道能不能，但我们知道我们很难做出可以证实肯定结论的研究。","True","epistemology-route"
"K13","观察、证据与验证","作者要求政策观察越过标题和篇首语，逐项阅读具体措施和落实机制，反对仅凭“出台政策”反推领域已经失败。","政策文本观察方法","该文只提供短篇阅读原则，没有完成所涉政策效果的经验评估。","1249","5d1f3c9c-7df6-520f-99ce-2e2aa575f34f","2024-09-30","政策观察","https://www.zhihu.com/question/668221258/answer/3851659315","重点在于这逐条列出的具体政策、办法，而不是那个标题、那个篇首语。","True","epistemology-route"
"K14","观察、证据与验证","作者认为父母凭发言、裁判和举证优势使用儿童无法验证的故事，会使儿童放弃表达；论证应尽量使用其经历过或可现场核验的事实。","可验证证据与话语权判断","文章允许超出儿童经验的内容暂缓说明，不要求所有知识只能来自个人亲历。","323","afdd08c8-c5c5-549b-932e-b90cb53ebd4e","2026-02-06","言不传身不教","https://afdian.com/p/d0665cd2fd5411f0a2fe52540025c377","孩子们很早就会发现父母有语言霸权。","True","epistemology-route"
"K15","观察、证据与验证","作者把判断一种手段是否值得写成样本观察、解释假说和预测性实验的连续过程，使社会规则回到可观察后果。","观察—假说—预测验证程序","文章以亲子顶嘴为案例，其样本库和实验要求是作者方法示范，不是完成的行为科学研究。","2002","f652b2ce-351e-5ae3-a4cc-223db1df3e94","2023-09-25","求鱼与救火","https://www.zhihu.com/question/656188096/answer/2003736056680432032","你（指子女）作为研究者，你应该建立一个统计样本库，","True","epistemology-route"
"K16","观察、证据与验证","作者同时保护挑战政治正确的学术权利和挑战者的严肃责任，要求提出者先对自己的怀疑作最强反向质问与证据审查。","反向审查与知识共同体提交程序","文章要求先向有资格的知识共同体提交，不表示所有公共议题都必须由同一机构裁定。","2915","e4d01c0f-9653-5dfb-9f2b-df6f79e6ad2d","2021-12-16","轻佻","https://www.zhihu.com/question/506361711/answer/2273592980","你要先给自己的怀疑最大的反向质问","True","epistemology-route"
"K17","观察、证据与验证","作者区分个人感受与历史趋势证据，要求用跨时期、跨文明材料、数据和高质量异议校正互联网回音壁产生的趋势错觉。","趋势判断与证据权重原则","文章关于性别矛盾实际烈度的判断仍是作者自身历史解释，不因方法主张自动获得外部验证。","1155","6d39db90-7106-5281-a777-89157c42dfeb","2024-10-29","维特观鲨","https://www.zhihu.com/question/665637933/answer/17978157893","你的个人感受，只能作为你研究的动力，不应该产生信度贡献。","True","epistemology-route"
"K18","观察、证据与验证","作者把诚实写成事实保险：说话者不保证全知正确，而要明确担保事项、验证方式和出错后的责任。","事实担保与责任模型","这一定义处理信息信用，不表示所有误陈述都可仅靠赔偿完成修复。","2959","09575f9e-4f36-5a4e-84b3-95ee737857e8","2021-11-07","诚实","https://www.zhihu.com/question/496997525/answer/2210450279","“诚实”在实践意义上是一种“事实保险业务”。","True","epistemology-route"
