证据编号,主题,文章标题,id,发布日期,URL,原文引文,本文用途,证据性质
E01,伦理治理,奠仪几何,9af3f757-ffb6-5c9e-b461-afdf9ccea949,2026-07-17,https://www.ifdian.net/p/85097b3e7bd011f1978652540025c377,"伦理其实是一件武器，学会巧妙的运用，你可以为人的行为设立强硬的轨道。",伦理兼具规范价值与行为约束功能,直接概念定义
E02,修行与主体,修行实践,a6cedaa3-5172-59a8-b995-ba479b01c8f2,2023-01-26,https://www.zhihu.com/question/382191130/answer/2861182866,"作为主体，逻辑通顺，规则稳固……作为客体，对世界的规则谦卑和尊重，安然顺应。",双重位置模型：微观治理与宏观顺应,直接概念定义
E03,认识论,高中书目,4cbed42c-3df1-5042-bc95-625b46e3256e,2020-06-27,https://www.zhihu.com/question/403634755/answer/1304983217,"不得不服从的客观世界及其规律，是所有意识形态能够相互理解、交流、定约的common ground……人类能达到的极限，不过是‘有质量的错误’。",客观约束与可错论,直接命题
E04,人类学,神性,fea6405e-4cb6-5632-b6d3-7ed8944d7459,2023-09-10,https://www.zhihu.com/question/20688186/answer/3204556512,"人的神性就是人身上有别于一切兽的那些属性……永生、无私、良善。",超越性人类学和最高价值,直接概念定义
E05,有限理性,自强,23d679c7-bf1c-5572-9320-d6854eeac3a0,2020-10-10,https://www.zhihu.com/question/267653585/answer/1515660778,"人是从谦卑开始变强的……清楚的认识到自己的绝对软弱，那不是怯懦，而是一种真正的刚勇。",弱者自觉与系统化自我治理,直接命题
E06,爱与债权,分得清,83b5aef7-2025-5e0e-89df-5e329b53fc3c,2022-06-12,https://www.zhihu.com/question/537197073/answer/2525354255,"你的细分规则，除非共同约定，否则是你单方面的决定，对方没有服从义务……爱是不求回报的付出。这是‘被确定放弃的债权’。",契约授权及爱与债的区分,直接概念定义
E07,边界与能力,割地求和,63fe77ab-cf7d-5b29-97db-0fab8e6ac2f1,2024-07-24,https://afdian.com/p/cec87782494811ef8ba852540025c377,"成为卓有成效的、名声显赫的净输出者，你敞开城门，一样固若金汤。",以价值输出和退出能力建立边界,机制论述
E08,人情与合作,欢迎扯平,4060af7a-873f-570a-a80a-4b9a771ce134,2024-09-05,https://www.zhihu.com/question/459438665/answer/3616080288,"坦然接受礼物，回到两清状态……发生道德虚无主义的隐患小得多。",反对隐形人情债并保护自愿合作,机制论述
E09,行动责任,谁的问题,c2fe7432-de90-5f30-aff8-3379c459c6ff,2020-03-11,https://www.zhihu.com/question/370062108/answer/1072301218,"‘我的这个遭遇是怎么造成的’这个问题，唯一的研究方向就是‘我可以做什么使得结果不同’。",把因果问题转译为主体可控行动,直接命题
E10,合作认识论,杠,6b65f6d0-f442-566c-bb18-707079a6002e,2021-05-05,https://www.zhihu.com/question/457805977/answer/1869187536,"合理质疑者把对方看作共同寻求真理的同事和朋友……使得对方失去追求知识的热情本身才是这种对话里的失败。",求真与关系维持的共同评价,机制论述
E11,自我纠错,提升格局,24f7df8d-520b-5b68-8e03-ebedd53e98f1,2021-01-02,https://www.zhihu.com/question/28213398/answer/1656801406,"否定自己，是指在逻辑上真正的找到自己的判断中的逻辑断裂和论据不充分。",证据导向的自我否定,直接概念定义
E12,程序与改良,不理想的判决,96d4ec6b-de8d-5360-b119-426b6d47b614,2024-07-22,https://www.zhihu.com/question/661943653/answer/3570170797,"有缺陷的法律也要比没有法律要好。",秩序内改良与司法权威,直接命题
E13,天与后果,无知的责任,550b55cc-125d-5989-b69b-1d76045f01e6,2021-09-08,https://www.zhihu.com/question/485263076/answer/2109427875,"无知在人是无罪的……无知在天是罪。",制度归责与客观后果的区分,直接概念定义
E14,退出机制,止损点,bafc59ba-af05-5857-97a5-f6d336e122e5,2022-08-20,https://www.zhihu.com/question/349743183/answer/2635507650,"从这个损成立开始，就应该止损——第一损就当止……爱和被爱自身不产生任何债权和赔偿义务。",可逆退出与爱不生债,直接命题
E15,先例与激励,比辛苦,a9001930-db0d-5adb-97e5-5018efde3e5d,2025-07-19,https://www.zhihu.com/question/1893441764196607626/answer/1930037357974880324,"人的任何行为都是在创造先例，创造先例就等于是在立法。",微观行为塑造未来激励规则,直接机制概括
E16,礼貌与风险,礼貌的意义,423bb80a-1424-508a-9b37-7715329708f2,2024-09-06,https://www.zhihu.com/question/24528668/answer/3617094335,"不礼貌，随时可能遭遇突然死亡……能延年益寿，这就是礼貌的意义。",礼貌作为风险控制,修辞性强命题
E17,关系终止,对待讨厌的人,ab248d79-188c-5a17-a07b-e246f7cd66d6,2021-08-18,https://www.zhihu.com/question/479963852/answer/2067135978,"反省自己的错误和偏见……礼貌的中断服务和往来。",宽恕与边界可以并存,行动清单
E18,教育与事实,事实教育,cc875464-efa8-5d7e-9f74-09f206845083,2022-10-22,https://www.zhihu.com/question/558327071/answer/2725170054,"这是帮助你获得决策所需要的必要信息。",用客观后果而非人为恐吓教育,机制论述
E19,阶层与尊严,云阶,1ebceeb1-26da-536f-bfcd-d43f91f25b8d,2026-06-22,https://www.zhihu.com/question/1913065377237280660/answer/2031121783361910485,"从山巅到山脚，都可以仰望星空……你没离开你的‘阶层’。是你的‘阶层’上升了。",尊严不以跨阶层为前提,价值论述
E20,善与礼法,风流,a3a51ad5-e854-5912-a7e2-52f177044815,2025-07-22,https://afdian.com/p/61caa76a60d311f0abc952540025c377,"无法无天，无尊无长，只要善良。",良善在特定情形高于礼法,诗性价值表达
E21,爱,最重要的能力,709c7581-b9fb-5c40-9d0d-bf5f0b3ec31b,2020-03-21,https://www.zhihu.com/question/19602183/answer/1095057238,"当然是爱和被爱的能力。",爱是最高能力,直接命题
E22,坚持,元天赋,9e331c63-31ac-5328-aa0c-524de39aef37,2022-06-10,https://www.zhihu.com/question/529222173/answer/2522013890,"天赋的核心是坚持。确切地说——是‘无限地找到下一个坚持的理由’的能力。",持续行动的元能力,直接概念定义
E23,帮助与调度,出钱出力,76a548f8-a0a6-5d18-9c23-864c383ffde6,2023-11-13,https://www.zhihu.com/question/379820675/answer/3287043271,"先给你钱，还有钱解决不了、必须我来出力的问题，你提出，我考虑。",善意需服从受助者调度和专业替代,行动原则
E24,组织秩序,工作冲突处置原则,0c08edbe-4f4e-515d-aa59-ad8839c7ee4e,2024-11-09,https://afdian.com/p/45af5e849ea711ef807452540025c377,"遵循程序规范、过程可回溯、无谓损害风险最小的原则。",权限程序和目标优先级,行动原则
E25,环境塑造,群体决策,0eeda817-2c77-5fa3-9fb5-00fc481cce44,2021-01-01,https://www.zhihu.com/question/436132873/answer/1655201862,"生存环境定义了这个群体面对的问题，也定义了这个群体的行为模式。",环境结构塑造群体决策,直接命题
E26,共同体与忠诚,法定叛国,7b58e331-f6d8-5def-bf9a-314f026dff8f,2023-06-21,https://www.zhihu.com/question/444782032/answer/3083099726,"世界上哪有伺候得了你的理想国？",反对以完美为忠诚前提,修辞性命题
E27,长期利他,自弃,77880b8f-5e2b-5a20-979b-420df1f148ba,2021-01-25,https://www.zhihu.com/question/441018760/answer/1695943415,"这个‘帮助更多的人’……是按照‘一生助人总量的期望值’计算的。",受托型长期主义及其自述悖论,直接概念定义
E28,混合动机,十足真金,01245eac-78ed-504e-9a87-8f594815562e,2022-08-14,https://www.zhihu.com/question/546106233/answer/2626470804,"只要你的行为动机中存在一点成分是自觉的、主动的无私的博爱……你这行为都算存在真正的爱。",承认爱可以存在于混合动机,直接概念定义
E29,财富伦理,财富观,2133f3d8-4ccb-5c0f-9c09-1539ab21c794,2020-05-01,https://www.zhihu.com/question/314627020/answer/1193533378,"财富在本质上不是私有的，人对财富所拥有的是被赐予的管理权而不是所有权。",财富受托观,直接概念定义
E30,长期关系,恋爱原理,3391e97d-14c5-567c-964a-72368422ba53,2021-05-26,https://www.zhihu.com/question/461267669/answer/1906986171,"如果你真的打算建立现实可持续的长期关系，不要去选择‘经济安全最大化’的裁判员报名参赛。",短期信号与长期合作的冲突,机制论述
E31,批评伦理,批评,11ad7ad3-87eb-5681-93e2-de3e21cbd8a2,2020-08-26,https://www.zhihu.com/question/22987136/answer/1434894604,"批评只能给逻辑、给疑问、给论证，不可以讽刺，不可以定罪，更不可以用作构陷的工具。",批评的关系与程序边界,直接规范
E32,服从与自由,服从,8859afe4-31fa-5b72-a79a-675c16950c82,2021-06-05,https://www.zhihu.com/question/463206973/answer/1924612230,"服从是一种决定……是当事人自己的爱与理智比自己的贪欲更强大的结果。",服从被定义为自我统治而非屈从,直接概念定义
E33,长期与公共利益,理解和对错,e1bb81cd-9b24-5c3d-8e8a-d40b6bfa9d7b,2022-09-29,https://www.zhihu.com/question/551968270/answer/2695078243,"符合你自己的短期利益，不见得符合你自己的长期利益……不符合公众利益，你就会把公众推到敌对面上。",个人短期利益受长期和公共后果约束,直接命题
E34,礼与社会资本,有言在先,79a0e5c3-d268-5292-ac4d-30338beb983a,2024-04-26,https://www.zhihu.com/question/654049611/answer/3478845780,"宽容你的表现就成了聆听者的社会义务……导致苛刻者飞速的丧失社会资本。",礼数改变评价结构和声誉成本,机制论述
