"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceLayer"
"G01","性别概念、角色与权力","作者区分公共领域的对等平权与私权领域的自由主张，认为女权是女性平等使用普遍权利，而非女性独享的特殊权利。","公域平权与私域竞争的概念区分","这是作者对平权和私权的定义，不是现行权利制度或法律边界说明。","4021","94815489-f471-5075-ac07-f496082d34db","2018-10-13","平权","https://www.zhihu.com/question/298105587/answer/509627202","平权在私权领域，则根本不以追求“对等”为特征，而是以“各凭条件做最大的主张”为基本样式。","True","screened"
"G02","性别概念、角色与权力","作者把女权崛起连接到现代国家动员全部人口的竞争需要，并把平权界定为制度不在群体博弈中预先偏向任何一方。","女权历史成因与制度平权","文章对女权与女权主义作出作者自己的概念划分，相关国家竞争史只按文本内解释记录。","3248","1b8ad80d-e7bc-5ffe-88db-0060275b8121","2021-06-19","女权与女权主义","https://www.zhihu.com/question/28538369/answer/1948015252","平权的本质，是指制度将不再在群体博弈之间偏向于任何一方，仅此而已。","True","screened"
"G03","性别概念、角色与权力","作者断言女权在历史趋势上必胜，理由涉及女性在生育、生产、总体动员和国家稳定中的位置及其独立生存能力。","女权历史趋势与国家动员","这是作者的历史与政治预测，不由本研究确认其外部必然性。","1392","8dcebf44-702d-5190-8271-2c14811b3a2f","2024-08-14","女权的历史趋势","https://afdian.com/p/1236882c59e511ef9e7b52540025c377","历史的看，女权是必胜的，“反女权”的路根本行不通。","True","screened"
"G04","性别概念、角色与权力","作者把大男子主义的核心解释为成为弱者所崇拜的典狱长，并认为现代社会已失去传统夫权赖以运行的现实监禁结构。","传统夫权与现代关系位置","文章批评特定大男子主义结构，不等于否定男性自信、承担或全部传统性别表达。","3142","9a9cc8fa-1fed-5d17-9443-f15488b73654","2021-08-15","大男子主义","https://www.zhihu.com/question/20301650/answer/2060877001","大男子主义是一种自我神化和崇拜渴望。","True","screened"
"G05","性别概念、角色与权力","作者认为女性面对暴力、骚扰、家庭惩罚、职场歧视和举证成本时处于与男性不同的风险世界，并要求理解这种不安全感。","性别化风险经验与独立能力","这是作者对女性风险处境的概括，不是风险发生率的外部统计。","3081","c1f46289-2ba4-5195-96d4-189ee1c542c8","2021-09-10","女性恐惧","https://www.zhihu.com/question/46930544/answer/2112606469","男性是真的很难理解女性的不安全感。","True","screened"
"G06","性别概念、角色与权力","作者认为女权运动不能只靠拒绝和否定积累力量，还需要说明肯定性目标并形成共同纲领和内部规范。","女权运动的肯定性目标","文章以未完待续结束，没有给出其所说新规范的完整内容。","3509","61d69484-1bfa-5a22-ab5b-1730a239a214","2021-01-25","女权挑战","https://www.zhihu.com/question/30566381/answer/1696851021","你不能单纯的通过“破”来替代“立”。","True","screened"
"G07","身体、外貌与身体自主","作者把用身体换未来重新定义为所有劳动和生命投入，反对把女性身体窄化为性器官或性交易资源。","身体劳动与性别污名","文章使用宽义身体概念，不表示作者支持任何具体身体交易。","3451","0c2ac588-068e-5031-9108-d72783cbb739","2021-03-10","拿身体换","https://www.zhihu.com/question/437022832/answer/1771941368","有什么未来不是用身体换的？","True","screened"
"G08","身体、外貌与身体自主","作者反对把人拆成可消费器官的组合，认为局部凝视会使被观察者感到自己被切割和物化。","整体身体与局部凝视","文章处理凝视和物化感受，不是对所有视线行为的法律定性。","1499","935702aa-d286-50ce-bb0a-0f1be4687b88","2024-07-02","器官的组合","https://www.zhihu.com/question/657854715/answer/3549355829","人不是器官的组合，不是一种嵌入了可食用部分的经济作物。","True","screened"
"G09","身体、外貌与身体自主","作者把外貌和时尚理解为经过编码的身份表达，要求先回答自我定位、表达边界和受众识别，再处理视觉搭配。","外貌编码、身份与关系筛选","这是作者的时尚与人格表达模型，不是普遍审美标准。","3843","2a9e96de-e384-52ab-ac6a-af729d35f78c","2020-02-24","时尚品味","https://www.zhihu.com/question/27508362/answer/1035463614","记住，你的外貌应该是一道编过码的半透膜——识得的人，就是值得的人；不值得的人，就识不得。","True","screened"
"G10","身体、外貌与身体自主","作者认为女性认可的颜值更多依赖审美逻辑、技艺和道德感受，而不是无需解释的直觉吸引。","性别化审美方法与外貌技艺","文章对男女审美作出概括性区分，本文不把它外推为所有人的固定性别本质。","1188","9f0095ba-c171-54a9-a304-e703d35460f9","2024-10-19","戴珍珠耳环的少女","https://www.zhihu.com/question/581692774/answer/9085271212","那是功夫，是能力，是智慧和艺术，不是简单的“好看”。","True","screened"
