"propositionId","proposition","textualFunction","evidenceType","premises","reasoningMove","conclusionOrAction","conditionsExceptions","rebuttalTarget","domains","supportingIds","counterpointIds","representativeQuote","representativeId","representativeTitle","representativeDate","representativeUrl","chronology","primaryArgumentType","secondaryArgumentTypes"
"P01","伦理可以把责任、礼数和声誉后果组织成行为轨道。","机制命题","明示定义+行动示范","当事人先履行自身责任；对方受亲属礼数与声誉约束。","把直接索取改写为先付款、再索账；通过选项设计使合宜行为成为最佳选择。","先承担葬礼费用，再以还礼责任取得明细，使余款自然显现。","轨道成立依赖提问者先履责、理由堂正且愿意接受可能亏本。","只问有没有余钱、把伦理理解成空洞礼貌。","伦理；礼仪；亲属；社会资本","9af3f757-ffb6-5c9e-b461-afdf9ccea949;4323b869-06ea-5335-a116-9418e052e7a4","","伦理其实是一件武器，学会巧妙的运用，你可以为人的行为设立强硬的轨道，随时可以限制住事态向你不希望的方向发展。","9af3f757-ffb6-5c9e-b461-afdf9ccea949","奠仪几何","2026-07-17","https://www.ifdian.net/p/85097b3e7bd011f1978652540025c377","2026：从具体葬礼处置上升为伦理的轨道功能。","顺序反转","行动接口"
"P02","关切先改变观察方式，赞赏是爱发生后的结果，不是爱的录取条件。","发生命题","对比论证+明示命题","招聘式筛选先看价值；亲子关切会放大微小回应的意义。","对比“先证明值得”与“先关切再发现闪光”。","不等待对方完美才允许关切；在已有关切中识别进步。","说明爱如何发生，不单独判定行动是否给对方带来净收益。","把挑选优点误作爱的生成机制。","爱；亲子；赞赏；关系认知","8bc2c71a-1303-5254-a513-fdb710fb8876;bc0b8aa6-c51e-5c02-8b44-64f7c256154f","bc0b8aa6-c51e-5c02-8b44-64f7c256154f","是爱生赞赏，而不是赞赏生爱。","8bc2c71a-1303-5254-a513-fdb710fb8876","小小红花","2026-07-15","https://www.ifdian.net/p/8a2ac9c67a4311f1887f5254001e7c00","2023的净输出判定与2026的关切发生论形成两层。","顺序反转","概念拆分"
"P03","爱的行动判准是不求回报地给对方形成净输出。","判定命题","明示定义+账本计算","付出可能同时含收费、损失、赔偿与心理索债；动机不能代替结果。","分开经济账和心理账，以可替代方案与净增益判断。","允许交换和合理利润，但不得把感谢、记住或回报变成对方债务。","净输出可很小；做得不出色不等于完全不是爱；造成损失仍须赔偿。","免费即爱、付出即爱、对方感激才算爱。","爱；交换；成本；净输出","bc0b8aa6-c51e-5c02-8b44-64f7c256154f;9a72db20-919b-5a27-839d-2a80125dc09b","f6fe9e2d-ca06-5a84-82b6-b7fe1d331120","爱的定义非常单纯——“不求回报的净输出”","bc0b8aa6-c51e-5c02-8b44-64f7c256154f","录取线","2023-05-20","https://www.zhihu.com/question/599385566/answer/3036675225","2019后零散出现净输出；2023获得公式化定义；2025扩展到不掠夺。","明示定义","账本与净值"
"P04","亲密关系的竞争若存在，其方向应是以不掠夺和净赠与奖励彼此克制。","边界命题","公式化类比+反转","独立者未必需要更多财物，但需要确认亲密者不会夺取其自由和资源。","把“争夺更多”反转为“争着不争”，用净收益检查关系。","保持自给与不掠夺，让爱增加对方自由而非制造净亏损。","不掠夺不等于不投入；双方仍可交换并相互净赠与。","把爱理解为占有赛道、用牺牲换控制。","爱；不掠夺；自由；亲密关系","9a72db20-919b-5a27-839d-2a80125dc09b;61ba1ab9-4f3d-54b2-8b54-a8ab10fb71aa","87a46d99-4c5e-509d-8c58-adf6dc2ed5fc","爱如果是竞争，那么它争的就是不争。","9a72db20-919b-5a27-839d-2a80125dc09b","赛道","2025-12-10","https://www.zhihu.com/question/1980626690943242269/answer/1982078262525048744","2021后“不掠夺”零散出现，2025在《赛道》中集中公式化。","顺序反转","账本与净值"
"P05","爱的生产性核心是劳动及人与客观世界的有效关系。","目的命题","明示定义+因果归约","人际内耗消耗生产能力；匮乏会加剧对有限净收益的争夺。","把人际改善设为准备条件，再把新增财富追溯到劳动与自然。","解除关系摩擦后进入学习、生产和创造，增加可分配净收益。","该命题说明爱的目的重心；关系中的自由、净输出和不掠夺仍构成前置条件。","把爱停留在互相安慰而不进入生产。","爱；劳动；自然；生产；分配","f6fe9e2d-ca06-5a84-82b6-b7fe1d331120;2594339e-ab47-562d-bee7-c56fbb2ca325","bc0b8aa6-c51e-5c02-8b44-64f7c256154f;61ba1ab9-4f3d-54b2-8b54-a8ab10fb71aa","爱的核心关系，是你和自然界的关系。","f6fe9e2d-ca06-5a84-82b6-b7fe1d331120","爱的核心","2024-12-16","https://zhuanlan.zhihu.com/p/12881832004","2023关系核算；2024生产核心；2025劳动享受与合作剩余继续展开。","单项扩展为系统","行动接口"
"P06","爱首先承认对方的自由，反对不应抬高对方原有自由的成本。","权利命题","关系拆分+边界推论","赞成、资助、反对、阻止是不同动作；成年主体能以自己的资源行动。","将“爱就必须支持”拆成支持权与自主权。","父母可表达反对；成年子女在合法且自担后果时保留决定。","自由不等于父母必须出资，也不取消行动者承担生活后果。","把不支持等同于可以控制，或把爱等同于无条件赞成。","爱；自由；亲子；自主","8db8f172-3520-5077-a078-2c9578ebaf39;61ba1ab9-4f3d-54b2-8b54-a8ab10fb71aa","61843e2f-9230-5dc2-adf6-bb7b3416d5f6","爱的第一要义是要接受人的自由。","8db8f172-3520-5077-a078-2c9578ebaf39","一寸欢喜","2026-07-13","https://www.zhihu.com/question/2039110884006604997/answer/2041179100837058049","2024-2026：由关系自由扩展到亲子“不支持但不控制”。","概念拆分","角色与授权重定义"
"P07","照顾只有在承认对方原有能力且不居功索债时接近尊重。","关系判准","动机拆分+长期检验","保护、提示可源自自身担心；一次照顾不能证明尊重。","把照顾者的成本从对方债务中剥离，并观察冲突时是否翻账。","帮助时承认可能多余，为打扰致歉，不以苦劳索取优待。","可提醒和辅助；边界不是完全不介入，而是不把介入转成支配。","以保护之名否认能力、用照料换青睐。","尊重；照顾；性别；不居功","03c701aa-9760-5272-9215-6de6a61ce6f9;61ba1ab9-4f3d-54b2-8b54-a8ab10fb71aa","b5e5a89e-ed07-5580-9414-b882995c136b","真诚的人不会拿这个居功，不会拿这个说“没有功劳也有苦劳”","03c701aa-9760-5272-9215-6de6a61ce6f9","尊者","2026-07-14","https://www.ifdian.net/p/c367153e797411f1812d52540025c377","2025-2026：从情绪边界推进到照顾是否索债的长期检验。","账本与净值","反事实检验"
"P08","无回报的单向情感也必须避免增加对方困扰，并可转化为公共遗产。","转化命题","边界限定+替代路径","个人激情可以真实存在，但对方不因此承担回应义务。","切断“感情强烈→有权接近”的推论，把能量导向创作和公共产出。","避开对方视线，不持续追问；若坚持情感，则转成作品或公共贡献。","允许主体保留情感；限制的是追踪、索取、逼迫和制造损失。","以真爱为由持续进入对方生活。","单恋；自由；边界；公共遗产","61ba1ab9-4f3d-54b2-8b54-a8ab10fb71aa;9a72db20-919b-5a27-839d-2a80125dc09b","","爱是增进对方的自由。","61ba1ab9-4f3d-54b2-8b54-a8ab10fb71aa","无关之爱","2026-02-10","https://afdian.com/p/296b7008060411f1a30b52540025c377","2026：净输出与自由原则被用于无回报情感。","概念拆分","行动接口;角色与授权重定义"
"P09","关系可持续依赖双方容纳不完美反应，而非一方持续透支情绪照顾。","可持续性命题","反事实后果+能力边界","人无法长期对所有分享保持热情；勉强周全会积累疲惫与愧怒。","从短期礼貌推演长期透支及突然翻脸。","按自身余力回应；承认不匹配并道歉，不用虚假热烈维系。","最低回应取决于关系和内容；不等于可以无视明确托付。","为了不失去朋友而时时处处照顾情绪。","友情；宽容；情绪劳动；长期关系","ed1a358b-b31d-5945-b776-b8573ecaa0c4;5e309b60-93d9-5661-bf0e-dc1ff03f3478","5e309b60-93d9-5661-bf0e-dc1ff03f3478","从容轻松，才可长久。","ed1a358b-b31d-5945-b776-b8573ecaa0c4","松则久","2026-07-14","https://www.zhihu.com/question/308348833/answer/2042325192739927037","2025强调托付过程，2026补入照顾能力的上限。","反事实检验","阈值与红线"
"P10","表达情绪是消化后的说明，发泄则把他人拖入尚未结束的痛苦。","区分命题","定义+火场类比","痛苦真实不自动授权攻击；说明的目的应是理解与避免重演。","以表达发生的时间、控制程度和对听者后果划界。","先控制情绪，再平静说明伤痕、影响和希望如何避免下一次。","责任追究不必然等于发泄；文章主要处理关系中的表达方式。","把失控倾倒称作诚实表达。","情绪；沟通；责任；关系修复","d1e94702-6eb1-59d0-9e72-cd48c45a05fe;b5e5a89e-ed07-5580-9414-b882995c136b","96003b50-e514-5b9e-a1c7-56277ba2ba1b","表达情绪是平静的、克制的。","d1e94702-6eb1-59d0-9e72-cd48c45a05fe","表达情绪","2025-10-19","https://afdian.com/p/02265bf2a6c311f08dfe52540025c377","2023隐藏痛苦问题；2025形成表达/发泄的明示区分。","明示定义","阈值与红线;类比迁移"
"P11","爱可以承受连累，但不把侮辱、攻击和归责纳入爱的义务。","红线命题","场景递进+概念划界","困难会给伴侣带来不便；负面情绪与侵害是不同事项。","从不开灯的照顾场景推进到怒吼场景，识别越界点。","可分担困难；越界者须道歉，拒绝承认道歉必要时关系可终止。","偶发连累不等于欠债；文章红线针对惩罚、侮辱与攻击。","以情绪失控为侵害免责。","爱；边界；情绪；退出","b5e5a89e-ed07-5580-9414-b882995c136b;d1e94702-6eb1-59d0-9e72-cd48c45a05fe","ed1a358b-b31d-5945-b776-b8573ecaa0c4","爱接受连累，不接受迫害。","b5e5a89e-ed07-5580-9414-b882995c136b","情绪的边界","2025-02-24","https://afdian.com/p/7feec654f2ab11efb20052540025c377","2025：情绪责任与关系退出被压缩为明确红线。","阈值与红线","反事实检验"
