"evidenceId","section","claim","evidenceNature","boundary","ordinal","id","date","title","url","quote","quoteExact","sourceLayer"
"E01","学习本体、知识边界与错误","作者把客观世界及其规律视为不同立场交流和订约的共同底盘，同时把人类知识限定为可继续修正的“有质量的错误”。","知识边界与共同事实命题","科学经典在文中是高质量世界描述而非终极真理，本文不替作者作外部科学史判断。","3752","4cbed42c-3df1-5042-bc95-625b46e3256e","2020-06-27","高中书目","https://www.zhihu.com/question/403634755/answer/1304983217","人类能达到的极限，不过是“有质量的错误”。","True","screened"
"E02","学习本体、知识边界与错误","作者把终极真理定义为能够穷尽过去未来且永不修正的全知模型，并认为人只能依据有限知识作胜率不同的下注。","定义分析与认识限度推演","文章批评的是把下注加冕为绝对真理，不是否定不同知识判断之间存在质量差异。","3785","c34ca81a-ada6-5462-b656-e70a8805cf0b","2020-05-21","终极真理","https://www.zhihu.com/question/384694502/answer/1236260309","是赌注而已。","True","screened"
"E03","学习本体、知识边界与错误","作者把承认记忆、意志、公正和预见能力的不足写成变强起点，并要求以记录、方法和系统降难度补足主体限制。","主体认识与能力建设原则","文章讨论一般主体治理，并非专门学校制度文本；它在本专题中承担学习者模型。","3611","23d679c7-bf1c-5572-9320-d6854eeac3a0","2020-10-10","自强","https://www.zhihu.com/question/267653585/answer/1515660778","人是从谦卑开始变强的。","True","direct-review-supplement"
"E04","学习本体、知识边界与错误","作者要求复盘把个案稳定为问题样本，再把经验写入章程、流程、培训和职责，使错误成为可继承的组织知识。","组织学习与经验固化程序","该文主要讨论组织复盘，不能直接等同于个人反思或课堂复习。","3369","05a4a9b4-4c5b-5dd4-bcc5-986e293d4955","2021-05-01","复盘","https://www.zhihu.com/question/406224720/answer/1863916109","所谓的解决方案，指且仅指组织规则的更新。","True","screened"
"E05","学习本体、知识边界与错误","作者把值得鼓励的错误限定在优于不作为且已尽能力提高质量的区间，并要求同时陈述行动与不行动风险。","错误安全区与责任判断","文章没有为任意试错免责，反而把他人成本、态度和能力上限列为责任条件。","1557","16126b72-a5b9-5349-b824-e1bb45a63ac8","2024-06-03","好错","https://www.zhihu.com/question/648283158/answer/3518255244","人们鼓励你去犯的是好过不作为且凭你的能力能犯的最高质量的错误。","True","screened"
"E06","学习本体、知识边界与错误","作者把学习扩展到全部生活过程，认为语言、习惯、家庭闲谈、批评经验和社会化准备都会进入学校学习。","学习本体与环境判断","文章同时讨论生理性障碍和社会化，其具体类比只记录为作者论证，不作外部医学或教育裁决。","648","5a351e52-4607-5c35-add1-6420fe541078","2025-07-30","学习的料","https://afdian.com/p/3a9c5c52673a11f09dc85254001e7c00","对孩子来说，从睁眼到闭眼，甚至连在睡梦中都是在学习。","True","screened"
"E07","能力、训练与实践形成","作者把学习成效首先放在了解、记住、掌握和熟练，而不是名次和升学，并要求父母帮助孩子获得知识与再加工知识的乐趣。","学习成效与动机判断","文章反对用贫困恐惧刺激学习，但没有否定所有考试反馈或升学信息。","243","c3db643c-12ad-5b7b-ad3d-a6d940ab1aaf","2026-03-25","拿蛇的人","https://www.zhihu.com/question/1969512772179042703/answer/2014779536173200774","关心学习，只有一个真实的目标，就是增强孩子对学习的热爱。","True","screened"
"E08","能力、训练与实践形成","作者认为多数专业能力不存在不可逾越的天堑，合适教师、资源、心理引导和持续改进能够把天赋兑现为服务能力。","天赋与能力形成判断","文章后半转入“补强”关系策略，不能把整篇压缩成无条件的天赋平等论。","3043","e457fe82-86ed-5900-be4a-4c86f0d18279","2021-09-21","天赋","https://www.zhihu.com/question/35318941/answer/2132354653","老实说，人类是一种普遍有天赋的种族。","True","screened"
"E09","能力、训练与实践形成","作者主张以减少部分理论负担为条件增加劳动技能教育，把生产经验视为安全感、现实价值感和心理发育的重要来源。","劳动教育与能力形成主张","文中没有要求在原课程总量上继续叠加劳动教育，明确以总负担基本不变为条件。","2816","8f4fbf3b-2b47-50af-bc66-1acd58a9b947","2022-05-06","劳动技能","https://www.zhihu.com/question/531443999/answer/2472301817","基本的劳动技能对个人的成长——尤其是心理发育——有至关重要且不可替代的意义。","True","screened"
"E10","能力、训练与实践形成","作者主张先进行与自身段位相配的足量实战，再以失误、侥幸和后怕指引回看理论，形成由实践定位知识缺口的学习顺序。","训练顺序与反馈机制","文章要求实战适配段位、数量充分且有战略，不是以做题完全替代阅读和求教。","596","646df58c-b155-5563-8646-c7d5dae28529","2025-08-31","战而后胜","https://www.zhihu.com/question/39261295/answer/1945530289108526198","你需要一套覆盖面完整的题，然后在题的引导下去看书。","True","screened"
"E11","能力、训练与实践形成","作者把艺术练习写成在安全范围内犯错、检查执念和寻找稳定方法的过程，并以压力下可重复性而非偶然最佳结果判断功夫。","练习、复用与疗愈机制","文章以画线和艺术为模型讨论疗愈，不构成临床治疗方案。","3299","f62a367a-978f-5c01-8471-170daaa2eea8","2021-05-25","疗愈艺术","https://www.zhihu.com/question/458078011/answer/1904038706","停止发泄。","True","screened"
"E12","能力、训练与实践形成","作者区分被动忍受苦难与在示范、分段指导和直观成果中学习对抗困难，要求教育提高能力上限而不是只制造痛苦。","示范教学与困难训练方案","作者只允许安排成果直观且有市场价值的繁重劳动，不把纯折磨写成教育。","941","c51db42c-0852-5eb1-89a8-dcc401d84133","2025-02-18","入东宫","https://afdian.com/p/4db721d4edb711ef99525254001e7c00","前者是忍受苦难的教育，而后者是对抗苦难的教育。","True","screened"
"E13","家庭教育与社会化","作者区分主动服从和暴力屈从，认为父母只有尊重判断、退出和不屈从，才可能取得让子女自愿协作的命令资格。","家庭权柄与自主判断","文章承认父母需要培养协作能力，但不把怒吼和强制产生的顺从视为真正服从。","3277","8859afe4-31fa-5b72-a79a-675c16950c82","2021-06-05","服从","https://www.zhihu.com/question/463206973/answer/1924612230","服从是一种决定。","True","screened"
"E14","家庭教育与社会化","作者提出以长期、分龄、可兑现的奖励现金流积累胜利经验、资产安全感和亲子信任，并用奖励建设后天社会能力。","家庭激励制度方案","具体比例、年龄和借贷安排是作者的家庭方案，不是普遍财务规则或儿童发展定律。","1084","f487299b-2c7e-5999-bc7b-cff6dcb80074","2024-12-17","自下而上","https://afdian.com/p/6bcccf56bc4411efb99852540025c377","这个机制就是“给钱”。","True","screened"
"E15","家庭教育与社会化","作者把教育第一原则写成父母为世界代言，允许子女在安全范围内核实、犯错和超越父母，而不是把事故解释为不听话的惩罚。","父母角色与世界关系主张","文章仍允许父母在危险条件下暂时看守，所反对的是把保护权变成永久服从。","157","61843e2f-9230-5dc2-adf6-bb7b3416d5f6","2026-05-10","不听老人言","https://www.zhihu.com/question/1889581579178849918/answer/2033525184934715882","你要吸取的教训不是“以后要听父母的”","True","screened"
"E16","家庭教育与社会化","作者认为学校不适应常与同伴恐惧、教师关系和社交破裂有关，因此把善良、友谊、家校合作和社会性置于成绩之前。","学校适应与关系基础判断","“第一专业”针对儿童学校生活的关系基础，不自动排除知识和技能学习的其他优先级。","385","fc9bfc64-1e42-5634-a0e3-d45beedec107","2026-01-05","专业第一","https://www.zhihu.com/question/646556722/answer/1991546774050083866","永远别忘了，社会性才是人类的第一专业，","True","screened"
"E17","家庭教育与社会化","作者把独立思考的条件放在安全感和多元关系网络，认为儿童在不怕孤独、能接触不同群体时才会自然比较不同叙事。","社会关系与独立判断机制","文章没有把逻辑训练写成无用，而是反对父母借逻辑训练强迫子女接受既定立场。","139","a5abe3ed-770e-571b-a698-ad9edad89603","2026-05-28","友立思考","https://www.zhihu.com/question/660298860/answer/2025238718122837960","独立思考不用教，要教友立思考。","True","screened"
"E18","家庭教育与社会化","作者把家庭晚餐设计为愉快、持续、前置的社会案例讨论，主张教育优先于事后惩罚，并在安全距离外练习价值判断。","家庭日常教育程序","文章反对借吃饭训斥儿童，但没有主张所有教育都只能在晚餐或新闻讨论中发生。","248","25746513-cdd3-5a84-9f85-70b71fb1410b","2026-03-22","晚餐会","https://www.zhihu.com/question/662298837/answer/2015738767038775453","是教育失败了，才轮到惩罚这种紧急避险的最后手段作为不得已的尾部补救。","True","screened"
"E19","教师、批评与教育权柄","作者把批评限定为经过授权、从对方目标和已承认事实出发的逻辑服务，并要求控制讽刺、定罪、利益冲突和附带伤害。","批评授权与程序规范","该文适用于一般批评关系，在教师专题中只作为通用上位条件。","3680","11ad7ad3-87eb-5681-93e2-de3e21cbd8a2","2020-08-26","批评","https://www.zhihu.com/question/22987136/answer/1434894604","批评权这东西，其实比黄金还贵。","True","screened"
"E20","教师、批评与教育权柄","作者要求批评在指出错误后提供能力范围内的新方法和目标，使屈辱、沮丧转化为控制感、兴趣和继续行动。","批评完成标准与替代方案","文章允许短期或长期情绪回弹两种路径，但不允许以制造低潮本身冒充批评。","964","daa2da9d-9204-588a-88a3-a5d9006bf4d4","2025-02-09","论批评 2","https://afdian.com/p/fd6093eae6d211efac665254001e7c00","批评不是以“制造恰当的屈辱和沮丧”为目的的行为","True","screened"
"E21","教师、批评与教育权柄","作者把师生关系限定在专业资质、岗位授权、保密边界和拒绝权内，反对教师与学生共同制造父母式或治疗式私人期待。","师生角色边界与行动建议","文章处理一个具体关系冲突，不是对全部师生亲近关系的禁止。","1885","f651d0b4-e3a5-5b4f-8e86-1bc9b5e98a82","2023-12-15","师生一场","https://www.zhihu.com/question/634135058/answer/3326101761","停止主动联系","True","screened"
"E22","教师、批评与教育权柄","作者认为教师职权来自政府、家长和学校基于忠于职守的授权，个人政治理想不得借岗位绕过监护人与公共程序灌输未成年人。","教师岗位授权与政治表达边界","文章允许通过说服成年人、取得监护人自愿或影响公共政策推广理念。","2238","50933e1e-592b-5705-b78a-2674f44f7531","2023-05-19","监守自盗II","https://www.zhihu.com/question/600325056/answer/3034377298","你个人的政治理想是你个人的事","True","screened"
"E23","教师、批评与教育权柄","作者要求教师承认所教并非终极真理而是有质量的错误，也要求学生以补强理解而非神化或恶意曲解表达尊敬。","教师知识边界与尊敬关系","文章的尊师来自共同承担认识限度，不是无条件崇拜或免除教师责任。","3906","95a97047-46ae-561c-b462-1c903c2c3ebd","2019-08-01","尊师","https://www.zhihu.com/question/333195546/answer/770295864","我教的都是错的","True","screened"
"E24","教师、批评与教育权柄","作者把教师重构为知识的表演艺术家，要求把前因后果、画面、情感和参与感转成学生愿意追随的知识体验。","教师角色与课堂影响力模型","文章承认知识明星可能带来偶像崇拜问题，没有把娱乐性等同于教学全部标准。","338","06321acb-1e12-52ac-b56a-3e2998196c76","2026-02-01","戏彩娱亲","https://www.zhihu.com/question/6103152781/answer/2000302868058641843","好的老师实际上是一名“表演艺术家”","True","screened"
"E25","学校、课堂与作业制度","作者把作业的首要功能设为诚实暴露学习过程和不足，以工整、留痕和另行订正帮助教师低成本定位问题。","作业功能与反馈设计","“以美为先”是作者处理儿童作业焦虑的具体排序，不等于否认知识正确性。","1718","3efc94c7-8626-5648-8ef5-285fb7357c3a","2024-03-08","好作业","https://www.zhihu.com/question/614578507/answer/3422645582","作业真正的作用是“帮助老师发现自己的学业不足，以便进一步指导”","True","screened"
"E26","学校、课堂与作业制度","作者肯定学生讲课能够训练理解、表达和答疑，并以教师点评补充纠正，但把成效限定于生源、学风、班级传统、教师水平和学科。","课堂角色转换与条件判断","文章明确不主张把这一形式不分条件地推广到全部理科课程。","1293","323ec86f-782c-528b-b222-6c23f0e90381","2024-09-19","老师的同学","https://www.zhihu.com/question/619415942/answer/3629999203","这实际上是一个非常好的形式","True","screened"
"E27","学校、课堂与作业制度","作者要求课堂游戏采用无资质门槛、采集而非竞争、选择而非奖惩、自动记录且可回溯的规则，以防信用破产和同伴霸凌。","课堂制度设计与教师信用","强权柄在文中与立法、执法、裁判和侦查责任同时出现，不是赋予教师任意裁量。","321","2b9e02b6-54f9-5d22-a934-7bfa6e22f32b","2026-02-07","小工程","https://www.zhihu.com/question/1979908360666112188/answer/2003383156632462996","为人师者，与为王无异。","True","screened"
"E28","学校、课堂与作业制度","作者认为既有学校体系只要未明显失灵就不宜轻率另起炉灶，因为独立系统会挤占额外资源；若改变，则要计算并承担成败。","学校体系选择与资源判断","文章没有宣称既有系统总是先进，只把替代方案的成本、成功条件和权利后果纳入决定。","2163","f34a6dfe-fc61-5320-bdb2-6d8f6380e7c7","2023-06-21","胜利","https://www.zhihu.com/question/607680310/answer/3082976217","要胜利。","True","screened"
"E29","学校、课堂与作业制度","作者在AI工具尚不稳定的阶段主张AI先助教而不助学、助考，避免学生直接索取答案造成假掌握。","AI工具与基础教育阶段判断","作者明确把结论限定为当前阶段，并承认未来学校制度可能形成不同流派。","332","daadf9cc-e509-57dd-9a7c-7928fef1be3f","2026-02-03","ai教学","https://www.zhihu.com/question/1997937872972505781/answer/2001915449252807021","假掌握”，导致学习虚无化。","True","screened"
"E30","学校、课堂与作业制度","作者区分能力平庸与作业拖拉所显示的责任问题，同时把努力和负责本身写成青少年仍在学习的一门长期课程。","作业态度与发展过程判断","文章既要求责任，也反对教育者把尚未学会责任过早解释为不可挽回的失败。","135","b942aade-6189-5f46-860f-7f04ebbc8521","2026-05-30","拖","https://www.ifdian.net/p/be71f314561511f197d15254001e7c00","因为学会努力和负责本身就是青少年发育中最重要的内容，本身就是一门课。","True","screened"
"E31","考试、竞争与选拔","作者区分语言水平和语文考试成绩，认为标准课程偏向语言工具的速成训练，而大量阅读、创作和批评通向更广的语言能力。","能力与分数区分","文章没有否定语文课程的工具价值，只否定考试分数能够穷尽语言能力。","750","4cf9b472-7b0c-5a33-8f1d-387e2ad90043","2025-06-02","李不白","https://afdian.com/p/95c2ff6838ce11f0ad2752540025c377","大量的阅读一定能提高人的语文水平。","True","screened"
"E32","考试、竞争与选拔","作者把标准化考试限定为获得培养资格的信号，不把它等同于实际职业能力，并要求AI使用者继续为最终作品负责。","考试资格与实际能力边界","文章没有否定基本功和规范训练，反而反对依赖AI跳过修炼。","2345","4ea41e58-3b68-5ce7-b58b-ace2f5319f37","2023-03-19","不立文字","https://www.zhihu.com/question/589693312/answer/2942867355","标准化考试考的东西，只是让你有被培养的资格。","True","screened"
"E33","考试、竞争与选拔","作者认为竞争兼有信息发现和资源配置功能，主张扩大参赛资格、降低分胜负的无谓损耗，并为失败准备仍指向胜利的下一方案。","竞争功能与制度设计判断","文中反对的是消灭竞争，不等于赞成牺牲信用、身体和心理健康的无限投入。","2377","becd5793-42a0-508d-9811-ce217f24500d","2023-03-01","内卷","https://afdian.com/p/a22e1242b84211edb45d5254001e7c00","无限的竞争是不容人类自己合谋关闭的自然法则，","True","screened"
"E34","考试、竞争与选拔","作者反对把竞赛和名校当作唯一幸福入口，要求把竞争还原为磨练专长，并让真实用户和未来成果而非龙门身份判断价值。","选拔入口与能力价值区分","文章不反对参赛和进入名校，反对的是把入口本身写成价值终点。","1824","8f0ff3e0-cfe1-5cc0-8986-41217ded3fa6","2024-01-21","龙门教","https://www.zhihu.com/question/636449086/answer/3370138412","参加各种竞赛的价值不应该是能不能拿来跳龙门，而应该还原到“借助激烈的竞争环境磨练自己的专长”上。","True","screened"
"E35","考试、竞争与选拔","作者以强硬定义把坚韧设为人才基本属性，认为不能绕过也不能承受应试挑战者不应借“人才被扼杀”解释失败。","应试、人才与坚韧强判断","这是作者在短文中的极端人才定义，不能外推为全语料唯一的人才标准。","1000","be6521a4-5b3a-5551-8f28-21939a9e90ae","2025-01-26","被扼杀的人才","https://www.zhihu.com/question/578475772/answer/87096285953","坚韧是人才的基本属性。","True","screened"
"E36","考试、竞争与选拔","作者承认当事人可以确认自己确实不适合应试教育，但把这种确认设为另选道路并继续努力的起点，而不是停止行动的结论。","应试不适配与主体确认","该文极短，只提供条件性承认和行动方向，没有展开替代教育制度。","1006","9da990f9-1223-52bd-8a9b-647ea5e8ab8c","2025-01-22","真的不适合","https://www.zhihu.com/question/388887069/answer/84990329784","那么就以此为起点，好好地努力吧。","True","screened"
"E37","高等教育、专业与科研","作者把本科定位为获得信息辨别工具的起步阶段，不把学历自动等同于思想成熟、概念清晰或摆脱迷信。","本科学历与成熟度边界","文章承认本科提供起步工具，不是否认高等教育本身的作用。","3448","0af76841-1409-5d18-af83-050cdb72bb19","2021-03-12","高等教育","https://www.zhihu.com/question/53725884/answer/1776584998","“本科高等教育”其实只不过是个要求高一点的扫盲班水平而已。","True","screened"
"E38","高等教育、专业与科研","作者把哲学写成需要长期涉猎、自然科学、手艺和人生经验共同进入的思想艺术，反对年轻学习者过早宣称掌握。","哲学教育与经验条件","文章鼓励阅读和涉猎哲学，反对的是把课程、术语和学派记忆等同于完成哲学。","3597","dd6ddd34-70e9-5f86-a3e7-658ca8a20c3c","2020-10-30","学哲学","https://www.zhihu.com/question/422217308/answer/1551252488","哲学不是年轻人能宣称掌握甚至了解的学问。","True","screened"
"E39","高等教育、专业与科研","作者把大学阶段学习失能解释为外部应激动力消失后的长期志向缺位，并要求先建立指向人类福祉的事业目标再选择方法。","大学学习动机与事业方向","“必须指向整个人类”是作者的强要求，不被改写成外部普遍职业指导。","1616","1c750a3d-82b1-5b07-a5b9-081b1c781296","2024-04-29","核动力学习","https://www.zhihu.com/question/653479167/answer/3482157085","看似这是个学习问题，实际上这是个人生观、价值观问题。","True","screened"
"E40","高等教育、专业与科研","作者把知识技能发展描述为由杂到精、由精而专、由专而博，并以真实客户、持续服务和行业成果区分专业与考试高分。","专业形成与知识结构模型","该阶段模型是作者概括，不表示所有职业必然按同一顺序发展。","1935","a02cbf5d-305d-54a2-ab9a-b2c01d2c89ef","2023-11-13","博","https://www.zhihu.com/question/434449322/answer/3286532057","人的知识技能发展一般遵循这样一个“由杂到精，由精而专，由专而博”的过程。","True","screened"
"E41","高等教育、专业与科研","作者把未来仍具特殊价值的专业分为身体技能和强规范准入两类，并把大学价值转向意志、生活、社交、情绪和项目成长。","AI时代专业与大学选择判断","文章对专业前景的分类属于作者预测，不作外部就业市场验证。","63","a30cf0ae-535b-5f62-bcf8-d7361ddaf2f3","2026-06-30","抢杠铃","https://www.zhihu.com/question/2047273309180531264/answer/2053922340728262870","重要的是肌肉，不是杠铃。","True","screened"
"E42","高等教育、专业与科研","作者把学历视为只能提供有限等级线索的原石外壳，认为真实合作最终仍由项目表现和可观察成果决定。","学历信号与实际成果区分","文章没有说学历完全无信息，只反对把学校标签当作成果保证。","643","e91365b5-6ff4-56cf-ba9b-d5204f5bfcb6","2025-08-03","莫西沙","https://www.zhihu.com/question/631513904/answer/1935006121560613740","学历崇拜，就像你在崇拜这些带着皮壳的原石。","True","screened"
"E43","教育目的与多重尺度","作者以行为改变、经验传承长度、受益者自由和再传递系数衡量教育，不把制度评分和一次性普及率设为唯一成效。","教育成效定义","“长度而非宽度”针对作者讨论的传承模型，不能取消所有公共普及目标。","3172","01008cb7-e4fa-57cc-a8d5-552f257050a9","2021-07-31","教育的及格线","https://www.zhihu.com/question/22133548/answer/2030810307","教育的根本是改变人的行为","True","screened"
"E44","教育目的与多重尺度","作者把世界史教育的目的从灌输固定史识转向训练辨材、怀疑、交叉观察和创新的史才，并要求保护受教育者的灵魂主权。","教育目的、怀疑能力与主体权柄","文章称世界史第一重要，是其特定教育论中的强判断，不自动压倒社会性、劳动或事业等其他“第一”。","3894","fdf47337-3241-5790-a0da-9c0cc451c6eb","2019-09-08","世界史","https://www.zhihu.com/question/334543952/answer/817647334","世界史教育的核心目标，不是为了造就知识，而是为了造就技能和技能的体验。","True","screened"
"E45","教育目的与多重尺度","作者认为教育传递过去经验必然滞后于未来，因而要求教育建立对有质量失败的容错，并把爱、正直和仁慈置于工具技能之前。","未来教育与精神伦理判断","文章的AI社会和需求碎片化是作者预测，“绝对容错性”也不等于取消责任或结果。","175","fd0f2067-0667-5598-9752-6a38316b61d4","2026-04-29","新解","https://www.zhihu.com/question/8305118500/answer/2023029526775481649","破题的关键在于要寻求绝对容错性。","True","screened"
"E46","教育目的与多重尺度","作者把未来教育概括为说得清、做得出、卖得掉三类实际能力，使表达、生产、组织、成本、融资和客户共同进入安身立命。","AI时代能力与市场服务模型","三主科是作者提出的未来方案，不是对现行课程的经验统计。","205","c910978e-95b9-5cd3-8906-003309df77fb","2026-04-14","新教育2","https://www.zhihu.com/question/2016759308327608461/answer/2018852665627529880","未来的教育，一共三个主科：","True","screened"
